[2025-04-15 23:41:56] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 23:41:56] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 23:41:56] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 23:41:56] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 23:41:56] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 23:41:56] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 23:41:56] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 23:41:56] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 23:41:56] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 23:41:56] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 23:41:56] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 23:41:56] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 23:41:56] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 23:41:56] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 23:41:56] [INFO] [Component] Setting light_dragon_Kyoaqe_25fbc86e-67b1-498e-bcfc-b58088258ef9 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Kyoaqe_25fbc86e-67b1-498e-bcfc-b58088258ef9","column":1,"row":5,"structure":"","height":0}.
[2025-04-15 23:41:56] [INFO] [SpeedQueue] Added unit enemy:Kyoaqe into queue
[2025-04-15 23:41:56] [INFO] [Component] Setting air_dragon_Kyoaa_8f448cc5-fb14-4f0a-81e9-cdfb97e43c6d on to {"spawn_region":[],"collider":"","unit":"air_dragon_Kyoaa_8f448cc5-fb14-4f0a-81e9-cdfb97e43c6d","column":6,"row":7,"structure":"","height":0}.
[2025-04-15 23:41:56] [INFO] [SpeedQueue] Added unit enemy:Kyoaa into queue
[2025-04-15 23:41:56] [INFO] [Component] Setting light_dragon_Noqe_73b6bba7-46fc-449b-b74a-6e12f294aaa9 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Noqe_73b6bba7-46fc-449b-b74a-6e12f294aaa9","column":0,"row":5,"structure":"","height":0}.
[2025-04-15 23:41:56] [INFO] [SpeedQueue] Added unit enemy:Noqe into queue
[2025-04-15 23:41:56] [INFO] [Component] Setting light_dragon_Leluuu_06a33fd0-6f7e-41c7-815a-086b2450d2c1 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Leluuu_06a33fd0-6f7e-41c7-815a-086b2450d2c1","column":4,"row":0,"structure":"","height":0}.
[2025-04-15 23:41:56] [INFO] [SpeedQueue] Added unit enemy:Leluuu into queue
[2025-04-15 23:41:56] [INFO] [Component] Setting earth_dragon_Lyiiyc_b7b937b7-f269-447a-a067-b40766a00368 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Lyiiyc_b7b937b7-f269-447a-a067-b40766a00368","column":7,"row":5,"structure":"","height":0}.
[2025-04-15 23:41:56] [INFO] [SpeedQueue] Added unit user:Lyiiyc into queue
[2025-04-15 23:41:56] [INFO] [Component] Setting light_dragon_Hioi_37857799-8198-448d-81bc-f70207fecb26 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Hioi_37857799-8198-448d-81bc-f70207fecb26","column":0,"row":3,"structure":"","height":0}.
[2025-04-15 23:41:56] [INFO] [SpeedQueue] Added unit user:Hioi into queue
[2025-04-15 23:41:56] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 23:41:56] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 23:41:56] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:41:56] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 23:41:56] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 23:41:56] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 23:41:56] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 23:41:57] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:41:57] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_0a4ac93f-4afa-492f-b150-ecab9b58b944
[2025-04-15 23:41:57] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 23:41:57] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 23:41:57] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 23:41:57] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 23:41:57] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 23:41:57] [INFO] [VisualsSystem] Finished creating blurred background after 0.49811679124832153 seconds
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,126
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,128
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,131
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1038,135
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,138
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,140
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,142
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,145
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,147
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,149
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,152
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,155
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,158
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 998,161
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 993,163
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,165
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,166
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,169
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,170
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 975,171
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,172
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,173
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,173
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,174
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,174
[2025-04-15 23:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,174
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,174
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,174
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,174
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,175
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,176
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,177
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 954,179
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,181
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,182
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,185
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,187
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,190
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 927,192
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,194
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,196
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,197
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,199
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,200
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,201
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,202
[2025-04-15 23:41:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,203
