[2025-04-15 23:43:27] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 23:43:27] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 23:43:27] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 23:43:27] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 23:43:27] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 23:43:27] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 23:43:27] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 23:43:27] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 23:43:27] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 23:43:27] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 23:43:27] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 23:43:27] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 23:43:27] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 23:43:27] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 23:43:31] [INFO] [Component] Setting water_dragon_Hawaa_071d9a10-35e2-4d72-8f05-5ca65b7b4eb8 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Hawaa_071d9a10-35e2-4d72-8f05-5ca65b7b4eb8","column":1,"row":4,"structure":"","height":0}.
[2025-04-15 23:43:31] [INFO] [SpeedQueue] Added unit enemy:Hawaa into queue
[2025-04-15 23:43:31] [INFO] [Component] Setting earth_dragon_Hoqoi_2aca0bb1-eb75-4fef-b810-89822ce538db on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Hoqoi_2aca0bb1-eb75-4fef-b810-89822ce538db","column":7,"row":3,"structure":"","height":0}.
[2025-04-15 23:43:31] [INFO] [SpeedQueue] Added unit enemy:Hoqoi into queue
[2025-04-15 23:43:31] [INFO] [Component] Setting earth_dragon_Yaoau_5df7ec68-2fe3-4e28-9236-997f0a28e435 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Yaoau_5df7ec68-2fe3-4e28-9236-997f0a28e435","column":6,"row":5,"structure":"","height":0}.
[2025-04-15 23:43:31] [INFO] [SpeedQueue] Added unit enemy:Yaoau into queue
[2025-04-15 23:43:31] [INFO] [Component] Setting dragon_Oola_bd2c1564-7bae-425b-aa3f-9899b41c4637 on to {"spawn_region":[],"collider":"","unit":"dragon_Oola_bd2c1564-7bae-425b-aa3f-9899b41c4637","column":4,"row":0,"structure":"","height":0}.
[2025-04-15 23:43:31] [INFO] [SpeedQueue] Added unit enemy:Oola into queue
[2025-04-15 23:43:31] [INFO] [Component] Setting earth_dragon_Regt_df2890d0-1a2c-4376-b99f-8e9c27bcc57c on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Regt_df2890d0-1a2c-4376-b99f-8e9c27bcc57c","column":0,"row":7,"structure":"","height":0}.
[2025-04-15 23:43:31] [INFO] [SpeedQueue] Added unit enemy:Regt into queue
[2025-04-15 23:43:31] [INFO] [Component] Setting water_dragon_Qetby_9d360cea-a09e-41b1-937e-da0722fe1a53 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Qetby_9d360cea-a09e-41b1-937e-da0722fe1a53","column":2,"row":3,"structure":"","height":0}.
[2025-04-15 23:43:31] [INFO] [SpeedQueue] Added unit user:Qetby into queue
[2025-04-15 23:43:31] [INFO] [Component] Setting light_dragon_Fouu_62c4bacd-c9b6-406b-b050-40dcc54f365a on to {"spawn_region":[],"collider":"","unit":"light_dragon_Fouu_62c4bacd-c9b6-406b-b050-40dcc54f365a","column":4,"row":6,"structure":"","height":0}.
[2025-04-15 23:43:31] [INFO] [SpeedQueue] Added unit user:Fouu into queue
[2025-04-15 23:43:31] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 23:43:31] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 23:43:31] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:43:31] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 23:43:31] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 23:43:31] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 23:43:31] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 23:43:32] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:43:32] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_8579c120-23b2-4275-b4fb-d7288595ef26
[2025-04-15 23:43:32] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 23:43:32] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 23:43:32] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 23:43:32] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 23:43:32] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 23:43:32] [INFO] [VisualsSystem] Finished creating blurred background after 0.4914444088935852 seconds
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 480,260
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 481,263
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 482,265
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 484,268
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 485,272
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 486,275
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 487,280
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 488,286
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,293
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,300
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,306
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,317
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,328
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,342
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,359
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,380
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,400
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,420
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,440
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,464
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,488
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,508
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,515
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,529
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,540
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,549
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,554
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,557
[2025-04-15 23:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,558
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,563
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 491,567
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 491,571
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 493,575
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 495,580
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 496,583
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 498,588
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 499,591
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 500,596
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 500,600
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 501,603
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 502,606
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 503,609
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 504,613
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 505,616
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 505,619
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 506,622
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 507,626
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 507,629
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 508,631
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 508,634
[2025-04-15 23:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 508,636
