[2025-04-15 23:43:47] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 23:43:47] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 23:43:47] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 23:43:47] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 23:43:47] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 23:43:47] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 23:43:47] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 23:43:47] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 23:43:47] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 23:43:47] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 23:43:47] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 23:43:47] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 23:43:47] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 23:43:47] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 23:43:47] [INFO] [Component] Setting light_dragon_Tiyyy_056b440b-2bdc-45f2-88a0-8037a375df0c on to {"spawn_region":[],"collider":"","unit":"light_dragon_Tiyyy_056b440b-2bdc-45f2-88a0-8037a375df0c","column":7,"row":2,"structure":"","height":0}.
[2025-04-15 23:43:47] [INFO] [SpeedQueue] Added unit enemy:Tiyyy into queue
[2025-04-15 23:43:47] [INFO] [Component] Setting dark_dragon_Rosyga_71729864-182e-48bd-b1ef-4efe7755e84e on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Rosyga_71729864-182e-48bd-b1ef-4efe7755e84e","column":7,"row":4,"structure":"","height":0}.
[2025-04-15 23:43:47] [INFO] [SpeedQueue] Added unit enemy:Rosyga into queue
[2025-04-15 23:43:47] [INFO] [Component] Setting dragon_Nech_4df4cee7-3db8-470e-a97b-310bffd86a51 on to {"spawn_region":[],"collider":"","unit":"dragon_Nech_4df4cee7-3db8-470e-a97b-310bffd86a51","column":3,"row":3,"structure":"","height":0}.
[2025-04-15 23:43:47] [INFO] [SpeedQueue] Added unit enemy:Nech into queue
[2025-04-15 23:43:47] [INFO] [Component] Setting earth_dragon_Beqxv_d30ef8c6-a04c-41e1-881d-213278cef8c9 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Beqxv_d30ef8c6-a04c-41e1-881d-213278cef8c9","column":5,"row":7,"structure":"","height":0}.
[2025-04-15 23:43:47] [INFO] [SpeedQueue] Added unit enemy:Beqxv into queue
[2025-04-15 23:43:47] [INFO] [Component] Setting light_dragon_Zyxa_7c801913-cead-4567-8b21-32d154d1bc93 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Zyxa_7c801913-cead-4567-8b21-32d154d1bc93","column":2,"row":6,"structure":"","height":0}.
[2025-04-15 23:43:47] [INFO] [SpeedQueue] Added unit enemy:Zyxa into queue
[2025-04-15 23:43:47] [INFO] [Component] Setting air_dragon_Kywvun_076e3285-d821-43d2-ba47-d0d57e8146ac on to {"spawn_region":[],"collider":"","unit":"air_dragon_Kywvun_076e3285-d821-43d2-ba47-d0d57e8146ac","column":1,"row":5,"structure":"","height":0}.
[2025-04-15 23:43:47] [INFO] [SpeedQueue] Added unit user:Kywvun into queue
[2025-04-15 23:43:47] [INFO] [Component] Setting water_dragon_Oymeit_f053eb10-aa6e-4841-b98b-43d296af1be6 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Oymeit_f053eb10-aa6e-4841-b98b-43d296af1be6","column":3,"row":4,"structure":"","height":0}.
[2025-04-15 23:43:47] [INFO] [SpeedQueue] Added unit user:Oymeit into queue
[2025-04-15 23:43:47] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 23:43:47] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 23:43:47] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:43:47] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 23:43:47] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 23:43:47] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 23:43:47] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 23:43:48] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:43:48] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_7f18b380-79c5-40a6-a041-a76528f1626c
[2025-04-15 23:43:48] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 23:43:48] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 23:43:48] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 23:43:48] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 23:43:48] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 23:43:48] [INFO] [VisualsSystem] Finished creating blurred background after 0.49183663725852966 seconds
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1113,169
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1096,176
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,182
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,189
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,193
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,198
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,201
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,202
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1015,203
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,204
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,204
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 996,204
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 993,204
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 990,202
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,198
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,192
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,187
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,184
[2025-04-15 23:43:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,176
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,173
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,170
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 954,167
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,164
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 944,161
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,158
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 933,157
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,155
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,152
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,152
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,152
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,152
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,152
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 880,152
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,152
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,156
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,159
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,165
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,172
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,179
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,187
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 805,192
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,199
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 792,202
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,208
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 776,212
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,215
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,218
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,219
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,221
[2025-04-15 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,222
