[2025-04-15 23:46:42] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 23:46:42] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 23:46:42] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 23:46:42] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 23:46:42] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 23:46:42] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 23:46:42] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 23:46:42] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 23:46:42] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 23:46:42] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 23:46:42] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 23:46:42] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 23:46:42] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 23:46:42] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 23:51:24] [INFO] [Component] Setting fire_dragon_Piwed_86711587-d252-4888-966a-c7dfb7108580 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Piwed_86711587-d252-4888-966a-c7dfb7108580","column":1,"row":3,"structure":"","height":0}.
[2025-04-15 23:51:24] [INFO] [SpeedQueue] Added unit enemy:Piwed into queue
[2025-04-15 23:51:24] [INFO] [Component] Setting water_dragon_Jizyx_7c193a4d-65ce-4284-8a28-1271521019a6 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Jizyx_7c193a4d-65ce-4284-8a28-1271521019a6","column":4,"row":5,"structure":"","height":0}.
[2025-04-15 23:51:24] [INFO] [SpeedQueue] Added unit enemy:Jizyx into queue
[2025-04-15 23:51:24] [INFO] [Component] Setting earth_dragon_Decf_034f58d7-5404-49ee-a467-90fb13fade02 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Decf_034f58d7-5404-49ee-a467-90fb13fade02","column":3,"row":1,"structure":"","height":0}.
[2025-04-15 23:51:24] [INFO] [SpeedQueue] Added unit enemy:Decf into queue
[2025-04-15 23:51:24] [INFO] [Component] Setting dragon_Cimyr_9d814a66-0001-43fb-931a-c7d7a8cc8369 on to {"spawn_region":[],"collider":"","unit":"dragon_Cimyr_9d814a66-0001-43fb-931a-c7d7a8cc8369","column":0,"row":5,"structure":"","height":0}.
[2025-04-15 23:51:24] [INFO] [SpeedQueue] Added unit enemy:Cimyr into queue
[2025-04-15 23:51:24] [INFO] [Component] Setting air_dragon_Qaheze_80067f26-5909-4a5e-a90c-6f8110a601c0 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Qaheze_80067f26-5909-4a5e-a90c-6f8110a601c0","column":1,"row":6,"structure":"","height":0}.
[2025-04-15 23:51:24] [INFO] [SpeedQueue] Added unit enemy:Qaheze into queue
[2025-04-15 23:51:24] [INFO] [Component] Setting earth_dragon_Sowou_4781c945-e97e-418f-92cc-0c1bea7c42fe on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Sowou_4781c945-e97e-418f-92cc-0c1bea7c42fe","column":1,"row":4,"structure":"","height":0}.
[2025-04-15 23:51:24] [INFO] [SpeedQueue] Added unit user:Sowou into queue
[2025-04-15 23:51:24] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 23:51:24] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 23:51:24] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:51:24] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 23:51:24] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 23:51:24] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 23:51:29] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 23:51:29] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:51:29] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_a61f1952-86cd-4dd8-b6d7-0d8ae05986f6
[2025-04-15 23:51:29] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 23:51:29] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 23:51:29] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 23:51:29] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 23:51:29] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 23:51:30] [INFO] [VisualsSystem] Finished creating blurred background after 0.4842561185359955 seconds
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 473,596
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 474,596
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 476,595
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 479,592
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 483,588
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 488,585
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 496,579
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 505,572
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 521,564
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 534,554
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 548,542
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,532
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 575,521
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 580,517
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 590,510
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 595,506
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 603,501
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 607,498
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 610,496
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 612,495
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 614,493
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 616,493
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 617,492
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 618,492
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 619,492
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 619,491
[2025-04-15 23:51:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 620,491
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 619,491
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 618,491
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 617,491
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 615,491
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 613,491
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 611,491
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 605,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 598,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 591,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 583,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 571,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 560,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 549,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 544,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 533,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 524,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 516,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 509,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 502,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 496,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 491,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 484,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 473,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 470,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 463,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 458,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 452,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 447,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 442,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 439,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 434,488
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 432,487
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 429,487
[2025-04-15 23:51:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 428,487
