[2025-04-15 23:52:49] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 23:52:49] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 23:52:49] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 23:52:49] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 23:52:49] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 23:52:49] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 23:52:49] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 23:52:49] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 23:52:49] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 23:52:50] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 23:52:50] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 23:52:50] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 23:52:50] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 23:52:50] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 23:52:50] [INFO] [Component] Setting air_dragon_Xilgae_0d48ce75-cfd4-4012-915c-0dc24d6b30d0 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Xilgae_0d48ce75-cfd4-4012-915c-0dc24d6b30d0","column":0,"row":4,"structure":"","height":0}.
[2025-04-15 23:52:50] [INFO] [SpeedQueue] Added unit enemy:Xilgae into queue
[2025-04-15 23:52:50] [INFO] [Component] Setting light_dragon_Yuhpf_10dfdf72-2b19-433e-8e4a-372b23cf56a5 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Yuhpf_10dfdf72-2b19-433e-8e4a-372b23cf56a5","column":0,"row":3,"structure":"","height":0}.
[2025-04-15 23:52:50] [INFO] [SpeedQueue] Added unit enemy:Yuhpf into queue
[2025-04-15 23:52:50] [INFO] [Component] Setting light_dragon_Gily_adb4212a-3f0c-4874-a181-677b13cca325 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Gily_adb4212a-3f0c-4874-a181-677b13cca325","column":5,"row":6,"structure":"","height":0}.
[2025-04-15 23:52:50] [INFO] [SpeedQueue] Added unit enemy:Gily into queue
[2025-04-15 23:52:50] [INFO] [Component] Setting earth_dragon_Fasoev_113777cc-b7ec-44b9-b3f6-8aeafd64c4c0 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Fasoev_113777cc-b7ec-44b9-b3f6-8aeafd64c4c0","column":2,"row":5,"structure":"","height":0}.
[2025-04-15 23:52:50] [INFO] [SpeedQueue] Added unit enemy:Fasoev into queue
[2025-04-15 23:52:50] [INFO] [Component] Setting fire_dragon_Mabre_51c2fa6d-53d7-44b9-b99d-441efb1c8ab8 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Mabre_51c2fa6d-53d7-44b9-b99d-441efb1c8ab8","column":7,"row":4,"structure":"","height":0}.
[2025-04-15 23:52:50] [INFO] [SpeedQueue] Added unit user:Mabre into queue
[2025-04-15 23:52:50] [INFO] [Component] Setting water_dragon_Aajua_420bb5cd-4e80-4ff7-b46c-6cd0e6de32b1 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Aajua_420bb5cd-4e80-4ff7-b46c-6cd0e6de32b1","column":3,"row":0,"structure":"","height":0}.
[2025-04-15 23:52:50] [INFO] [SpeedQueue] Added unit user:Aajua into queue
[2025-04-15 23:52:50] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 23:52:50] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 23:52:50] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:52:50] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 23:52:50] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 23:52:50] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 23:52:50] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 23:52:50] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:52:50] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_3b1585a4-272f-42e5-a421-d379fc359702
[2025-04-15 23:52:51] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 23:52:51] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 23:52:51] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 23:52:51] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 23:52:51] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 23:52:51] [INFO] [VisualsSystem] Finished creating blurred background after 0.49069154262542725 seconds
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,133
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1072,139
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1061,148
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,155
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,162
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,168
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,175
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,178
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,184
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,191
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,195
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,199
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,205
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,209
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 982,213
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,216
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 975,220
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,223
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,227
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,229
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,232
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 961,234
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,235
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 956,238
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 954,239
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,240
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,241
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,242
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,243
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,244
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,244
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,245
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,246
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,246
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,247
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,248
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 944,248
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,249
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,250
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,251
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 941,252
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,253
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 938,255
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 935,259
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,261
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,264
[2025-04-15 23:52:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,269
