[2025-04-15 23:53:27] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 23:53:27] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 23:53:27] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 23:53:27] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 23:53:27] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 23:53:27] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 23:53:27] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 23:53:27] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 23:53:27] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 23:53:27] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 23:53:27] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 23:53:27] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 23:53:28] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 23:53:28] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 23:53:28] [INFO] [Component] Setting light_dragon_Baeiue_468bffa6-dd85-48a5-86a8-94534be49213 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Baeiue_468bffa6-dd85-48a5-86a8-94534be49213","column":3,"row":1,"structure":"","height":0}.
[2025-04-15 23:53:28] [INFO] [SpeedQueue] Added unit enemy:Baeiue into queue
[2025-04-15 23:53:28] [INFO] [Component] Setting dragon_Tuqwe_60dc5d33-d844-4484-9590-102ff75a7b5d on to {"spawn_region":[],"collider":"","unit":"dragon_Tuqwe_60dc5d33-d844-4484-9590-102ff75a7b5d","column":2,"row":4,"structure":"","height":0}.
[2025-04-15 23:53:28] [INFO] [SpeedQueue] Added unit enemy:Tuqwe into queue
[2025-04-15 23:53:28] [INFO] [Component] Setting dragon_Lizja_eebb1519-00fc-46cc-a1e0-2abbe7528f89 on to {"spawn_region":[],"collider":"","unit":"dragon_Lizja_eebb1519-00fc-46cc-a1e0-2abbe7528f89","column":4,"row":3,"structure":"","height":0}.
[2025-04-15 23:53:28] [INFO] [SpeedQueue] Added unit enemy:Lizja into queue
[2025-04-15 23:53:28] [INFO] [Component] Setting fire_dragon_Guniy_f6db5257-5a87-416f-a905-5298f33c5a74 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Guniy_f6db5257-5a87-416f-a905-5298f33c5a74","column":5,"row":5,"structure":"","height":0}.
[2025-04-15 23:53:28] [INFO] [SpeedQueue] Added unit enemy:Guniy into queue
[2025-04-15 23:53:28] [INFO] [Component] Setting earth_dragon_Byqe_bee62f7c-1a1e-4dcf-97a2-268d6483b7fc on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Byqe_bee62f7c-1a1e-4dcf-97a2-268d6483b7fc","column":4,"row":5,"structure":"","height":0}.
[2025-04-15 23:53:28] [INFO] [SpeedQueue] Added unit enemy:Byqe into queue
[2025-04-15 23:53:28] [INFO] [Component] Setting dark_dragon_Iudiio_5ad9fc45-8310-46f3-b520-2c84a1acede0 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Iudiio_5ad9fc45-8310-46f3-b520-2c84a1acede0","column":6,"row":7,"structure":"","height":0}.
[2025-04-15 23:53:28] [INFO] [SpeedQueue] Added unit user:Iudiio into queue
[2025-04-15 23:53:28] [INFO] [Component] Setting fire_dragon_Waeoui_6b3d9d4b-7cda-4007-8edc-b46e7d4e7ca5 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Waeoui_6b3d9d4b-7cda-4007-8edc-b46e7d4e7ca5","column":2,"row":2,"structure":"","height":0}.
[2025-04-15 23:53:28] [INFO] [SpeedQueue] Added unit user:Waeoui into queue
[2025-04-15 23:53:28] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 23:53:28] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 23:53:28] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:53:28] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 23:53:28] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 23:53:28] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 23:53:28] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 23:53:28] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:53:28] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_50ae45f2-8a06-4dee-9b31-5f95d15cfbe1
[2025-04-15 23:53:28] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 23:53:28] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 23:53:28] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 23:53:28] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 23:53:28] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 23:53:29] [INFO] [VisualsSystem] Finished creating blurred background after 0.49226826429367065 seconds
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,128
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,134
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,142
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1098,149
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1089,158
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1083,164
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1078,171
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1075,175
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,183
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1064,188
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1062,193
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,199
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,208
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,212
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,221
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,224
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1035,229
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,234
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,240
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,244
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,254
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,256
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,267
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,273
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 992,281
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,287
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,290
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,296
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,301
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,306
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,309
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,311
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,313
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,314
[2025-04-15 23:53:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,315
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,314
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,308
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,304
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,299
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,298
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,295
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 941,291
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,288
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,285
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 927,283
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,277
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,276
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,273
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,270
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,267
[2025-04-15 23:53:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,264
