[2025-04-16 00:30:42] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 00:30:42] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 00:30:42] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 00:30:42] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 00:30:42] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 00:30:42] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 00:30:42] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 00:30:42] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 00:30:42] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 00:30:42] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 00:30:42] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 00:30:42] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 00:30:42] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 00:30:42] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 00:30:42] [INFO] [Component] Setting water_dragon_Eipaia_5b2d600d-3c0f-409f-ae94-358d4faf0a6b on to {"spawn_region":[],"collider":"","unit":"water_dragon_Eipaia_5b2d600d-3c0f-409f-ae94-358d4faf0a6b","column":7,"row":1,"structure":"","height":0}.
[2025-04-16 00:30:42] [INFO] [SpeedQueue] Added unit enemy:Eipaia into queue
[2025-04-16 00:30:42] [INFO] [Component] Setting earth_dragon_Iurg_0ee97787-e5d6-4a5f-ac1b-6fc689a35229 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Iurg_0ee97787-e5d6-4a5f-ac1b-6fc689a35229","column":1,"row":7,"structure":"","height":0}.
[2025-04-16 00:30:42] [INFO] [SpeedQueue] Added unit enemy:Iurg into queue
[2025-04-16 00:30:42] [INFO] [Component] Setting dragon_Qanv_14a65a4f-52af-42af-8c39-3f738e80a0cc on to {"spawn_region":[],"collider":"","unit":"dragon_Qanv_14a65a4f-52af-42af-8c39-3f738e80a0cc","column":3,"row":6,"structure":"","height":0}.
[2025-04-16 00:30:42] [INFO] [SpeedQueue] Added unit enemy:Qanv into queue
[2025-04-16 00:30:42] [INFO] [Component] Setting light_dragon_Oywioy_809c3253-6dab-4504-8793-53947270ac8e on to {"spawn_region":[],"collider":"","unit":"light_dragon_Oywioy_809c3253-6dab-4504-8793-53947270ac8e","column":2,"row":2,"structure":"","height":0}.
[2025-04-16 00:30:42] [INFO] [SpeedQueue] Added unit enemy:Oywioy into queue
[2025-04-16 00:30:42] [INFO] [Component] Setting fire_dragon_Pyaun_1da56ede-90bc-4e61-a3d3-2c311510355e on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Pyaun_1da56ede-90bc-4e61-a3d3-2c311510355e","column":5,"row":5,"structure":"","height":0}.
[2025-04-16 00:30:42] [INFO] [SpeedQueue] Added unit enemy:Pyaun into queue
[2025-04-16 00:30:42] [INFO] [Component] Setting water_dragon_Oazxee_b82851cc-320d-49ad-87ce-15793a0ed73c on to {"spawn_region":[],"collider":"","unit":"water_dragon_Oazxee_b82851cc-320d-49ad-87ce-15793a0ed73c","column":3,"row":1,"structure":"","height":0}.
[2025-04-16 00:30:42] [INFO] [SpeedQueue] Added unit user:Oazxee into queue
[2025-04-16 00:30:42] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 00:30:42] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 00:30:42] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 00:30:42] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 00:30:42] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 00:30:42] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 00:30:42] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 00:30:42] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 00:30:42] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_e7d622c6-61ac-4ebb-819d-468600aa4853
[2025-04-16 00:30:43] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 00:30:43] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 00:30:43] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 00:30:43] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 00:30:43] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 00:30:43] [INFO] [VisualsSystem] Finished creating blurred background after 0.4899587631225586 seconds
[2025-04-16 00:30:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,125
[2025-04-16 00:30:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 449,296
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,396
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1115,394
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,390
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1095,388
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1084,386
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,384
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1061,383
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,381
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,380
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,380
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,380
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,379
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,378
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 994,377
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,375
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 974,374
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,373
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,371
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,369
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,369
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 941,367
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,366
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,366
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,365
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,365
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,365
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,365
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,364
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,364
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,364
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,363
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,363
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,363
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,363
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,363
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,363
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,363
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,363
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,363
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,363
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,362
[2025-04-16 00:30:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,362
[2025-04-16 00:30:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,362
[2025-04-16 00:30:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 886,362
