[2025-04-16 00:33:42] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 00:33:42] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 00:33:42] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 00:33:42] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 00:33:42] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 00:33:42] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 00:33:42] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 00:33:42] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 00:33:42] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 00:33:42] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 00:33:42] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 00:33:42] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 00:33:42] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 00:33:42] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 00:33:42] [INFO] [Component] Setting dragon_Aiqa_84c432a9-4952-46ff-b772-49acdbca9f55 on to {"spawn_region":[],"collider":"","unit":"dragon_Aiqa_84c432a9-4952-46ff-b772-49acdbca9f55","column":3,"row":6,"structure":"","height":0}.
[2025-04-16 00:33:42] [INFO] [SpeedQueue] Added unit enemy:Aiqa into queue
[2025-04-16 00:33:42] [INFO] [Component] Setting fire_dragon_Eindio_054e460e-1e52-4b8a-b0fc-5052fe787514 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Eindio_054e460e-1e52-4b8a-b0fc-5052fe787514","column":5,"row":4,"structure":"","height":0}.
[2025-04-16 00:33:42] [INFO] [SpeedQueue] Added unit enemy:Eindio into queue
[2025-04-16 00:33:42] [INFO] [Component] Setting air_dragon_Xoihay_f34d4d62-a159-47ac-bb81-6e9f55599b0f on to {"spawn_region":[],"collider":"","unit":"air_dragon_Xoihay_f34d4d62-a159-47ac-bb81-6e9f55599b0f","column":4,"row":7,"structure":"","height":0}.
[2025-04-16 00:33:42] [INFO] [SpeedQueue] Added unit enemy:Xoihay into queue
[2025-04-16 00:33:42] [INFO] [Component] Setting earth_dragon_Cylpvi_74c01935-6992-4c7f-8ad5-76446583aa8b on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Cylpvi_74c01935-6992-4c7f-8ad5-76446583aa8b","column":4,"row":0,"structure":"","height":0}.
[2025-04-16 00:33:42] [INFO] [SpeedQueue] Added unit enemy:Cylpvi into queue
[2025-04-16 00:33:42] [INFO] [Component] Setting fire_dragon_Zansn_cf66ae05-cc4f-4eac-9c1b-aa9bf22146a0 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Zansn_cf66ae05-cc4f-4eac-9c1b-aa9bf22146a0","column":6,"row":7,"structure":"","height":0}.
[2025-04-16 00:33:42] [INFO] [SpeedQueue] Added unit enemy:Zansn into queue
[2025-04-16 00:33:42] [INFO] [Component] Setting fire_dragon_Pewas_c547570f-33a7-4ae0-9f44-1a256a6c7ceb on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Pewas_c547570f-33a7-4ae0-9f44-1a256a6c7ceb","column":1,"row":1,"structure":"","height":0}.
[2025-04-16 00:33:42] [INFO] [SpeedQueue] Added unit user:Pewas into queue
[2025-04-16 00:33:42] [INFO] [Component] Setting light_dragon_Piviy_bd544d90-2ba2-43ca-a77e-aef4b10f4df7 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Piviy_bd544d90-2ba2-43ca-a77e-aef4b10f4df7","column":5,"row":5,"structure":"","height":0}.
[2025-04-16 00:33:42] [INFO] [SpeedQueue] Added unit user:Piviy into queue
[2025-04-16 00:33:42] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 00:33:43] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 00:33:43] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 00:33:43] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 00:33:43] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 00:33:43] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 00:33:43] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 00:33:43] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 00:33:43] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_d2eae3eb-f07d-4f20-ab58-026fc18ba7a0
[2025-04-16 00:33:43] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 00:33:43] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 00:33:43] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 00:33:43] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 00:33:43] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 00:33:44] [INFO] [VisualsSystem] Finished creating blurred background after 0.49446675181388855 seconds
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 941,122
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,125
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,128
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 927,129
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 923,132
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,135
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,137
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,140
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,143
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,145
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,148
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,152
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,158
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 886,160
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,164
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,174
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,176
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 869,181
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 867,185
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,189
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,192
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 861,194
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,196
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 859,198
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,199
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,201
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,201
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,202
[2025-04-16 00:33:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,203
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 856,204
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,205
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,208
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 851,212
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 849,215
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 846,218
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,220
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,222
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,223
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 843,224
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 843,225
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 842,225
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 842,226
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 842,227
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 841,228
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 841,229
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,230
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,231
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,232
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,233
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,233
[2025-04-16 00:33:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,234
