[2025-04-16 01:07:06] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 01:07:06] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 01:07:06] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 01:07:06] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 01:07:06] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 01:07:06] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 01:07:06] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 01:07:06] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 01:07:06] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 01:07:07] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 01:07:07] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 01:07:07] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 01:07:07] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 01:07:07] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 01:07:07] [INFO] [Component] Setting water_dragon_Zetu_35a849d4-8380-44f3-8963-ef2d4c83780f on to {"spawn_region":[],"collider":"","unit":"water_dragon_Zetu_35a849d4-8380-44f3-8963-ef2d4c83780f","column":4,"row":6,"structure":"","height":0}.
[2025-04-16 01:07:07] [INFO] [SpeedQueue] Added unit enemy:Zetu into queue
[2025-04-16 01:07:07] [INFO] [Component] Setting dark_dragon_Tifi_8ee94092-d2ef-4a08-89e3-df0bca858b3e on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Tifi_8ee94092-d2ef-4a08-89e3-df0bca858b3e","column":3,"row":5,"structure":"","height":0}.
[2025-04-16 01:07:07] [INFO] [SpeedQueue] Added unit enemy:Tifi into queue
[2025-04-16 01:07:07] [INFO] [Component] Setting dragon_Yijoa_e916c6fa-b05d-4544-be8a-a364ba6d0cf5 on to {"spawn_region":[],"collider":"","unit":"dragon_Yijoa_e916c6fa-b05d-4544-be8a-a364ba6d0cf5","column":7,"row":7,"structure":"","height":0}.
[2025-04-16 01:07:07] [INFO] [SpeedQueue] Added unit enemy:Yijoa into queue
[2025-04-16 01:07:07] [INFO] [Component] Setting water_dragon_Cebojw_5b1ef433-e374-4113-8bf2-249a9e726a1c on to {"spawn_region":[],"collider":"","unit":"water_dragon_Cebojw_5b1ef433-e374-4113-8bf2-249a9e726a1c","column":1,"row":0,"structure":"","height":0}.
[2025-04-16 01:07:07] [INFO] [SpeedQueue] Added unit enemy:Cebojw into queue
[2025-04-16 01:07:07] [INFO] [Component] Setting water_dragon_Xuwav_9ac30fad-d28b-42cd-8e68-52b2de3346bb on to {"spawn_region":[],"collider":"","unit":"water_dragon_Xuwav_9ac30fad-d28b-42cd-8e68-52b2de3346bb","column":0,"row":5,"structure":"","height":0}.
[2025-04-16 01:07:07] [INFO] [SpeedQueue] Added unit enemy:Xuwav into queue
[2025-04-16 01:07:07] [INFO] [Component] Setting dark_dragon_Vinau_c3530ef8-337c-4561-b04f-75d95607573c on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Vinau_c3530ef8-337c-4561-b04f-75d95607573c","column":7,"row":6,"structure":"","height":0}.
[2025-04-16 01:07:07] [INFO] [SpeedQueue] Added unit user:Vinau into queue
[2025-04-16 01:07:07] [INFO] [Component] Setting fire_dragon_Tyra_6025ca83-699d-499c-b79c-0d4369ee9e3c on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Tyra_6025ca83-699d-499c-b79c-0d4369ee9e3c","column":7,"row":5,"structure":"","height":0}.
[2025-04-16 01:07:07] [INFO] [SpeedQueue] Added unit user:Tyra into queue
[2025-04-16 01:07:07] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 01:07:07] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 01:07:07] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 01:07:07] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 01:07:07] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 01:07:07] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 01:07:07] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 01:07:07] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 01:07:07] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_4e44652a-0399-43ef-a872-434b5f5bde1e
[2025-04-16 01:07:08] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 01:07:08] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 01:07:08] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 01:07:08] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 01:07:08] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 01:07:08] [INFO] [VisualsSystem] Finished creating blurred background after 0.4993182420730591 seconds
[2025-04-16 01:07:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 992,303
[2025-04-16 01:07:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,303
[2025-04-16 01:07:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 990,303
[2025-04-16 01:07:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,303
[2025-04-16 01:07:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,302
[2025-04-16 01:07:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,301
[2025-04-16 01:07:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,300
[2025-04-16 01:07:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,298
[2025-04-16 01:07:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,298
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,296
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,296
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,296
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 922,296
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,296
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 902,296
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,296
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,296
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,297
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 859,300
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,302
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 841,305
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,306
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,308
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,312
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,314
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 807,316
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,318
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,320
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,322
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,323
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,325
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,327
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,330
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,331
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,331
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,332
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,333
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,334
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,335
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,335
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,336
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 732,337
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,337
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 726,338
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,338
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 719,339
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,339
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,339
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,340
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,341
[2025-04-16 01:07:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,341
