[2025-04-16 01:33:12] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 01:33:12] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 01:33:12] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 01:33:12] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 01:33:12] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 01:33:12] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 01:33:12] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 01:33:12] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 01:33:12] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 01:33:12] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 01:33:12] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 01:33:12] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 01:33:12] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 01:33:12] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 01:33:12] [INFO] [Component] Setting dragon_Bagyb_0ad5d406-c081-4bd4-bfb4-4d6f9bdcb075 on to {"spawn_region":[],"collider":"","unit":"dragon_Bagyb_0ad5d406-c081-4bd4-bfb4-4d6f9bdcb075","column":4,"row":4,"structure":"","height":0}.
[2025-04-16 01:33:12] [INFO] [SpeedQueue] Added unit enemy:Bagyb into queue
[2025-04-16 01:33:12] [INFO] [Component] Setting earth_dragon_Wets_7441f870-c1d1-4df8-a406-2582b994d408 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Wets_7441f870-c1d1-4df8-a406-2582b994d408","column":6,"row":7,"structure":"","height":0}.
[2025-04-16 01:33:12] [INFO] [SpeedQueue] Added unit enemy:Wets into queue
[2025-04-16 01:33:12] [INFO] [Component] Setting water_dragon_Peada_fb2b9223-dfd0-4b9f-b9ba-ed90f2ebd594 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Peada_fb2b9223-dfd0-4b9f-b9ba-ed90f2ebd594","column":1,"row":2,"structure":"","height":0}.
[2025-04-16 01:33:12] [INFO] [SpeedQueue] Added unit enemy:Peada into queue
[2025-04-16 01:33:12] [INFO] [Component] Setting earth_dragon_Uexzag_f03fec31-d7be-42c6-a031-7c42e446c327 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Uexzag_f03fec31-d7be-42c6-a031-7c42e446c327","column":3,"row":3,"structure":"","height":0}.
[2025-04-16 01:33:12] [INFO] [SpeedQueue] Added unit enemy:Uexzag into queue
[2025-04-16 01:33:12] [INFO] [Component] Setting water_dragon_Iyca_ab713504-97a7-45f8-ae3c-fa475e13b590 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Iyca_ab713504-97a7-45f8-ae3c-fa475e13b590","column":2,"row":7,"structure":"","height":0}.
[2025-04-16 01:33:12] [INFO] [SpeedQueue] Added unit enemy:Iyca into queue
[2025-04-16 01:33:12] [INFO] [Component] Setting earth_dragon_Uigu_ce1ee6e4-d29f-46bd-9bc4-b6a74bfb2f45 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Uigu_ce1ee6e4-d29f-46bd-9bc4-b6a74bfb2f45","column":7,"row":0,"structure":"","height":0}.
[2025-04-16 01:33:12] [INFO] [SpeedQueue] Added unit user:Uigu into queue
[2025-04-16 01:33:12] [INFO] [Component] Setting water_dragon_Wuvyyg_6f7232c1-7294-4262-834d-aafc2d49b3e5 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Wuvyyg_6f7232c1-7294-4262-834d-aafc2d49b3e5","column":1,"row":1,"structure":"","height":0}.
[2025-04-16 01:33:12] [INFO] [SpeedQueue] Added unit user:Wuvyyg into queue
[2025-04-16 01:33:12] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 01:33:12] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 01:33:12] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 01:33:12] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 01:33:12] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 01:33:12] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 01:33:12] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 01:33:12] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 01:33:12] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_08f377b4-c50f-4110-b4c6-031ba1401d10
[2025-04-16 01:33:13] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 01:33:13] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 01:33:13] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 01:33:13] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 01:33:13] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 01:33:13] [INFO] [VisualsSystem] Finished creating blurred background after 0.49084168672561646 seconds
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,290
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1117,300
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,321
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1096,328
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1090,339
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1080,360
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1076,372
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,376
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,385
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1067,394
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1064,400
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1061,407
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,412
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1058,415
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,418
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,422
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,424
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,427
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,431
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,433
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,437
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,440
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,442
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,445
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1038,447
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,451
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,453
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,455
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,456
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,458
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,459
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,460
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,461
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,462
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,464
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,467
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,469
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,472
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,473
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,475
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,476
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,478
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,479
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1061,479
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1061,480
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1062,480
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1061,481
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,482
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,483
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,484
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,485
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,486
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,489
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,490
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,491
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,492
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 990,493
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,494
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,495
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,496
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 974,496
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,497
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,497
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,498
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,499
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,499
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,500
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 961,500
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,501
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,502
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,502
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 956,502
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 955,503
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 954,503
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,503
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,504
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,504
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,504
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,505
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,505
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,505
[2025-04-16 01:33:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,505
[2025-04-16 01:33:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,505
[2025-04-16 01:33:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 944,505
[2025-04-16 01:33:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,505
[2025-04-16 01:33:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,505
[2025-04-16 01:33:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,505
[2025-04-16 01:33:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,507
[2025-04-16 01:33:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 923,508
[2025-04-16 01:33:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,509
[2025-04-16 01:33:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,511
[2025-04-16 01:33:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,512
[2025-04-16 01:33:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 885,512
[2025-04-16 01:33:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 880,513
[2025-04-16 01:33:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 863,513
[2025-04-16 01:33:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,513
