[2025-04-16 18:40:43] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 18:40:43] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 18:40:43] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 18:40:43] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 18:40:43] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 18:40:43] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 18:40:43] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 18:40:43] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 18:40:43] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 18:40:43] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 18:40:43] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 18:40:43] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 18:40:44] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 18:40:44] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 18:40:44] [INFO] [Component] Setting light_dragon_Cara_d49aafd0-43fe-494a-a738-2c2b6e2b0953 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Cara_d49aafd0-43fe-494a-a738-2c2b6e2b0953","column":1,"row":5,"structure":"","height":0}.
[2025-04-16 18:40:44] [INFO] [SpeedQueue] Added unit enemy:Cara into queue
[2025-04-16 18:40:44] [INFO] [Component] Setting air_dragon_Iene_c81ab420-6bb5-4a30-8d1b-fe3d5e14956f on to {"spawn_region":[],"collider":"","unit":"air_dragon_Iene_c81ab420-6bb5-4a30-8d1b-fe3d5e14956f","column":5,"row":4,"structure":"","height":0}.
[2025-04-16 18:40:44] [INFO] [SpeedQueue] Added unit enemy:Iene into queue
[2025-04-16 18:40:44] [INFO] [Component] Setting water_dragon_Badui_7ceb82d2-051f-4867-8801-3659307c8c1c on to {"spawn_region":[],"collider":"","unit":"water_dragon_Badui_7ceb82d2-051f-4867-8801-3659307c8c1c","column":3,"row":7,"structure":"","height":0}.
[2025-04-16 18:40:44] [INFO] [SpeedQueue] Added unit enemy:Badui into queue
[2025-04-16 18:40:44] [INFO] [Component] Setting dragon_Kudvio_1a10ec63-5669-4096-a790-064983aaa0d3 on to {"spawn_region":[],"collider":"","unit":"dragon_Kudvio_1a10ec63-5669-4096-a790-064983aaa0d3","column":5,"row":5,"structure":"","height":0}.
[2025-04-16 18:40:44] [INFO] [SpeedQueue] Added unit enemy:Kudvio into queue
[2025-04-16 18:40:44] [INFO] [Component] Setting dark_dragon_Quogm_2717350c-bba8-46e5-9a26-843bda3ff10d on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Quogm_2717350c-bba8-46e5-9a26-843bda3ff10d","column":1,"row":7,"structure":"","height":0}.
[2025-04-16 18:40:44] [INFO] [SpeedQueue] Added unit user:Quogm into queue
[2025-04-16 18:40:44] [INFO] [Component] Setting air_dragon_Fezfqc_32367818-af0d-40e2-9a6b-a42da8e52253 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Fezfqc_32367818-af0d-40e2-9a6b-a42da8e52253","column":2,"row":5,"structure":"","height":0}.
[2025-04-16 18:40:44] [INFO] [SpeedQueue] Added unit user:Fezfqc into queue
[2025-04-16 18:40:44] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 18:40:44] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 18:40:44] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 18:40:44] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 18:40:44] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 18:40:44] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 18:40:44] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 18:40:44] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 18:40:44] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_8900f89d-6dea-42d4-b903-336e9a831f3e
[2025-04-16 18:40:44] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 18:40:44] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 18:40:44] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 18:40:44] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 18:40:45] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 18:40:45] [INFO] [VisualsSystem] Finished creating blurred background after 0.49087560176849365 seconds
[2025-04-16 18:40:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 336,449
[2025-04-16 18:40:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 342,441
[2025-04-16 18:40:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 349,431
[2025-04-16 18:40:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 357,419
[2025-04-16 18:40:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 362,408
[2025-04-16 18:40:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 366,397
[2025-04-16 18:40:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 369,383
[2025-04-16 18:40:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 371,372
[2025-04-16 18:40:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 371,360
[2025-04-16 18:40:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 371,349
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 371,340
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 368,332
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 361,322
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 354,312
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 346,304
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 337,293
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 328,285
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 321,290
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 335,304
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 349,316
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 364,330
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 377,342
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 387,352
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 398,362
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 409,372
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 411,375
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 419,381
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 425,387
[2025-04-16 18:40:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 429,391
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 433,395
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 436,399
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 438,401
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 439,403
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 442,406
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 443,408
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 445,410
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 445,412
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 448,414
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 449,416
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 450,418
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 452,421
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 454,425
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 459,432
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 461,437
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 463,439
[2025-04-16 18:40:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 468,449
