[2025-04-16 18:43:47] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 18:43:47] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 18:43:47] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 18:43:47] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 18:43:47] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 18:43:47] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 18:43:47] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 18:43:47] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 18:43:47] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 18:43:47] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 18:43:47] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 18:43:47] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 18:43:48] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 18:43:48] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 18:43:48] [INFO] [Component] Setting dark_dragon_Tiizie_e1d3ca1a-67a0-4088-8434-c4c1faac9b9c on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Tiizie_e1d3ca1a-67a0-4088-8434-c4c1faac9b9c","column":3,"row":6,"structure":"","height":0}.
[2025-04-16 18:43:48] [INFO] [SpeedQueue] Added unit enemy:Tiizie into queue
[2025-04-16 18:43:48] [INFO] [Component] Setting earth_dragon_Ooaoe_53e45544-f072-4910-82a5-d7007f7dbbab on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Ooaoe_53e45544-f072-4910-82a5-d7007f7dbbab","column":3,"row":7,"structure":"","height":0}.
[2025-04-16 18:43:48] [INFO] [SpeedQueue] Added unit enemy:Ooaoe into queue
[2025-04-16 18:43:48] [INFO] [Component] Setting dark_dragon_Bujiey_f838b46a-f2f6-4609-85b1-f168e0b4e7bb on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Bujiey_f838b46a-f2f6-4609-85b1-f168e0b4e7bb","column":5,"row":6,"structure":"","height":0}.
[2025-04-16 18:43:48] [INFO] [SpeedQueue] Added unit enemy:Bujiey into queue
[2025-04-16 18:43:48] [INFO] [Component] Setting dragon_Tixeee_0537de3e-9d6c-41ca-a5f5-916a4029530d on to {"spawn_region":[],"collider":"","unit":"dragon_Tixeee_0537de3e-9d6c-41ca-a5f5-916a4029530d","column":0,"row":5,"structure":"","height":0}.
[2025-04-16 18:43:48] [INFO] [SpeedQueue] Added unit enemy:Tixeee into queue
[2025-04-16 18:43:48] [INFO] [Component] Setting dragon_Ooksoe_fc3afb32-dc58-45ac-80e4-b264eca013e2 on to {"spawn_region":[],"collider":"","unit":"dragon_Ooksoe_fc3afb32-dc58-45ac-80e4-b264eca013e2","column":3,"row":3,"structure":"","height":0}.
[2025-04-16 18:43:48] [INFO] [SpeedQueue] Added unit enemy:Ooksoe into queue
[2025-04-16 18:43:48] [INFO] [Component] Setting air_dragon_Giyn_0288131c-7a4b-40c8-b005-f7e33f1be466 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Giyn_0288131c-7a4b-40c8-b005-f7e33f1be466","column":7,"row":1,"structure":"","height":0}.
[2025-04-16 18:43:48] [INFO] [SpeedQueue] Added unit user:Giyn into queue
[2025-04-16 18:43:48] [INFO] [Component] Setting dark_dragon_Mihibw_80188fea-40e8-41ac-8403-769205e51640 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Mihibw_80188fea-40e8-41ac-8403-769205e51640","column":2,"row":5,"structure":"","height":0}.
[2025-04-16 18:43:48] [INFO] [SpeedQueue] Added unit user:Mihibw into queue
[2025-04-16 18:43:48] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 18:43:48] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 18:43:48] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 18:43:48] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 18:43:48] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 18:43:48] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 18:43:48] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 18:43:48] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 18:43:48] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_394646f7-ee56-46de-aedc-c2a84eb1d107
[2025-04-16 18:43:48] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 18:43:48] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 18:43:48] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 18:43:48] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 18:43:48] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 18:43:49] [INFO] [VisualsSystem] Finished creating blurred background after 0.4930042624473572 seconds
[2025-04-16 18:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,123
[2025-04-16 18:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,134
[2025-04-16 18:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,137
[2025-04-16 18:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,140
[2025-04-16 18:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1015,146
[2025-04-16 18:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,151
[2025-04-16 18:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 998,155
[2025-04-16 18:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,161
[2025-04-16 18:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 979,166
[2025-04-16 18:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,172
[2025-04-16 18:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,178
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 955,179
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,185
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 938,188
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,193
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,196
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,201
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,204
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,207
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,210
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,213
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,216
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,221
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,223
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,226
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,228
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,229
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,230
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 876,231
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,232
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,233
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,233
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,233
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 871,233
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,233
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 869,234
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,234
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 867,235
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,235
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 864,236
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 863,236
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 861,238
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,238
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,240
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 856,241
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,242
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,244
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,246
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 848,247
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 846,248
[2025-04-16 18:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,250
