[2025-04-16 20:10:19] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 20:10:19] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 20:10:19] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 20:10:19] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 20:10:19] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 20:10:19] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 20:10:19] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 20:10:19] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 20:10:19] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 20:10:19] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 20:10:19] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 20:10:19] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 20:10:20] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 20:10:20] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 20:10:20] [INFO] [Component] Setting earth_dragon_Kyru_803ce04b-b9ec-4765-bd33-1c62a89bbbdf on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Kyru_803ce04b-b9ec-4765-bd33-1c62a89bbbdf","column":4,"row":7,"structure":"","height":0}.
[2025-04-16 20:10:20] [INFO] [SpeedQueue] Added unit enemy:Kyru into queue
[2025-04-16 20:10:20] [INFO] [Component] Setting earth_dragon_Moovri_10ecdf80-c6a4-49cf-aeb2-ae0892af1075 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Moovri_10ecdf80-c6a4-49cf-aeb2-ae0892af1075","column":4,"row":6,"structure":"","height":0}.
[2025-04-16 20:10:20] [INFO] [SpeedQueue] Added unit enemy:Moovri into queue
[2025-04-16 20:10:20] [INFO] [Component] Setting earth_dragon_Hyrli_e47dbe0b-3183-46d2-84e3-5958d24e9313 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Hyrli_e47dbe0b-3183-46d2-84e3-5958d24e9313","column":7,"row":3,"structure":"","height":0}.
[2025-04-16 20:10:20] [INFO] [SpeedQueue] Added unit enemy:Hyrli into queue
[2025-04-16 20:10:20] [INFO] [Component] Setting light_dragon_Faiyo_91bb8e56-26b9-4e6b-b2e6-032a6c924d0c on to {"spawn_region":[],"collider":"","unit":"light_dragon_Faiyo_91bb8e56-26b9-4e6b-b2e6-032a6c924d0c","column":7,"row":6,"structure":"","height":0}.
[2025-04-16 20:10:20] [INFO] [SpeedQueue] Added unit enemy:Faiyo into queue
[2025-04-16 20:10:20] [INFO] [Component] Setting dark_dragon_Yovkxo_9637d9f5-0bd7-459f-8d38-5df46b889bb1 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Yovkxo_9637d9f5-0bd7-459f-8d38-5df46b889bb1","column":6,"row":6,"structure":"","height":0}.
[2025-04-16 20:10:20] [INFO] [SpeedQueue] Added unit user:Yovkxo into queue
[2025-04-16 20:10:20] [INFO] [Component] Setting light_dragon_Myoy_75d58f59-d973-4509-8f38-79e850bf9591 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Myoy_75d58f59-d973-4509-8f38-79e850bf9591","column":5,"row":3,"structure":"","height":0}.
[2025-04-16 20:10:20] [INFO] [SpeedQueue] Added unit user:Myoy into queue
[2025-04-16 20:10:20] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 20:10:20] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 20:10:20] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 20:10:20] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 20:10:20] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 20:10:20] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 20:10:20] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 20:10:20] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 20:10:20] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_cab2d920-ba8e-4682-abf8-e6aae683bbc8
[2025-04-16 20:10:20] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 20:10:20] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 20:10:20] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 20:10:20] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 20:10:20] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 20:10:21] [INFO] [VisualsSystem] Finished creating blurred background after 0.494917631149292 seconds
[2025-04-16 20:10:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 129,18
[2025-04-16 20:10:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 127,15
[2025-04-16 20:10:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 124,11
[2025-04-16 20:10:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 121,7
[2025-04-16 20:10:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 120,5
[2025-04-16 20:10:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 118,2
[2025-04-16 20:10:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 116,0
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 101,1
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 99,3
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 97,7
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 95,9
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 92,12
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 91,15
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 89,17
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 88,19
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 329,383
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 339,388
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 344,393
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 350,397
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 354,400
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 356,401
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 357,403
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 359,404
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 359,405
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 360,405
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 360,406
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 361,406
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 361,407
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 361,408
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 361,409
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 361,410
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 361,412
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 361,413
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 362,415
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 363,417
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 364,418
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 366,419
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 371,421
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 375,422
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 382,423
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 391,423
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 402,423
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 411,423
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 422,422
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 433,419
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 444,416
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 453,412
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 458,411
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 464,409
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 473,405
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 484,401
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 491,398
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 500,394
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 507,389
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 515,384
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 519,382
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 524,380
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 529,378
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 534,376
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 537,374
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 539,373
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 540,373
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 541,373
[2025-04-16 20:10:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 542,373
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 543,373
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 544,373
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 545,373
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 545,372
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 546,371
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 547,370
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 547,368
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 548,366
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 550,363
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 551,360
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 552,355
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 553,352
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 554,348
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 556,345
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 556,342
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 558,340
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 558,338
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 559,337
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 559,336
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 560,336
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 556,339
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 552,343
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 546,347
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 541,351
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 533,358
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 529,360
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 522,367
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 516,371
[2025-04-16 20:10:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 511,376
