[2025-04-16 20:21:18] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 20:21:18] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 20:21:18] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 20:21:18] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 20:21:18] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 20:21:18] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 20:21:18] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 20:21:18] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 20:21:18] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 20:21:18] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 20:21:18] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 20:21:18] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 20:21:18] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 20:21:18] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 20:21:18] [INFO] [Component] Setting dragon_Jesly_b62deb36-1a98-4ab5-928e-ad6cdbb45757 on to {"spawn_region":[],"collider":"","unit":"dragon_Jesly_b62deb36-1a98-4ab5-928e-ad6cdbb45757","column":2,"row":4,"structure":"","height":0}.
[2025-04-16 20:21:18] [INFO] [SpeedQueue] Added unit enemy:Jesly into queue
[2025-04-16 20:21:18] [INFO] [Component] Setting fire_dragon_Dybu_16eac63c-8448-472d-a8c8-20c2870baa42 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Dybu_16eac63c-8448-472d-a8c8-20c2870baa42","column":5,"row":2,"structure":"","height":0}.
[2025-04-16 20:21:18] [INFO] [SpeedQueue] Added unit enemy:Dybu into queue
[2025-04-16 20:21:18] [INFO] [Component] Setting water_dragon_Zodxu_20bf7903-e027-4833-890a-c5816f728e0d on to {"spawn_region":[],"collider":"","unit":"water_dragon_Zodxu_20bf7903-e027-4833-890a-c5816f728e0d","column":7,"row":0,"structure":"","height":0}.
[2025-04-16 20:21:18] [INFO] [SpeedQueue] Added unit enemy:Zodxu into queue
[2025-04-16 20:21:18] [INFO] [Component] Setting dragon_Myeiu_e741bf1b-c62d-4e30-a1e7-16a2d7d2bac1 on to {"spawn_region":[],"collider":"","unit":"dragon_Myeiu_e741bf1b-c62d-4e30-a1e7-16a2d7d2bac1","column":1,"row":1,"structure":"","height":0}.
[2025-04-16 20:21:18] [INFO] [SpeedQueue] Added unit enemy:Myeiu into queue
[2025-04-16 20:21:18] [INFO] [Component] Setting water_dragon_Paiea_13a58d82-4f04-4790-87a6-74afaf8ae783 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Paiea_13a58d82-4f04-4790-87a6-74afaf8ae783","column":3,"row":5,"structure":"","height":0}.
[2025-04-16 20:21:18] [INFO] [SpeedQueue] Added unit enemy:Paiea into queue
[2025-04-16 20:21:18] [INFO] [Component] Setting dragon_Qaiay_44777dc6-ba0f-4a58-8b2a-542c783ce530 on to {"spawn_region":[],"collider":"","unit":"dragon_Qaiay_44777dc6-ba0f-4a58-8b2a-542c783ce530","column":0,"row":1,"structure":"","height":0}.
[2025-04-16 20:21:18] [INFO] [SpeedQueue] Added unit user:Qaiay into queue
[2025-04-16 20:21:18] [INFO] [Component] Setting dark_dragon_Cezc_ba45eefa-d67a-4461-b291-06303f78e545 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Cezc_ba45eefa-d67a-4461-b291-06303f78e545","column":6,"row":2,"structure":"","height":0}.
[2025-04-16 20:21:18] [INFO] [SpeedQueue] Added unit user:Cezc into queue
[2025-04-16 20:21:18] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 20:21:18] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 20:21:18] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 20:21:18] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 20:21:18] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 20:21:19] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 20:21:19] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 20:21:19] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 20:21:19] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_eae414ac-113b-47d7-937e-2ffab8d71da4
[2025-04-16 20:21:19] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 20:21:19] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 20:21:19] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 20:21:19] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 20:21:19] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 20:21:20] [INFO] [VisualsSystem] Finished creating blurred background after 0.49820467829704285 seconds
[2025-04-16 20:21:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,120
[2025-04-16 20:21:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 912,122
[2025-04-16 20:21:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,124
[2025-04-16 20:21:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,126
[2025-04-16 20:21:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,129
[2025-04-16 20:21:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 904,131
[2025-04-16 20:21:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,134
[2025-04-16 20:21:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,136
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,144
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,148
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,153
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,159
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 876,165
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 871,173
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 864,182
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,190
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,197
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,207
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,217
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,227
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,236
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 818,246
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,256
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,263
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 802,273
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,278
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,285
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,291
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,296
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,301
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,304
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,306
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,307
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,308
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,309
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,310
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,311
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,313
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,316
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,318
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,323
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,327
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,335
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,341
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 762,347
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,354
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,362
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,371
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,381
[2025-04-16 20:21:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,391
