[2025-04-16 21:04:47] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:04:47] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:04:47] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:04:47] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:04:47] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:04:47] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:04:47] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:04:47] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:04:47] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:04:47] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:04:47] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:04:47] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:04:47] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:04:47] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:04:47] [INFO] [Component] Setting air_dragon_Racx_b2ef4feb-c13f-42e7-b6b7-29185f6fa4a6 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Racx_b2ef4feb-c13f-42e7-b6b7-29185f6fa4a6","column":2,"row":2,"structure":"","height":0}.
[2025-04-16 21:04:47] [INFO] [SpeedQueue] Added unit enemy:Racx into queue
[2025-04-16 21:04:47] [INFO] [Component] Setting earth_dragon_Lasiy_c9bf5272-4048-400b-9e07-14a436001f9c on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Lasiy_c9bf5272-4048-400b-9e07-14a436001f9c","column":6,"row":1,"structure":"","height":0}.
[2025-04-16 21:04:47] [INFO] [SpeedQueue] Added unit enemy:Lasiy into queue
[2025-04-16 21:04:47] [INFO] [Component] Setting fire_dragon_Eoxeku_14f160ca-4dfa-495a-9900-51e9329f33d9 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Eoxeku_14f160ca-4dfa-495a-9900-51e9329f33d9","column":2,"row":5,"structure":"","height":0}.
[2025-04-16 21:04:47] [INFO] [SpeedQueue] Added unit enemy:Eoxeku into queue
[2025-04-16 21:04:47] [INFO] [Component] Setting light_dragon_Vafev_d96002f9-40de-4317-a7ab-d46183540a4a on to {"spawn_region":[],"collider":"","unit":"light_dragon_Vafev_d96002f9-40de-4317-a7ab-d46183540a4a","column":7,"row":5,"structure":"","height":0}.
[2025-04-16 21:04:47] [INFO] [SpeedQueue] Added unit enemy:Vafev into queue
[2025-04-16 21:04:47] [INFO] [Component] Setting air_dragon_Vioyai_6f76a588-3729-4d08-a01a-f1583f62bd0f on to {"spawn_region":[],"collider":"","unit":"air_dragon_Vioyai_6f76a588-3729-4d08-a01a-f1583f62bd0f","column":2,"row":6,"structure":"","height":0}.
[2025-04-16 21:04:47] [INFO] [SpeedQueue] Added unit enemy:Vioyai into queue
[2025-04-16 21:04:47] [INFO] [Component] Setting dark_dragon_Wocuuo_4ec0a3b2-3433-4e39-aae6-99ae634a51ea on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Wocuuo_4ec0a3b2-3433-4e39-aae6-99ae634a51ea","column":5,"row":4,"structure":"","height":0}.
[2025-04-16 21:04:47] [INFO] [SpeedQueue] Added unit user:Wocuuo into queue
[2025-04-16 21:04:47] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:04:48] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:04:48] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:04:48] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:04:48] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:04:48] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:04:48] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:04:48] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:04:48] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_d477cdd3-b126-453f-892b-5126dbebdb40
[2025-04-16 21:04:48] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:04:48] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:04:48] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:04:48] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:04:48] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:04:49] [INFO] [VisualsSystem] Finished creating blurred background after 0.49353402853012085 seconds
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,144
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,156
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,167
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,176
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,185
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 885,190
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 880,193
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 869,197
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 859,203
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,206
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,210
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,213
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 832,216
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,218
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 823,220
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,222
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,223
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,225
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,226
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,227
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,227
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,228
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,229
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,230
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,231
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,231
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,231
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,231
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,232
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,232
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,232
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,232
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,232
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,232
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,232
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,232
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,232
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,232
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,233
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,233
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 762,233
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,234
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 759,234
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,235
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,236
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,237
[2025-04-16 21:04:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 754,238
