[2025-04-16 21:05:05] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:05:05] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:05:05] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:05:05] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:05:05] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:05:05] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:05:05] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:05:05] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:05:05] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:05:05] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:05:05] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:05:05] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:05:05] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:05:05] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:05:05] [INFO] [Component] Setting earth_dragon_Wainxx_6f8d48d3-2c36-40e3-aabf-bd4c8459b808 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Wainxx_6f8d48d3-2c36-40e3-aabf-bd4c8459b808","column":3,"row":3,"structure":"","height":0}.
[2025-04-16 21:05:05] [INFO] [SpeedQueue] Added unit enemy:Wainxx into queue
[2025-04-16 21:05:05] [INFO] [Component] Setting earth_dragon_Iyjn_9365a415-5f81-4c7a-b31b-6647d5141076 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Iyjn_9365a415-5f81-4c7a-b31b-6647d5141076","column":3,"row":4,"structure":"","height":0}.
[2025-04-16 21:05:05] [INFO] [SpeedQueue] Added unit enemy:Iyjn into queue
[2025-04-16 21:05:05] [INFO] [Component] Setting water_dragon_Zenyn_1ae4e6b0-169c-4c0e-9213-8cb64d05b831 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Zenyn_1ae4e6b0-169c-4c0e-9213-8cb64d05b831","column":4,"row":3,"structure":"","height":0}.
[2025-04-16 21:05:05] [INFO] [SpeedQueue] Added unit enemy:Zenyn into queue
[2025-04-16 21:05:05] [INFO] [Component] Setting air_dragon_Dizp_b39a6253-5cc4-46fa-8028-c950c62db938 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Dizp_b39a6253-5cc4-46fa-8028-c950c62db938","column":0,"row":7,"structure":"","height":0}.
[2025-04-16 21:05:05] [INFO] [SpeedQueue] Added unit enemy:Dizp into queue
[2025-04-16 21:05:05] [INFO] [Component] Setting dragon_Modei_100ea81b-ad3b-43b1-85e5-4a1f11c648ae on to {"spawn_region":[],"collider":"","unit":"dragon_Modei_100ea81b-ad3b-43b1-85e5-4a1f11c648ae","column":6,"row":6,"structure":"","height":0}.
[2025-04-16 21:05:05] [INFO] [SpeedQueue] Added unit user:Modei into queue
[2025-04-16 21:05:05] [INFO] [Component] Setting water_dragon_Oyvcn_eb7b584e-5d34-4eca-a4f0-e4bf456759b8 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Oyvcn_eb7b584e-5d34-4eca-a4f0-e4bf456759b8","column":7,"row":1,"structure":"","height":0}.
[2025-04-16 21:05:05] [INFO] [SpeedQueue] Added unit user:Oyvcn into queue
[2025-04-16 21:05:05] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:05:05] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:05:05] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:05:05] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:05:05] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:05:05] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:05:05] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:05:05] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:05:05] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_5e4b6cbb-3a8e-4c2f-9228-7fc7e81660a4
[2025-04-16 21:05:06] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:05:06] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:05:06] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:05:06] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:05:06] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:05:06] [INFO] [VisualsSystem] Finished creating blurred background after 0.48438671231269836 seconds
[2025-04-16 21:05:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,153
[2025-04-16 21:05:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,163
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,172
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,174
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,181
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,195
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,197
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,203
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,207
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 994,212
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,218
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 984,220
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,227
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,229
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,234
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,237
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,240
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,244
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 956,247
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,248
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,251
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,252
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,252
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,254
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 944,255
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,256
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,258
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 938,260
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,264
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,265
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,269
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,273
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 920,276
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,278
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,281
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,282
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 912,283
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,284
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,284
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,285
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,284
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,282
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,280
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,278
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,274
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,269
[2025-04-16 21:05:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,265
