[2025-04-16 21:06:06] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:06:06] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:06:06] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:06:06] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:06:06] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:06:06] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:06:06] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:06:06] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:06:06] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:06:06] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:06:06] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:06:06] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:06:06] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:06:06] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:06:06] [INFO] [Component] Setting dark_dragon_Juao_cc5d79db-4473-4fd7-9a22-a8d2ab831e47 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Juao_cc5d79db-4473-4fd7-9a22-a8d2ab831e47","column":2,"row":1,"structure":"","height":0}.
[2025-04-16 21:06:06] [INFO] [SpeedQueue] Added unit enemy:Juao into queue
[2025-04-16 21:06:06] [INFO] [Component] Setting dragon_Cepiua_a29e2bc8-c411-4b47-9943-9b0792696632 on to {"spawn_region":[],"collider":"","unit":"dragon_Cepiua_a29e2bc8-c411-4b47-9943-9b0792696632","column":1,"row":6,"structure":"","height":0}.
[2025-04-16 21:06:06] [INFO] [SpeedQueue] Added unit enemy:Cepiua into queue
[2025-04-16 21:06:06] [INFO] [Component] Setting fire_dragon_Gurxy_87b8842c-5932-4bb0-a97d-5906c9bf0838 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Gurxy_87b8842c-5932-4bb0-a97d-5906c9bf0838","column":3,"row":3,"structure":"","height":0}.
[2025-04-16 21:06:06] [INFO] [SpeedQueue] Added unit enemy:Gurxy into queue
[2025-04-16 21:06:06] [INFO] [Component] Setting light_dragon_Luiguq_c9c68fd2-ceae-4fc6-94c0-8a2a34b44e5f on to {"spawn_region":[],"collider":"","unit":"light_dragon_Luiguq_c9c68fd2-ceae-4fc6-94c0-8a2a34b44e5f","column":6,"row":3,"structure":"","height":0}.
[2025-04-16 21:06:06] [INFO] [SpeedQueue] Added unit enemy:Luiguq into queue
[2025-04-16 21:06:06] [INFO] [Component] Setting dragon_Tojvvi_583fcc1b-0c0f-4b5c-b457-d432cb5570dd on to {"spawn_region":[],"collider":"","unit":"dragon_Tojvvi_583fcc1b-0c0f-4b5c-b457-d432cb5570dd","column":0,"row":1,"structure":"","height":0}.
[2025-04-16 21:06:06] [INFO] [SpeedQueue] Added unit user:Tojvvi into queue
[2025-04-16 21:06:06] [INFO] [Component] Setting light_dragon_Voxl_7f7f4d7d-da52-4513-8c45-a81e1b8e9148 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Voxl_7f7f4d7d-da52-4513-8c45-a81e1b8e9148","column":3,"row":7,"structure":"","height":0}.
[2025-04-16 21:06:06] [INFO] [SpeedQueue] Added unit user:Voxl into queue
[2025-04-16 21:06:06] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:06:06] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:06:06] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:06:06] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:06:06] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:06:06] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:06:07] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:06:07] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:06:07] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_544928d0-cf66-4250-982a-b130d80333f1
[2025-04-16 21:06:07] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:06:07] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:06:07] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:06:07] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:06:07] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:06:07] [INFO] [VisualsSystem] Finished creating blurred background after 0.48905888199806213 seconds
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,134
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,147
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,159
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,173
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,184
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,195
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,206
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,217
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,228
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,231
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 818,241
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,254
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,265
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,270
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,273
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,277
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,280
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,283
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 792,290
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,297
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,301
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,306
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,315
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 774,319
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,322
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,324
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,326
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,327
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,328
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,329
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,329
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,328
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,327
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,326
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,325
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,324
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,323
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,322
[2025-04-16 21:06:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,321
[2025-04-16 21:06:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,320
[2025-04-16 21:06:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,319
[2025-04-16 21:06:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,318
[2025-04-16 21:06:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,317
[2025-04-16 21:06:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,316
[2025-04-16 21:06:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,315
[2025-04-16 21:06:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,314
[2025-04-16 21:06:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,313
