[2025-04-16 21:08:51] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:08:51] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:08:51] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:08:51] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:08:51] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:08:51] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:08:51] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:08:51] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:08:51] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:08:51] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:08:51] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:08:51] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:08:51] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:08:51] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:08:51] [INFO] [Component] Setting earth_dragon_Ziygdo_58acfde1-220c-4a50-b5ba-f8fdb6f3f3ee on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Ziygdo_58acfde1-220c-4a50-b5ba-f8fdb6f3f3ee","column":6,"row":3,"structure":"","height":0}.
[2025-04-16 21:08:51] [INFO] [SpeedQueue] Added unit enemy:Ziygdo into queue
[2025-04-16 21:08:51] [INFO] [Component] Setting fire_dragon_Zazhao_af2f5899-fd8c-4eb9-9ffe-d7fc1cc8c6dc on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Zazhao_af2f5899-fd8c-4eb9-9ffe-d7fc1cc8c6dc","column":0,"row":6,"structure":"","height":0}.
[2025-04-16 21:08:51] [INFO] [SpeedQueue] Added unit enemy:Zazhao into queue
[2025-04-16 21:08:51] [INFO] [Component] Setting dragon_Bimy_624c9bb1-e8a9-4c2a-ad2e-8fdf05a212d7 on to {"spawn_region":[],"collider":"","unit":"dragon_Bimy_624c9bb1-e8a9-4c2a-ad2e-8fdf05a212d7","column":3,"row":6,"structure":"","height":0}.
[2025-04-16 21:08:51] [INFO] [SpeedQueue] Added unit enemy:Bimy into queue
[2025-04-16 21:08:51] [INFO] [Component] Setting air_dragon_Dovhfe_b5d21b92-4c2d-4c01-9811-32bb39db718e on to {"spawn_region":[],"collider":"","unit":"air_dragon_Dovhfe_b5d21b92-4c2d-4c01-9811-32bb39db718e","column":1,"row":4,"structure":"","height":0}.
[2025-04-16 21:08:51] [INFO] [SpeedQueue] Added unit enemy:Dovhfe into queue
[2025-04-16 21:08:51] [INFO] [Component] Setting earth_dragon_Nubpua_b2534ad4-51ea-4f56-8069-2d5b23805e3f on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Nubpua_b2534ad4-51ea-4f56-8069-2d5b23805e3f","column":6,"row":7,"structure":"","height":0}.
[2025-04-16 21:08:51] [INFO] [SpeedQueue] Added unit enemy:Nubpua into queue
[2025-04-16 21:08:51] [INFO] [Component] Setting earth_dragon_Muvef_6c8811ba-b62c-48f6-9562-a9fb6c42670a on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Muvef_6c8811ba-b62c-48f6-9562-a9fb6c42670a","column":5,"row":1,"structure":"","height":0}.
[2025-04-16 21:08:51] [INFO] [SpeedQueue] Added unit user:Muvef into queue
[2025-04-16 21:08:51] [INFO] [Component] Setting light_dragon_Lugfo_13e9eb70-f17f-4628-b50d-71c6eff61238 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Lugfo_13e9eb70-f17f-4628-b50d-71c6eff61238","column":3,"row":4,"structure":"","height":0}.
[2025-04-16 21:08:51] [INFO] [SpeedQueue] Added unit user:Lugfo into queue
[2025-04-16 21:08:51] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:08:51] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:08:51] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:08:51] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:08:51] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:08:51] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:08:51] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:08:51] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:08:51] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_9f32cd5b-4af0-4bc4-b7fd-59b4ee214194
[2025-04-16 21:08:51] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:08:51] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:08:51] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:08:51] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:08:52] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:08:52] [INFO] [VisualsSystem] Finished creating blurred background after 0.4944566786289215 seconds
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 601,134
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 586,149
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,165
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 554,179
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 539,194
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 521,212
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 505,230
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 487,246
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 473,261
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 461,274
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 449,288
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 437,301
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 434,305
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 427,315
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 422,322
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 417,330
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 414,336
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 411,343
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 407,352
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 406,360
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 403,367
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 402,378
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 402,389
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,401
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,414
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,428
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,442
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,456
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,470
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,484
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,489
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,497
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,506
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,511
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,514
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,516
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,517
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,518
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 401,519
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 400,517
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 400,515
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 399,511
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 397,505
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 395,500
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 394,495
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 390,484
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 389,481
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 387,476
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 385,469
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 381,458
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 380,456
[2025-04-16 21:08:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 376,445
