[2025-04-16 21:16:18] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:16:18] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:16:18] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:16:18] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:16:18] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:16:18] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:16:18] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:16:18] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:16:18] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:16:18] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:16:18] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:16:18] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:16:18] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:16:18] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:16:19] [INFO] [Component] Setting dragon_Mypax_1a69c9c0-23e5-4ee9-ab58-0fc706a05e9d on to {"spawn_region":[],"collider":"","unit":"dragon_Mypax_1a69c9c0-23e5-4ee9-ab58-0fc706a05e9d","column":1,"row":3,"structure":"","height":0}.
[2025-04-16 21:16:19] [INFO] [SpeedQueue] Added unit enemy:Mypax into queue
[2025-04-16 21:16:19] [INFO] [Component] Setting fire_dragon_Cooy_100b806b-8d82-4ccf-8f67-5ffc49e64e65 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Cooy_100b806b-8d82-4ccf-8f67-5ffc49e64e65","column":1,"row":0,"structure":"","height":0}.
[2025-04-16 21:16:19] [INFO] [SpeedQueue] Added unit enemy:Cooy into queue
[2025-04-16 21:16:19] [INFO] [Component] Setting water_dragon_Peoaia_b8697f11-4e0c-40a8-bbb9-5455ddfe9e0b on to {"spawn_region":[],"collider":"","unit":"water_dragon_Peoaia_b8697f11-4e0c-40a8-bbb9-5455ddfe9e0b","column":2,"row":0,"structure":"","height":0}.
[2025-04-16 21:16:19] [INFO] [SpeedQueue] Added unit enemy:Peoaia into queue
[2025-04-16 21:16:19] [INFO] [Component] Setting water_dragon_Eizki_bdd58aba-e382-4062-add7-d6de97591afd on to {"spawn_region":[],"collider":"","unit":"water_dragon_Eizki_bdd58aba-e382-4062-add7-d6de97591afd","column":3,"row":1,"structure":"","height":0}.
[2025-04-16 21:16:19] [INFO] [SpeedQueue] Added unit enemy:Eizki into queue
[2025-04-16 21:16:19] [INFO] [Component] Setting earth_dragon_Rulpk_29696a3b-dd1b-49af-b807-e7bef1d8b8dc on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Rulpk_29696a3b-dd1b-49af-b807-e7bef1d8b8dc","column":4,"row":4,"structure":"","height":0}.
[2025-04-16 21:16:19] [INFO] [SpeedQueue] Added unit enemy:Rulpk into queue
[2025-04-16 21:16:19] [INFO] [Component] Setting air_dragon_Qaqiih_87343a2e-c204-448e-a23e-e967576636c6 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Qaqiih_87343a2e-c204-448e-a23e-e967576636c6","column":2,"row":3,"structure":"","height":0}.
[2025-04-16 21:16:19] [INFO] [SpeedQueue] Added unit user:Qaqiih into queue
[2025-04-16 21:16:19] [INFO] [Component] Setting dragon_Hyloer_604c970f-0806-48ff-b4d6-3b5a0c10913d on to {"spawn_region":[],"collider":"","unit":"dragon_Hyloer_604c970f-0806-48ff-b4d6-3b5a0c10913d","column":4,"row":2,"structure":"","height":0}.
[2025-04-16 21:16:19] [INFO] [SpeedQueue] Added unit user:Hyloer into queue
[2025-04-16 21:16:19] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:16:19] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:16:19] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:16:19] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:16:19] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:16:19] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:16:19] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:16:19] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:16:19] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_616f53b0-86d8-4c7c-8450-d5ce15cc5e0f
[2025-04-16 21:16:19] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:16:19] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:16:19] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:16:19] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:16:19] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:16:20] [INFO] [VisualsSystem] Finished creating blurred background after 0.4932118356227875 seconds
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,136
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 869,151
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 830,169
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,187
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,196
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,211
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,227
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 683,240
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 657,253
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 635,263
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 617,274
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 602,282
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 589,290
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 577,297
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 566,303
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 563,305
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 556,312
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 548,317
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 543,321
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 539,324
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 535,328
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 533,330
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 530,333
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 528,334
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 527,335
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 527,336
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 526,337
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 526,338
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 525,338
[2025-04-16 21:16:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 525,339
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 526,338
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 528,336
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 530,333
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 532,331
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 535,327
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 542,319
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 546,314
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 550,308
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 555,301
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 558,297
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,292
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 564,288
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 566,283
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,279
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 568,275
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,271
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 570,269
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 571,267
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 571,265
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 571,263
[2025-04-16 21:16:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 571,262
