[2025-04-16 21:16:33] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:16:33] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:16:33] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:16:33] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:16:33] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:16:33] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:16:33] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:16:33] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:16:33] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:16:33] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:16:33] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:16:33] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:16:33] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:16:33] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:16:33] [INFO] [Component] Setting dark_dragon_Wuzevq_727ca037-5bb8-4625-be6a-68567607490f on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Wuzevq_727ca037-5bb8-4625-be6a-68567607490f","column":1,"row":2,"structure":"","height":0}.
[2025-04-16 21:16:33] [INFO] [SpeedQueue] Added unit enemy:Wuzevq into queue
[2025-04-16 21:16:33] [INFO] [Component] Setting dragon_Kuzemj_7de464f0-af0a-44f8-b052-54754778d0f6 on to {"spawn_region":[],"collider":"","unit":"dragon_Kuzemj_7de464f0-af0a-44f8-b052-54754778d0f6","column":5,"row":1,"structure":"","height":0}.
[2025-04-16 21:16:33] [INFO] [SpeedQueue] Added unit enemy:Kuzemj into queue
[2025-04-16 21:16:33] [INFO] [Component] Setting air_dragon_Quoap_9fbf8a60-fa1b-489b-8a7f-d8f5c782078d on to {"spawn_region":[],"collider":"","unit":"air_dragon_Quoap_9fbf8a60-fa1b-489b-8a7f-d8f5c782078d","column":0,"row":2,"structure":"","height":0}.
[2025-04-16 21:16:33] [INFO] [SpeedQueue] Added unit enemy:Quoap into queue
[2025-04-16 21:16:33] [INFO] [Component] Setting water_dragon_Dyfe_0d2c6516-c953-450b-af07-ce94c165504d on to {"spawn_region":[],"collider":"","unit":"water_dragon_Dyfe_0d2c6516-c953-450b-af07-ce94c165504d","column":5,"row":5,"structure":"","height":0}.
[2025-04-16 21:16:33] [INFO] [SpeedQueue] Added unit enemy:Dyfe into queue
[2025-04-16 21:16:33] [INFO] [Component] Setting dark_dragon_Ragye_17d418f0-cbe4-4dd1-9220-b4768b9502a7 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Ragye_17d418f0-cbe4-4dd1-9220-b4768b9502a7","column":0,"row":5,"structure":"","height":0}.
[2025-04-16 21:16:33] [INFO] [SpeedQueue] Added unit enemy:Ragye into queue
[2025-04-16 21:16:33] [INFO] [Component] Setting earth_dragon_Wovbau_5ee3ce2a-9b21-4ea9-a5ec-70befea0f662 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Wovbau_5ee3ce2a-9b21-4ea9-a5ec-70befea0f662","column":3,"row":7,"structure":"","height":0}.
[2025-04-16 21:16:33] [INFO] [SpeedQueue] Added unit user:Wovbau into queue
[2025-04-16 21:16:33] [INFO] [Component] Setting air_dragon_Aozeie_0e826b7d-2a4c-44f0-a526-6388a970d7d5 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Aozeie_0e826b7d-2a4c-44f0-a526-6388a970d7d5","column":4,"row":3,"structure":"","height":0}.
[2025-04-16 21:16:33] [INFO] [SpeedQueue] Added unit user:Aozeie into queue
[2025-04-16 21:16:33] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:16:34] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:16:34] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:16:34] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:16:34] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:16:34] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:16:34] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:16:34] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:16:34] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_5897fba6-6f2c-4439-b559-b006d72b41e8
[2025-04-16 21:16:34] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:16:34] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:16:34] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:16:34] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:16:34] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:16:35] [INFO] [VisualsSystem] Finished creating blurred background after 0.49218058586120605 seconds
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,164
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,184
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,206
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,216
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,234
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,248
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,262
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 814,273
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,283
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,291
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,293
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,298
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,302
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,304
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,307
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,308
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,310
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,311
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,313
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,315
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,318
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 727,321
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,324
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,331
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,332
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 711,336
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,339
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,342
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 699,345
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,346
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,347
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,349
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,349
[2025-04-16 21:16:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 691,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 690,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 688,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 683,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 680,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 676,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 668,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 657,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 652,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 641,350
[2025-04-16 21:16:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 634,350
