[2025-04-16 21:27:15] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:27:15] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:27:15] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:27:15] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:27:15] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:27:15] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:27:15] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:27:15] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:27:15] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:27:15] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:27:15] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:27:15] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:27:15] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:27:15] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:27:15] [INFO] [Component] Setting water_dragon_Luds_ff8b25c6-7465-4626-a9e9-45503c6c5c74 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Luds_ff8b25c6-7465-4626-a9e9-45503c6c5c74","column":2,"row":6,"structure":"","height":0}.
[2025-04-16 21:27:15] [INFO] [SpeedQueue] Added unit enemy:Luds into queue
[2025-04-16 21:27:15] [INFO] [Component] Setting light_dragon_Byos_dcc0fc54-eea6-401e-97e6-8ecdd7ab6377 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Byos_dcc0fc54-eea6-401e-97e6-8ecdd7ab6377","column":0,"row":1,"structure":"","height":0}.
[2025-04-16 21:27:15] [INFO] [SpeedQueue] Added unit enemy:Byos into queue
[2025-04-16 21:27:15] [INFO] [Component] Setting air_dragon_Zikcqg_4a22fc1d-1fc6-411d-b09e-33b386f9402e on to {"spawn_region":[],"collider":"","unit":"air_dragon_Zikcqg_4a22fc1d-1fc6-411d-b09e-33b386f9402e","column":6,"row":7,"structure":"","height":0}.
[2025-04-16 21:27:15] [INFO] [SpeedQueue] Added unit enemy:Zikcqg into queue
[2025-04-16 21:27:15] [INFO] [Component] Setting earth_dragon_Gykxy_6d0805d7-c64d-4144-86a9-c0f0b8c670fd on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Gykxy_6d0805d7-c64d-4144-86a9-c0f0b8c670fd","column":4,"row":6,"structure":"","height":0}.
[2025-04-16 21:27:15] [INFO] [SpeedQueue] Added unit enemy:Gykxy into queue
[2025-04-16 21:27:15] [INFO] [Component] Setting fire_dragon_Xevkd_7d464c77-53bf-42cf-ae56-334d12e68241 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Xevkd_7d464c77-53bf-42cf-ae56-334d12e68241","column":5,"row":5,"structure":"","height":0}.
[2025-04-16 21:27:15] [INFO] [SpeedQueue] Added unit user:Xevkd into queue
[2025-04-16 21:27:15] [INFO] [Component] Setting light_dragon_Hugiiu_61a02695-b2bb-4aec-a1c6-163a6083b7fc on to {"spawn_region":[],"collider":"","unit":"light_dragon_Hugiiu_61a02695-b2bb-4aec-a1c6-163a6083b7fc","column":2,"row":1,"structure":"","height":0}.
[2025-04-16 21:27:15] [INFO] [SpeedQueue] Added unit user:Hugiiu into queue
[2025-04-16 21:27:15] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:27:15] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:27:15] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:27:15] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:27:15] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:27:15] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:27:16] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:27:16] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:27:16] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_eb243eb4-7b75-448e-9dca-842e22c515b5
[2025-04-16 21:27:16] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:27:16] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:27:16] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:27:16] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:27:16] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:27:16] [INFO] [VisualsSystem] Finished creating blurred background after 0.5013629198074341 seconds
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1123,157
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1116,163
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1108,169
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1105,172
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1094,181
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1090,184
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1084,189
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,193
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1075,196
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,200
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1066,203
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1064,205
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,206
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1058,208
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,209
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1054,210
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,212
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,213
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,215
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,216
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,219
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1035,222
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,223
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,229
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,232
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,235
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,244
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,249
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,255
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,261
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,267
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,277
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,284
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,295
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,306
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,316
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 902,329
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,340
[2025-04-16 21:27:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,350
[2025-04-16 21:27:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 867,359
[2025-04-16 21:27:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,369
[2025-04-16 21:27:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 843,378
[2025-04-16 21:27:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,385
[2025-04-16 21:27:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,392
[2025-04-16 21:27:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 818,397
[2025-04-16 21:27:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 814,399
