[2025-04-16 21:27:34] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:27:34] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:27:34] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:27:34] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:27:34] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:27:34] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:27:34] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:27:34] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:27:34] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:27:34] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:27:34] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:27:34] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:27:34] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:27:34] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:27:34] [INFO] [Component] Setting light_dragon_Meya_42ccba93-125e-41cc-9eb6-ed96a0b85f4b on to {"spawn_region":[],"collider":"","unit":"light_dragon_Meya_42ccba93-125e-41cc-9eb6-ed96a0b85f4b","column":1,"row":3,"structure":"","height":0}.
[2025-04-16 21:27:34] [INFO] [SpeedQueue] Added unit enemy:Meya into queue
[2025-04-16 21:27:34] [INFO] [Component] Setting dark_dragon_Togdst_06dc53d0-28b1-4756-9269-b23ebeeeb3c1 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Togdst_06dc53d0-28b1-4756-9269-b23ebeeeb3c1","column":6,"row":2,"structure":"","height":0}.
[2025-04-16 21:27:34] [INFO] [SpeedQueue] Added unit enemy:Togdst into queue
[2025-04-16 21:27:34] [INFO] [Component] Setting dragon_Aagme_03493270-9889-4b49-ab2b-95a8a0f17900 on to {"spawn_region":[],"collider":"","unit":"dragon_Aagme_03493270-9889-4b49-ab2b-95a8a0f17900","column":4,"row":0,"structure":"","height":0}.
[2025-04-16 21:27:34] [INFO] [SpeedQueue] Added unit enemy:Aagme into queue
[2025-04-16 21:27:34] [INFO] [Component] Setting light_dragon_Rubyc_4501bc14-7e72-44a6-92a9-3e5473281b8d on to {"spawn_region":[],"collider":"","unit":"light_dragon_Rubyc_4501bc14-7e72-44a6-92a9-3e5473281b8d","column":7,"row":0,"structure":"","height":0}.
[2025-04-16 21:27:34] [INFO] [SpeedQueue] Added unit enemy:Rubyc into queue
[2025-04-16 21:27:34] [INFO] [Component] Setting earth_dragon_Uect_1002505a-6201-4733-be42-f83e51672b54 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Uect_1002505a-6201-4733-be42-f83e51672b54","column":1,"row":6,"structure":"","height":0}.
[2025-04-16 21:27:34] [INFO] [SpeedQueue] Added unit enemy:Uect into queue
[2025-04-16 21:27:34] [INFO] [Component] Setting light_dragon_Guzuot_32edbc1c-202f-464c-bdbc-d328aae5a4a3 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Guzuot_32edbc1c-202f-464c-bdbc-d328aae5a4a3","column":5,"row":2,"structure":"","height":0}.
[2025-04-16 21:27:34] [INFO] [SpeedQueue] Added unit user:Guzuot into queue
[2025-04-16 21:27:34] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:27:34] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:27:34] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:27:34] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:27:34] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:27:34] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:27:34] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:27:35] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:27:35] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_2119977c-c020-4876-9546-79c92efbd493
[2025-04-16 21:27:35] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:27:35] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:27:35] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:27:35] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:27:35] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:27:35] [INFO] [VisualsSystem] Finished creating blurred background after 0.4974484443664551 seconds
[2025-04-16 21:27:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 1052,142
[2025-04-16 21:27:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,145
[2025-04-16 21:27:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,147
[2025-04-16 21:27:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,154
[2025-04-16 21:27:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,158
[2025-04-16 21:27:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,164
[2025-04-16 21:27:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,170
[2025-04-16 21:27:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,177
[2025-04-16 21:27:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,185
[2025-04-16 21:27:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,195
[2025-04-16 21:27:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,205
[2025-04-16 21:27:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,215
[2025-04-16 21:27:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,225
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,235
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,246
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 886,256
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 867,267
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,277
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,287
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 823,297
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 818,302
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,309
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,316
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,322
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,326
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,333
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,336
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,338
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,341
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,342
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,345
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,346
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,349
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,350
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,352
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 754,353
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,355
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,357
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,359
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,360
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,361
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,363
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,364
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,365
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,366
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,367
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,369
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,370
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,371
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,373
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 732,377
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,379
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,381
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,384
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 706,387
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,388
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 681,391
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,393
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 657,394
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 650,394
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 641,394
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 633,394
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 626,394
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 620,393
[2025-04-16 21:27:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 615,391
