[2025-04-16 21:27:46] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:27:46] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:27:46] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:27:46] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:27:46] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:27:46] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:27:46] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:27:46] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:27:46] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:27:46] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:27:46] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:27:46] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:27:46] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:27:46] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:27:46] [INFO] [Component] Setting water_dragon_Laeiie_ce028dae-c1ad-403b-ad10-bb1f9ef83e01 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Laeiie_ce028dae-c1ad-403b-ad10-bb1f9ef83e01","column":4,"row":5,"structure":"","height":0}.
[2025-04-16 21:27:46] [INFO] [SpeedQueue] Added unit enemy:Laeiie into queue
[2025-04-16 21:27:46] [INFO] [Component] Setting air_dragon_Deegyy_d7b2b1d2-8dff-4c0b-a1fc-8eab8b0d77c7 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Deegyy_d7b2b1d2-8dff-4c0b-a1fc-8eab8b0d77c7","column":7,"row":1,"structure":"","height":0}.
[2025-04-16 21:27:46] [INFO] [SpeedQueue] Added unit enemy:Deegyy into queue
[2025-04-16 21:27:46] [INFO] [Component] Setting water_dragon_Gauyay_b60d2c52-c3ff-47b5-bac4-bbf46913c4ec on to {"spawn_region":[],"collider":"","unit":"water_dragon_Gauyay_b60d2c52-c3ff-47b5-bac4-bbf46913c4ec","column":7,"row":6,"structure":"","height":0}.
[2025-04-16 21:27:46] [INFO] [SpeedQueue] Added unit enemy:Gauyay into queue
[2025-04-16 21:27:46] [INFO] [Component] Setting dragon_Gyeabo_c04eeae7-45cb-406e-81e2-50e7513b3e1d on to {"spawn_region":[],"collider":"","unit":"dragon_Gyeabo_c04eeae7-45cb-406e-81e2-50e7513b3e1d","column":3,"row":6,"structure":"","height":0}.
[2025-04-16 21:27:46] [INFO] [SpeedQueue] Added unit enemy:Gyeabo into queue
[2025-04-16 21:27:46] [INFO] [Component] Setting earth_dragon_Liaayr_e9abe165-8788-44ae-add7-d09d4d0f85e5 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Liaayr_e9abe165-8788-44ae-add7-d09d4d0f85e5","column":7,"row":7,"structure":"","height":0}.
[2025-04-16 21:27:46] [INFO] [SpeedQueue] Added unit enemy:Liaayr into queue
[2025-04-16 21:27:46] [INFO] [Component] Setting earth_dragon_Gupoib_bcd9fe6b-9d69-4e88-b9ab-5de3cfd2bf55 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Gupoib_bcd9fe6b-9d69-4e88-b9ab-5de3cfd2bf55","column":3,"row":5,"structure":"","height":0}.
[2025-04-16 21:27:46] [INFO] [SpeedQueue] Added unit user:Gupoib into queue
[2025-04-16 21:27:46] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:27:46] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:27:46] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:27:46] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:27:46] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:27:46] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:27:46] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:27:47] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:27:47] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_dd64b813-423b-449d-b766-b41859010e31
[2025-04-16 21:27:47] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:27:47] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:27:47] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:27:47] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:27:47] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:27:47] [INFO] [VisualsSystem] Finished creating blurred background after 0.4931986331939697 seconds
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,247
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,254
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 1095,263
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 1083,270
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 1067,280
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,288
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,298
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,307
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,320
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,332
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,343
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,352
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,361
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,364
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,370
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,375
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,379
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,382
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,385
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,387
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,388
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,390
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,391
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 861,392
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,393
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 846,394
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 842,395
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,396
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,397
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 824,398
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,399
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 817,400
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 814,401
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,401
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,401
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,402
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 811,402
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 810,402
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 809,402
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 807,402
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,402
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,402
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,400
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,400
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,398
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,397
[2025-04-16 21:27:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,395
