[2025-04-16 21:28:48] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:28:48] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:28:48] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:28:48] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:28:48] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:28:48] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:28:48] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:28:48] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:28:48] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:28:48] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:28:48] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:28:48] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:28:48] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:28:48] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:28:49] [INFO] [Component] Setting fire_dragon_Yyyu_68d9de1a-4fae-475f-ac1a-259a85a2e1b5 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Yyyu_68d9de1a-4fae-475f-ac1a-259a85a2e1b5","column":4,"row":6,"structure":"","height":0}.
[2025-04-16 21:28:49] [INFO] [SpeedQueue] Added unit enemy:Yyyu into queue
[2025-04-16 21:28:49] [INFO] [Component] Setting water_dragon_Jewete_3b142efa-f19b-4a54-a4dd-6284148fc10c on to {"spawn_region":[],"collider":"","unit":"water_dragon_Jewete_3b142efa-f19b-4a54-a4dd-6284148fc10c","column":4,"row":1,"structure":"","height":0}.
[2025-04-16 21:28:49] [INFO] [SpeedQueue] Added unit enemy:Jewete into queue
[2025-04-16 21:28:49] [INFO] [Component] Setting light_dragon_Fuhuti_f0840bd0-33b7-4c2e-ad85-fca80b642b05 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Fuhuti_f0840bd0-33b7-4c2e-ad85-fca80b642b05","column":2,"row":1,"structure":"","height":0}.
[2025-04-16 21:28:49] [INFO] [SpeedQueue] Added unit enemy:Fuhuti into queue
[2025-04-16 21:28:49] [INFO] [Component] Setting dragon_Vavpai_002973ab-2316-4689-8ef5-0a43802983bf on to {"spawn_region":[],"collider":"","unit":"dragon_Vavpai_002973ab-2316-4689-8ef5-0a43802983bf","column":7,"row":0,"structure":"","height":0}.
[2025-04-16 21:28:49] [INFO] [SpeedQueue] Added unit enemy:Vavpai into queue
[2025-04-16 21:28:49] [INFO] [Component] Setting fire_dragon_Fyfieo_c04d2fff-db16-4407-aad4-3c350cf4c2c2 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Fyfieo_c04d2fff-db16-4407-aad4-3c350cf4c2c2","column":2,"row":7,"structure":"","height":0}.
[2025-04-16 21:28:49] [INFO] [SpeedQueue] Added unit enemy:Fyfieo into queue
[2025-04-16 21:28:49] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:28:49] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:28:49] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:28:49] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:28:49] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:28:49] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:28:49] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:28:49] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:28:49] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_9926f59c-2d29-4361-a656-8b93bf7b03ee
[2025-04-16 21:28:49] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:28:49] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:28:49] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:28:49] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:28:49] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:28:50] [INFO] [VisualsSystem] Finished creating blurred background after 0.49331143498420715 seconds
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,402
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,402
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,402
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 759,402
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,402
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,402
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,403
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,403
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,404
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 719,406
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,408
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 699,412
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,413
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,417
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,423
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,425
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,431
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,436
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,440
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 630,443
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 621,447
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 613,452
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 610,454
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 603,459
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 596,462
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 591,467
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 586,469
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 582,472
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 579,475
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 577,477
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 576,478
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 575,479
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 575,480
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,480
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,481
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 573,481
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,481
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 571,482
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 570,482
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,483
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,484
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 566,485
[2025-04-16 21:28:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 563,485
