[2025-04-16 21:29:01] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:29:01] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:29:01] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:29:01] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:29:01] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:29:01] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:29:01] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:29:01] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:29:01] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:29:01] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:29:01] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:29:01] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:29:01] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:29:01] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:29:01] [INFO] [Component] Setting light_dragon_Wycaz_4512c952-fbda-4f2a-9ae8-a6a2cbdc77b9 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Wycaz_4512c952-fbda-4f2a-9ae8-a6a2cbdc77b9","column":0,"row":6,"structure":"","height":0}.
[2025-04-16 21:29:01] [INFO] [SpeedQueue] Added unit enemy:Wycaz into queue
[2025-04-16 21:29:01] [INFO] [Component] Setting dark_dragon_Zoui_85e178c5-d1e9-4044-98ec-c6080b7ec630 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Zoui_85e178c5-d1e9-4044-98ec-c6080b7ec630","column":3,"row":5,"structure":"","height":0}.
[2025-04-16 21:29:01] [INFO] [SpeedQueue] Added unit enemy:Zoui into queue
[2025-04-16 21:29:01] [INFO] [Component] Setting dark_dragon_Tyzpoo_6873c207-80db-42ff-a54f-3ea2203714fc on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Tyzpoo_6873c207-80db-42ff-a54f-3ea2203714fc","column":0,"row":3,"structure":"","height":0}.
[2025-04-16 21:29:01] [INFO] [SpeedQueue] Added unit enemy:Tyzpoo into queue
[2025-04-16 21:29:01] [INFO] [Component] Setting fire_dragon_Bujyea_fc7fdda1-7b39-44ba-a035-b54efc9dfb1e on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Bujyea_fc7fdda1-7b39-44ba-a035-b54efc9dfb1e","column":7,"row":7,"structure":"","height":0}.
[2025-04-16 21:29:01] [INFO] [SpeedQueue] Added unit enemy:Bujyea into queue
[2025-04-16 21:29:01] [INFO] [Component] Setting dark_dragon_Disol_821ff12b-0d2b-4611-864e-ea22d7861d64 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Disol_821ff12b-0d2b-4611-864e-ea22d7861d64","column":2,"row":4,"structure":"","height":0}.
[2025-04-16 21:29:01] [INFO] [SpeedQueue] Added unit user:Disol into queue
[2025-04-16 21:29:01] [INFO] [Component] Setting earth_dragon_Qejzv_6f40e4ef-ce0b-40fe-b0cf-6011f71d5499 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Qejzv_6f40e4ef-ce0b-40fe-b0cf-6011f71d5499","column":3,"row":1,"structure":"","height":0}.
[2025-04-16 21:29:01] [INFO] [SpeedQueue] Added unit user:Qejzv into queue
[2025-04-16 21:29:01] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:29:01] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:29:01] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:29:01] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:29:01] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:29:01] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:29:01] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:29:02] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:29:02] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_c102ceb5-1f1d-4d77-81ce-737306cd8002
[2025-04-16 21:29:02] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:29:02] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:29:02] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:29:02] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:29:02] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:29:02] [INFO] [VisualsSystem] Finished creating blurred background after 0.5027726888656616 seconds
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,137
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,151
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,178
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 935,188
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 922,198
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,202
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,209
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,214
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,219
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,221
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 886,224
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,226
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,229
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,230
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,231
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,232
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,233
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,234
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 871,235
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,236
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,236
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,237
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 864,238
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,239
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 859,241
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,242
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 848,246
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,247
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,253
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 830,256
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 823,259
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,261
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,268
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,270
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,275
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,282
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,285
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,289
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,293
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,296
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,300
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,302
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,304
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,307
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 754,308
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,311
[2025-04-16 21:29:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,312
