[2025-04-16 21:29:13] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:29:13] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:29:13] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:29:13] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:29:13] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:29:13] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:29:13] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:29:13] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:29:13] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:29:13] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:29:13] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:29:13] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:29:14] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:29:14] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:29:14] [INFO] [Component] Setting earth_dragon_Puue_112e8e2f-79a2-4fc5-a1dc-d940e49dd5e7 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Puue_112e8e2f-79a2-4fc5-a1dc-d940e49dd5e7","column":7,"row":2,"structure":"","height":0}.
[2025-04-16 21:29:14] [INFO] [SpeedQueue] Added unit enemy:Puue into queue
[2025-04-16 21:29:14] [INFO] [Component] Setting dark_dragon_Xute_3a376989-1663-479c-b5ed-c6ea608ee375 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Xute_3a376989-1663-479c-b5ed-c6ea608ee375","column":1,"row":7,"structure":"","height":0}.
[2025-04-16 21:29:14] [INFO] [SpeedQueue] Added unit enemy:Xute into queue
[2025-04-16 21:29:14] [INFO] [Component] Setting dragon_Woch_ac034f2a-0813-4613-9b9b-0babf8299582 on to {"spawn_region":[],"collider":"","unit":"dragon_Woch_ac034f2a-0813-4613-9b9b-0babf8299582","column":0,"row":2,"structure":"","height":0}.
[2025-04-16 21:29:14] [INFO] [SpeedQueue] Added unit enemy:Woch into queue
[2025-04-16 21:29:14] [INFO] [Component] Setting light_dragon_Safkit_972151e0-8b0f-4ab4-b597-61cd392a375c on to {"spawn_region":[],"collider":"","unit":"light_dragon_Safkit_972151e0-8b0f-4ab4-b597-61cd392a375c","column":6,"row":3,"structure":"","height":0}.
[2025-04-16 21:29:14] [INFO] [SpeedQueue] Added unit enemy:Safkit into queue
[2025-04-16 21:29:14] [INFO] [Component] Setting earth_dragon_Iuddsi_850c4660-e371-4f43-8db0-0bfd31727eae on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Iuddsi_850c4660-e371-4f43-8db0-0bfd31727eae","column":2,"row":7,"structure":"","height":0}.
[2025-04-16 21:29:14] [INFO] [SpeedQueue] Added unit enemy:Iuddsi into queue
[2025-04-16 21:29:14] [INFO] [Component] Setting air_dragon_Madaai_5d06d223-d22e-42a4-8c64-c28afd7da831 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Madaai_5d06d223-d22e-42a4-8c64-c28afd7da831","column":2,"row":4,"structure":"","height":0}.
[2025-04-16 21:29:14] [INFO] [SpeedQueue] Added unit user:Madaai into queue
[2025-04-16 21:29:14] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:29:14] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:29:14] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:29:14] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:29:14] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:29:14] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:29:14] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:29:14] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:29:14] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_f1be3d16-4e6e-4632-b305-22ade1feaa7c
[2025-04-16 21:29:14] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:29:14] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:29:14] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:29:14] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:29:14] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:29:15] [INFO] [VisualsSystem] Finished creating blurred background after 0.4933491051197052 seconds
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,223
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,230
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,237
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,244
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1081,250
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,256
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,258
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1061,263
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,266
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,270
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,273
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,276
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,279
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,281
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,284
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,287
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,290
[2025-04-16 21:29:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,293
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,296
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,299
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,301
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,304
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,307
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 998,310
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,313
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,316
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,319
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,325
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,328
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,331
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,336
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,339
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,344
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 935,347
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,350
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,352
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,354
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,356
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,360
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,361
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,362
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,364
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,365
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,366
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 876,367
[2025-04-16 21:29:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 871,367
