[2025-04-16 21:29:25] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:29:25] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:29:25] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:29:25] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:29:25] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:29:25] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:29:25] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:29:25] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:29:25] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:29:25] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:29:25] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:29:25] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:29:25] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:29:25] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:29:25] [INFO] [Component] Setting air_dragon_Oyvi_85e43b8d-3ae9-4b53-a5c5-e6fc55dc06e7 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Oyvi_85e43b8d-3ae9-4b53-a5c5-e6fc55dc06e7","column":3,"row":7,"structure":"","height":0}.
[2025-04-16 21:29:25] [INFO] [SpeedQueue] Added unit enemy:Oyvi into queue
[2025-04-16 21:29:25] [INFO] [Component] Setting light_dragon_Kyyi_3ef835aa-b0f4-47f4-b5fc-a22f7bde22be on to {"spawn_region":[],"collider":"","unit":"light_dragon_Kyyi_3ef835aa-b0f4-47f4-b5fc-a22f7bde22be","column":3,"row":0,"structure":"","height":0}.
[2025-04-16 21:29:25] [INFO] [SpeedQueue] Added unit enemy:Kyyi into queue
[2025-04-16 21:29:25] [INFO] [Component] Setting light_dragon_Feied_b9b6ede9-6575-44e9-b339-39b1c30a3e3b on to {"spawn_region":[],"collider":"","unit":"light_dragon_Feied_b9b6ede9-6575-44e9-b339-39b1c30a3e3b","column":7,"row":1,"structure":"","height":0}.
[2025-04-16 21:29:25] [INFO] [SpeedQueue] Added unit enemy:Feied into queue
[2025-04-16 21:29:25] [INFO] [Component] Setting fire_dragon_Heoaoo_e7267638-abf3-454f-8b24-2174302665b6 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Heoaoo_e7267638-abf3-454f-8b24-2174302665b6","column":5,"row":3,"structure":"","height":0}.
[2025-04-16 21:29:25] [INFO] [SpeedQueue] Added unit enemy:Heoaoo into queue
[2025-04-16 21:29:25] [INFO] [Component] Setting earth_dragon_Tyia_85862a3d-8c75-4471-8c51-f70642dc6071 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Tyia_85862a3d-8c75-4471-8c51-f70642dc6071","column":5,"row":2,"structure":"","height":0}.
[2025-04-16 21:29:25] [INFO] [SpeedQueue] Added unit user:Tyia into queue
[2025-04-16 21:29:25] [INFO] [Component] Setting water_dragon_Meey_ab7b7d22-ac61-40f2-8232-d6f7d8234cf9 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Meey_ab7b7d22-ac61-40f2-8232-d6f7d8234cf9","column":3,"row":1,"structure":"","height":0}.
[2025-04-16 21:29:25] [INFO] [SpeedQueue] Added unit user:Meey into queue
[2025-04-16 21:29:25] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:29:25] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:29:25] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:29:25] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:29:25] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:29:25] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:29:25] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:29:26] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:29:26] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_85076df1-c6ce-4053-aba4-cf4d0f5fae6f
[2025-04-16 21:29:26] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:29:26] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:29:26] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:29:26] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:29:26] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:29:26] [INFO] [VisualsSystem] Finished creating blurred background after 0.49274665117263794 seconds
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,128
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,132
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,136
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1015,139
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,143
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1011,144
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,146
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,147
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,148
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,149
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,149
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,150
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,151
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,151
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,152
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,153
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,154
[2025-04-16 21:29:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,155
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,156
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,157
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,158
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,159
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,160
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,160
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,161
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,161
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,162
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 998,162
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,163
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 996,164
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 994,165
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 992,167
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 990,169
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,170
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,171
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 984,173
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,174
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 979,176
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,177
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,180
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,181
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,183
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,184
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,185
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,186
[2025-04-16 21:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,187
