[2025-04-16 21:29:50] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:29:50] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:29:50] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:29:50] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:29:50] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:29:50] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:29:50] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:29:50] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:29:50] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:29:50] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:29:50] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:29:50] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:29:50] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:29:50] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:29:50] [INFO] [Component] Setting dark_dragon_Kayz_23a68e65-f737-4638-b934-9ea5c483eec5 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Kayz_23a68e65-f737-4638-b934-9ea5c483eec5","column":3,"row":0,"structure":"","height":0}.
[2025-04-16 21:29:50] [INFO] [SpeedQueue] Added unit enemy:Kayz into queue
[2025-04-16 21:29:50] [INFO] [Component] Setting earth_dragon_Mydo_f6a2fb38-79b7-410d-b4ee-c74ec18149aa on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Mydo_f6a2fb38-79b7-410d-b4ee-c74ec18149aa","column":0,"row":7,"structure":"","height":0}.
[2025-04-16 21:29:50] [INFO] [SpeedQueue] Added unit enemy:Mydo into queue
[2025-04-16 21:29:50] [INFO] [Component] Setting water_dragon_Hanee_ce0b1e05-6772-4a94-a5b7-dc41dd0e29c9 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Hanee_ce0b1e05-6772-4a94-a5b7-dc41dd0e29c9","column":7,"row":2,"structure":"","height":0}.
[2025-04-16 21:29:50] [INFO] [SpeedQueue] Added unit enemy:Hanee into queue
[2025-04-16 21:29:50] [INFO] [Component] Setting light_dragon_Ieci_324af042-733f-4fe9-ab0f-01c801299795 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Ieci_324af042-733f-4fe9-ab0f-01c801299795","column":7,"row":6,"structure":"","height":0}.
[2025-04-16 21:29:50] [INFO] [SpeedQueue] Added unit enemy:Ieci into queue
[2025-04-16 21:29:50] [INFO] [Component] Setting water_dragon_Cecgv_1a2a5fab-efcd-4cb8-a22a-05845e9787c0 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Cecgv_1a2a5fab-efcd-4cb8-a22a-05845e9787c0","column":5,"row":5,"structure":"","height":0}.
[2025-04-16 21:29:50] [INFO] [SpeedQueue] Added unit enemy:Cecgv into queue
[2025-04-16 21:29:50] [INFO] [Component] Setting fire_dragon_Sytdzo_d931d2a2-a3a1-473a-83bd-3d371b756bdc on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Sytdzo_d931d2a2-a3a1-473a-83bd-3d371b756bdc","column":3,"row":2,"structure":"","height":0}.
[2025-04-16 21:29:50] [INFO] [SpeedQueue] Added unit user:Sytdzo into queue
[2025-04-16 21:29:50] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:29:51] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:29:51] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:29:51] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:29:51] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:29:51] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:29:51] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:29:51] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:29:51] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_1a3d62b2-751e-4d63-8152-d7d10427c15e
[2025-04-16 21:29:51] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:29:51] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:29:51] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:29:51] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:29:51] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:29:52] [INFO] [VisualsSystem] Finished creating blurred background after 0.4945999085903168 seconds
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,122
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,125
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,127
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1038,130
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1035,133
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,134
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,137
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,138
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,140
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,141
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,142
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,143
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,144
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,145
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,146
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1010,148
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,150
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 996,152
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,156
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 979,160
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,164
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,168
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,174
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,178
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,180
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,184
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,186
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,188
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,190
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,192
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,194
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 886,195
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,196
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,197
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,198
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,198
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,198
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 876,199
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,199
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,199
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,199
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,199
[2025-04-16 21:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 871,199
[2025-04-16 21:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,199
[2025-04-16 21:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,199
[2025-04-16 21:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 867,200
