[2025-04-16 21:30:21] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:30:21] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:30:21] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:30:21] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:30:21] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:30:21] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:30:21] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:30:21] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:30:21] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:30:21] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:30:21] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:30:21] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:30:21] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:30:21] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:30:21] [INFO] [Component] Setting fire_dragon_Ruviuu_f3571773-e67e-42d1-a903-1393e5a34443 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Ruviuu_f3571773-e67e-42d1-a903-1393e5a34443","column":6,"row":4,"structure":"","height":0}.
[2025-04-16 21:30:21] [INFO] [SpeedQueue] Added unit enemy:Ruviuu into queue
[2025-04-16 21:30:21] [INFO] [Component] Setting fire_dragon_Nisc_41f6bf27-8c18-40d3-9f38-8ebcd0f151f9 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Nisc_41f6bf27-8c18-40d3-9f38-8ebcd0f151f9","column":4,"row":2,"structure":"","height":0}.
[2025-04-16 21:30:21] [INFO] [SpeedQueue] Added unit enemy:Nisc into queue
[2025-04-16 21:30:21] [INFO] [Component] Setting earth_dragon_Joyenr_136b2035-53b0-4356-a1d6-75679a7d913c on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Joyenr_136b2035-53b0-4356-a1d6-75679a7d913c","column":0,"row":6,"structure":"","height":0}.
[2025-04-16 21:30:21] [INFO] [SpeedQueue] Added unit enemy:Joyenr into queue
[2025-04-16 21:30:21] [INFO] [Component] Setting air_dragon_Nyac_e5376317-47a7-4a8f-b8ce-5a19db7643c9 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Nyac_e5376317-47a7-4a8f-b8ce-5a19db7643c9","column":1,"row":6,"structure":"","height":0}.
[2025-04-16 21:30:21] [INFO] [SpeedQueue] Added unit enemy:Nyac into queue
[2025-04-16 21:30:21] [INFO] [Component] Setting light_dragon_Sine_edf0f148-8944-429a-825f-e207ae9d5f47 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Sine_edf0f148-8944-429a-825f-e207ae9d5f47","column":2,"row":4,"structure":"","height":0}.
[2025-04-16 21:30:21] [INFO] [SpeedQueue] Added unit user:Sine into queue
[2025-04-16 21:30:21] [INFO] [Component] Setting light_dragon_Cupf_70159dc5-0237-46f8-932d-08bb45e63e0b on to {"spawn_region":[],"collider":"","unit":"light_dragon_Cupf_70159dc5-0237-46f8-932d-08bb45e63e0b","column":1,"row":7,"structure":"","height":0}.
[2025-04-16 21:30:21] [INFO] [SpeedQueue] Added unit user:Cupf into queue
[2025-04-16 21:30:21] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:30:21] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:30:21] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:30:21] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:30:21] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:30:21] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:30:21] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:30:22] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:30:22] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_20969204-f3e5-4679-9c54-b5ef7e17348c
[2025-04-16 21:30:22] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:30:22] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:30:22] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:30:22] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:30:22] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:30:22] [INFO] [VisualsSystem] Finished creating blurred background after 0.49145132303237915 seconds
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,119
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,121
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,122
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,124
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,125
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,127
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,129
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,133
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,136
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,139
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,144
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 927,149
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 927,152
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,158
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,163
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,168
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,173
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,178
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,182
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,186
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,190
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,192
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,196
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,199
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,201
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,203
[2025-04-16 21:30:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,205
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,207
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,209
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,211
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,212
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,214
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,217
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,219
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,221
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,223
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,226
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,229
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,232
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,235
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 927,238
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,241
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,245
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,248
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,251
[2025-04-16 21:30:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,256
