[2025-04-16 21:36:04] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 21:36:04] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 21:36:05] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 21:36:05] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 21:36:05] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 21:36:05] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 21:36:05] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 21:36:05] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 21:36:05] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 21:36:05] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 21:36:05] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 21:36:05] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 21:36:05] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 21:36:05] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 21:36:05] [INFO] [Component] Setting light_dragon_Zazre_ea7950e3-c18e-4f79-b261-b2bf49b14709 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Zazre_ea7950e3-c18e-4f79-b261-b2bf49b14709","column":7,"row":7,"structure":"","height":0}.
[2025-04-16 21:36:05] [INFO] [SpeedQueue] Added unit enemy:Zazre into queue
[2025-04-16 21:36:05] [INFO] [Component] Setting earth_dragon_Oihobo_a0b7800b-775a-4ec0-a0c2-8f70f2f13b94 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Oihobo_a0b7800b-775a-4ec0-a0c2-8f70f2f13b94","column":0,"row":5,"structure":"","height":0}.
[2025-04-16 21:36:05] [INFO] [SpeedQueue] Added unit enemy:Oihobo into queue
[2025-04-16 21:36:05] [INFO] [Component] Setting earth_dragon_Rafn_642e1cdc-f48a-40e6-a8f4-22ec7b8a3655 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Rafn_642e1cdc-f48a-40e6-a8f4-22ec7b8a3655","column":4,"row":2,"structure":"","height":0}.
[2025-04-16 21:36:05] [INFO] [SpeedQueue] Added unit enemy:Rafn into queue
[2025-04-16 21:36:05] [INFO] [Component] Setting light_dragon_Zopoay_db145896-b89d-4d60-9f12-0d8fcb1740c0 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Zopoay_db145896-b89d-4d60-9f12-0d8fcb1740c0","column":2,"row":3,"structure":"","height":0}.
[2025-04-16 21:36:05] [INFO] [SpeedQueue] Added unit enemy:Zopoay into queue
[2025-04-16 21:36:05] [INFO] [Component] Setting air_dragon_Degw_544c22d2-8293-47a1-bae7-478613bf9614 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Degw_544c22d2-8293-47a1-bae7-478613bf9614","column":0,"row":7,"structure":"","height":0}.
[2025-04-16 21:36:05] [INFO] [SpeedQueue] Added unit enemy:Degw into queue
[2025-04-16 21:36:05] [INFO] [Component] Setting dragon_Cooi_c822e6eb-d208-4cba-aeee-fa730e72a7a0 on to {"spawn_region":[],"collider":"","unit":"dragon_Cooi_c822e6eb-d208-4cba-aeee-fa730e72a7a0","column":3,"row":0,"structure":"","height":0}.
[2025-04-16 21:36:05] [INFO] [SpeedQueue] Added unit user:Cooi into queue
[2025-04-16 21:36:05] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 21:36:05] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 21:36:05] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:36:05] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 21:36:05] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 21:36:05] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 21:36:05] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 21:36:05] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 21:36:05] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_9abc727e-6c11-4f88-a0a4-b82e022cefc1
[2025-04-16 21:36:05] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 21:36:05] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 21:36:05] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 21:36:05] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 21:36:06] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 21:36:06] [INFO] [VisualsSystem] Finished creating blurred background after 0.48664191365242004 seconds
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1066,122
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1062,124
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,127
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,130
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,133
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,136
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,138
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,141
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,144
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,145
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,148
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1029,149
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,151
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,153
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,155
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1015,159
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,160
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,162
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,165
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,168
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,171
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 990,173
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,175
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,178
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,181
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,183
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,186
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,189
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 961,190
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,193
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 955,195
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,196
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,197
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,198
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,200
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,201
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,202
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,202
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,204
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,206
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 941,207
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,208
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 938,209
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,210
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 935,211
[2025-04-16 21:36:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,212
