[2025-04-16 22:13:34] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 22:13:34] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 22:13:34] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 22:13:34] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 22:13:34] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 22:13:34] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 22:13:34] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 22:13:34] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 22:13:34] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 22:13:34] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 22:13:34] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 22:13:34] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 22:13:34] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 22:13:34] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 22:13:34] [INFO] [Component] Setting light_dragon_Zayqvg_6c79474e-caca-4e05-8ce0-519af45e33ae on to {"spawn_region":[],"collider":"","unit":"light_dragon_Zayqvg_6c79474e-caca-4e05-8ce0-519af45e33ae","column":2,"row":7,"structure":"","height":0}.
[2025-04-16 22:13:34] [INFO] [SpeedQueue] Added unit enemy:Zayqvg into queue
[2025-04-16 22:13:34] [INFO] [Component] Setting light_dragon_Uucl_bc15414f-c62a-43fe-b9af-0d959bc1ed9c on to {"spawn_region":[],"collider":"","unit":"light_dragon_Uucl_bc15414f-c62a-43fe-b9af-0d959bc1ed9c","column":7,"row":5,"structure":"","height":0}.
[2025-04-16 22:13:34] [INFO] [SpeedQueue] Added unit enemy:Uucl into queue
[2025-04-16 22:13:34] [INFO] [Component] Setting air_dragon_Gixkuo_ba48b580-43de-4cc5-a12f-994376f2ec93 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Gixkuo_ba48b580-43de-4cc5-a12f-994376f2ec93","column":0,"row":0,"structure":"","height":0}.
[2025-04-16 22:13:34] [INFO] [SpeedQueue] Added unit enemy:Gixkuo into queue
[2025-04-16 22:13:34] [INFO] [Component] Setting air_dragon_Eyqeiv_e0c8f945-f019-4b2b-b99d-2e865e968179 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Eyqeiv_e0c8f945-f019-4b2b-b99d-2e865e968179","column":6,"row":1,"structure":"","height":0}.
[2025-04-16 22:13:34] [INFO] [SpeedQueue] Added unit enemy:Eyqeiv into queue
[2025-04-16 22:13:34] [INFO] [Component] Setting earth_dragon_Qanuuo_9693ef2b-378c-44ad-ad05-77e57812f3f9 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Qanuuo_9693ef2b-378c-44ad-ad05-77e57812f3f9","column":3,"row":5,"structure":"","height":0}.
[2025-04-16 22:13:34] [INFO] [SpeedQueue] Added unit user:Qanuuo into queue
[2025-04-16 22:13:34] [INFO] [Component] Setting water_dragon_Xajqi_ad85018a-2470-42bf-be34-801fc0b860f5 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Xajqi_ad85018a-2470-42bf-be34-801fc0b860f5","column":0,"row":5,"structure":"","height":0}.
[2025-04-16 22:13:34] [INFO] [SpeedQueue] Added unit user:Xajqi into queue
[2025-04-16 22:13:34] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 22:13:34] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 22:13:34] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:13:34] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 22:13:35] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 22:13:35] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 22:13:35] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 22:13:35] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:13:35] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_f1aa60c3-cc47-438a-87f5-a9c9e21a2b9c
[2025-04-16 22:13:35] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 22:13:35] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 22:13:35] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 22:13:35] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 22:13:35] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 22:13:36] [INFO] [VisualsSystem] Finished creating blurred background after 0.49824684858322144 seconds
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 681,498
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 682,498
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 683,498
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 685,498
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,498
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 687,497
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 688,497
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 689,497
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 690,497
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 691,497
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,497
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,497
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,497
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,496
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,496
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,496
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 701,496
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,496
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,496
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,496
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,496
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,496
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 720,496
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 724,496
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,496
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,496
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 733,497
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,498
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,498
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,499
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,500
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,501
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,501
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,502
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,503
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,503
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 759,504
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 762,505
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,506
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,507
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,507
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,507
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,507
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,507
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,507
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,507
[2025-04-16 22:13:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,507
