[2025-04-16 22:19:27] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 22:19:27] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 22:19:27] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 22:19:27] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 22:19:27] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 22:19:27] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 22:19:27] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 22:19:27] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 22:19:27] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 22:19:27] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 22:19:27] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 22:19:27] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 22:19:28] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 22:19:28] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 22:19:28] [INFO] [Component] Setting earth_dragon_Fanb_2857a066-bf9c-40d6-8b54-c763b9cd93ac on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Fanb_2857a066-bf9c-40d6-8b54-c763b9cd93ac","column":6,"row":4,"structure":"","height":0}.
[2025-04-16 22:19:28] [INFO] [SpeedQueue] Added unit enemy:Fanb into queue
[2025-04-16 22:19:28] [INFO] [Component] Setting water_dragon_Segyo_c80cebc2-a568-4a35-851a-63b7762f6be4 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Segyo_c80cebc2-a568-4a35-851a-63b7762f6be4","column":5,"row":6,"structure":"","height":0}.
[2025-04-16 22:19:28] [INFO] [SpeedQueue] Added unit enemy:Segyo into queue
[2025-04-16 22:19:28] [INFO] [Component] Setting air_dragon_Tiacoo_72095e2a-3e48-4143-bae2-881f3221ee91 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Tiacoo_72095e2a-3e48-4143-bae2-881f3221ee91","column":5,"row":0,"structure":"","height":0}.
[2025-04-16 22:19:28] [INFO] [SpeedQueue] Added unit enemy:Tiacoo into queue
[2025-04-16 22:19:28] [INFO] [Component] Setting dragon_Yyzol_60f5347e-d54f-4f76-9b61-a4c18c39712a on to {"spawn_region":[],"collider":"","unit":"dragon_Yyzol_60f5347e-d54f-4f76-9b61-a4c18c39712a","column":6,"row":7,"structure":"","height":0}.
[2025-04-16 22:19:28] [INFO] [SpeedQueue] Added unit enemy:Yyzol into queue
[2025-04-16 22:19:28] [INFO] [Component] Setting air_dragon_Gyhoaa_02ebabb9-7a49-4391-bda5-55e8a0af9a74 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Gyhoaa_02ebabb9-7a49-4391-bda5-55e8a0af9a74","column":6,"row":6,"structure":"","height":0}.
[2025-04-16 22:19:28] [INFO] [SpeedQueue] Added unit user:Gyhoaa into queue
[2025-04-16 22:19:28] [INFO] [Component] Setting water_dragon_Eifi_dd8a9b50-965f-48cc-b2ee-20d1d64fd34b on to {"spawn_region":[],"collider":"","unit":"water_dragon_Eifi_dd8a9b50-965f-48cc-b2ee-20d1d64fd34b","column":7,"row":6,"structure":"","height":0}.
[2025-04-16 22:19:28] [INFO] [SpeedQueue] Added unit user:Eifi into queue
[2025-04-16 22:19:28] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 22:19:28] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 22:19:28] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:19:28] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 22:19:28] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 22:19:28] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 22:19:28] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 22:19:28] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:19:28] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_f7c0d018-6356-4592-a8bd-2144022718c8
[2025-04-16 22:19:28] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 22:19:28] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 22:19:28] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 22:19:28] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 22:19:28] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 22:19:29] [INFO] [VisualsSystem] Finished creating blurred background after 0.48898977041244507 seconds
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,124
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1072,131
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,139
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,144
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,151
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,158
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,167
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,173
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,183
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,192
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,203
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,212
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,220
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,223
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 944,228
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,233
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,238
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 922,241
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,246
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 902,249
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,253
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,255
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,259
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 869,263
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,267
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,270
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,271
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,274
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 826,276
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 821,277
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 816,279
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,280
[2025-04-16 22:19:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,281
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,282
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,282
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 802,282
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,282
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,283
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,283
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,284
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,285
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,285
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 792,286
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,286
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,287
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,287
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,288
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,289
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,289
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,291
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,291
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,293
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,294
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,296
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,297
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,300
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,302
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,304
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,305
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,307
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,310
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,312
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 733,313
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,315
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,318
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,319
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 704,321
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,322
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 688,323
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 685,324
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 678,325
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,326
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,327
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,329
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,330
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 652,330
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,330
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 644,331
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 641,331
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,332
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 634,333
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 630,334
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 626,335
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 623,335
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 620,335
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 615,336
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 612,337
[2025-04-16 22:19:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 609,338
