[2025-04-16 22:41:56] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 22:41:56] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 22:41:56] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 22:41:56] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 22:41:56] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 22:41:56] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 22:41:56] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 22:41:56] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 22:41:56] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 22:41:56] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 22:41:56] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 22:41:56] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 22:41:56] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 22:41:56] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 22:41:56] [INFO] [Component] Setting earth_dragon_Volex_56bc7d7f-0d58-4a6a-b071-918f3bd6c29e on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Volex_56bc7d7f-0d58-4a6a-b071-918f3bd6c29e","column":4,"row":5,"structure":"","height":0}.
[2025-04-16 22:41:56] [INFO] [SpeedQueue] Added unit enemy:Volex into queue
[2025-04-16 22:41:56] [INFO] [Component] Setting air_dragon_Segu_d9b8bc45-72c7-4276-9258-acc74052ef06 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Segu_d9b8bc45-72c7-4276-9258-acc74052ef06","column":2,"row":2,"structure":"","height":0}.
[2025-04-16 22:41:56] [INFO] [SpeedQueue] Added unit enemy:Segu into queue
[2025-04-16 22:41:56] [INFO] [Component] Setting air_dragon_Galdo_b32a986c-13da-4f23-926d-1dbeb80df02a on to {"spawn_region":[],"collider":"","unit":"air_dragon_Galdo_b32a986c-13da-4f23-926d-1dbeb80df02a","column":3,"row":3,"structure":"","height":0}.
[2025-04-16 22:41:56] [INFO] [SpeedQueue] Added unit enemy:Galdo into queue
[2025-04-16 22:41:56] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 22:41:57] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 22:41:57] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:41:57] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 22:41:57] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 22:41:57] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 22:41:57] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 22:41:57] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:41:57] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_e4bad74a-70eb-4181-95f8-9bf732a22c0b
[2025-04-16 22:41:57] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 22:41:57] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 22:41:57] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 22:41:57] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 22:41:57] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 22:41:58] [INFO] [VisualsSystem] Finished creating blurred background after 0.5067485570907593 seconds
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,136
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1083,143
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,152
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,160
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,176
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,180
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,186
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,193
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,198
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,200
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 912,205
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,207
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,211
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,212
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,213
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,214
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,215
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,216
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,216
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,218
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 871,218
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 869,218
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,219
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,219
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 864,219
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,220
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,220
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,220
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,220
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,220
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,221
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,221
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 848,222
[2025-04-16 22:41:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 846,222
