[2025-04-16 22:44:18] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 22:44:18] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 22:44:18] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 22:44:18] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 22:44:18] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 22:44:18] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 22:44:18] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 22:44:18] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 22:44:18] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 22:44:18] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 22:44:18] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 22:44:18] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 22:44:18] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 22:44:18] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 22:44:18] [INFO] [Component] Setting water_dragon_Goby_19dc72d5-deee-4d61-9db4-c31b9f0a50db on to {"spawn_region":[],"collider":"","unit":"water_dragon_Goby_19dc72d5-deee-4d61-9db4-c31b9f0a50db","column":3,"row":2,"structure":"","height":0}.
[2025-04-16 22:44:18] [INFO] [SpeedQueue] Added unit enemy:Goby into queue
[2025-04-16 22:44:18] [INFO] [Component] Setting water_dragon_Qaouyi_f49d3a17-e56b-4c69-9179-97203d59b9a5 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Qaouyi_f49d3a17-e56b-4c69-9179-97203d59b9a5","column":7,"row":1,"structure":"","height":0}.
[2025-04-16 22:44:18] [INFO] [SpeedQueue] Added unit enemy:Qaouyi into queue
[2025-04-16 22:44:18] [INFO] [Component] Setting dragon_Tojb_960a3d96-3ea7-4379-8a5c-a40595b7927a on to {"spawn_region":[],"collider":"","unit":"dragon_Tojb_960a3d96-3ea7-4379-8a5c-a40595b7927a","column":7,"row":5,"structure":"","height":0}.
[2025-04-16 22:44:18] [INFO] [SpeedQueue] Added unit enemy:Tojb into queue
[2025-04-16 22:44:18] [INFO] [Component] Setting dragon_Sisapv_87ed1c0b-6b15-45cc-8c5c-d38716006e14 on to {"spawn_region":[],"collider":"","unit":"dragon_Sisapv_87ed1c0b-6b15-45cc-8c5c-d38716006e14","column":6,"row":2,"structure":"","height":0}.
[2025-04-16 22:44:18] [INFO] [SpeedQueue] Added unit enemy:Sisapv into queue
[2025-04-16 22:44:18] [INFO] [Component] Setting fire_dragon_Ridr_ea613b08-da54-4648-ae40-5f866b74ee0e on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Ridr_ea613b08-da54-4648-ae40-5f866b74ee0e","column":1,"row":5,"structure":"","height":0}.
[2025-04-16 22:44:18] [INFO] [SpeedQueue] Added unit enemy:Ridr into queue
[2025-04-16 22:44:18] [INFO] [Component] Setting light_dragon_Wyphq_846f771c-ff09-45c1-98b9-777c9c6e6411 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Wyphq_846f771c-ff09-45c1-98b9-777c9c6e6411","column":3,"row":5,"structure":"","height":0}.
[2025-04-16 22:44:18] [INFO] [SpeedQueue] Added unit user:Wyphq into queue
[2025-04-16 22:44:18] [INFO] [Component] Setting light_dragon_Pimeu_3d441ebe-74bb-4df8-865a-e311f57bf870 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Pimeu_3d441ebe-74bb-4df8-865a-e311f57bf870","column":7,"row":3,"structure":"","height":0}.
[2025-04-16 22:44:18] [INFO] [SpeedQueue] Added unit user:Pimeu into queue
[2025-04-16 22:44:18] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 22:44:19] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 22:44:19] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:44:19] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 22:44:19] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 22:44:19] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 22:44:19] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 22:44:19] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:44:19] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_38d84fcf-cbb3-4074-a170-29b8c3149b40
[2025-04-16 22:44:19] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 22:44:19] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 22:44:19] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 22:44:19] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 22:44:19] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 22:44:20] [INFO] [VisualsSystem] Finished creating blurred background after 0.49294301867485046 seconds
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 1097,193
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 1094,193
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,193
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 1086,194
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,195
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 1074,196
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,198
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,200
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 1054,204
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,208
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,212
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,216
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,222
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 998,228
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 993,230
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,240
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,245
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,251
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,257
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,262
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,271
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,279
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,288
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,294
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,303
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,306
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 824,318
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,320
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 811,324
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,329
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,332
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,335
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,338
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,339
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,340
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,342
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,343
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,343
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,344
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,344
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,345
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,345
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,346
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,346
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,347
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,347
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 776,348
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,348
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 774,349
[2025-04-16 22:44:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,350
