[2025-04-16 22:45:53] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 22:45:53] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 22:45:53] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 22:45:53] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 22:45:53] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 22:45:53] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 22:45:53] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 22:45:53] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 22:45:53] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 22:45:53] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 22:45:53] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 22:45:53] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 22:45:54] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 22:45:54] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 22:45:54] [INFO] [Component] Setting earth_dragon_Biiiih_21aa0d94-0b9d-4eaa-b98c-2c6683285a26 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Biiiih_21aa0d94-0b9d-4eaa-b98c-2c6683285a26","column":6,"row":7,"structure":"","height":0}.
[2025-04-16 22:45:54] [INFO] [SpeedQueue] Added unit enemy:Biiiih into queue
[2025-04-16 22:45:54] [INFO] [Component] Setting air_dragon_Buce_a9423fed-a5be-49e4-9443-def73865e5cd on to {"spawn_region":[],"collider":"","unit":"air_dragon_Buce_a9423fed-a5be-49e4-9443-def73865e5cd","column":0,"row":0,"structure":"","height":0}.
[2025-04-16 22:45:54] [INFO] [SpeedQueue] Added unit enemy:Buce into queue
[2025-04-16 22:45:54] [INFO] [Component] Setting light_dragon_Luylir_d6bc4593-bec2-4f6c-a52b-787871810fb0 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Luylir_d6bc4593-bec2-4f6c-a52b-787871810fb0","column":0,"row":5,"structure":"","height":0}.
[2025-04-16 22:45:54] [INFO] [SpeedQueue] Added unit enemy:Luylir into queue
[2025-04-16 22:45:54] [INFO] [Component] Setting earth_dragon_Pupeu_47f64f0d-694b-4c5c-bafa-1732c8e8ceb6 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Pupeu_47f64f0d-694b-4c5c-bafa-1732c8e8ceb6","column":7,"row":7,"structure":"","height":0}.
[2025-04-16 22:45:54] [INFO] [SpeedQueue] Added unit enemy:Pupeu into queue
[2025-04-16 22:45:54] [INFO] [Component] Setting earth_dragon_Foom_af1b2d3c-23b8-4828-b280-9db657ab7b32 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Foom_af1b2d3c-23b8-4828-b280-9db657ab7b32","column":5,"row":0,"structure":"","height":0}.
[2025-04-16 22:45:54] [INFO] [SpeedQueue] Added unit user:Foom into queue
[2025-04-16 22:45:54] [INFO] [Component] Setting air_dragon_Mahm_44b23b62-28c1-4fcb-9f92-5c642760d461 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Mahm_44b23b62-28c1-4fcb-9f92-5c642760d461","column":1,"row":5,"structure":"","height":0}.
[2025-04-16 22:45:54] [INFO] [SpeedQueue] Added unit user:Mahm into queue
[2025-04-16 22:45:54] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 22:45:54] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 22:45:54] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:45:54] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 22:45:54] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 22:45:54] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 22:45:54] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 22:45:54] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:45:54] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_de993cd9-3c74-4268-bef1-b7259e2c727b
[2025-04-16 22:45:54] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 22:45:54] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 22:45:54] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 22:45:54] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 22:45:55] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 22:45:55] [INFO] [VisualsSystem] Finished creating blurred background after 0.48502030968666077 seconds
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,370
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,370
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,370
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,370
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,371
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 736,372
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,373
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 732,376
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,377
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 727,380
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 724,382
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 720,385
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,386
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,388
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,389
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,391
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,392
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 709,393
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 701,397
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,400
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,403
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 690,406
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,408
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 682,412
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 679,414
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 675,417
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,419
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,420
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,421
[2025-04-16 22:45:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 670,421
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 670,422
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 670,423
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,424
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,425
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 668,425
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 668,426
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,426
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,427
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,427
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,428
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,429
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,429
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 662,430
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,431
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,432
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 659,432
[2025-04-16 22:45:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,433
