[2025-04-16 22:46:52] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 22:46:52] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 22:46:52] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 22:46:52] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 22:46:52] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 22:46:52] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 22:46:52] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 22:46:52] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 22:46:52] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 22:46:52] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 22:46:52] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 22:46:52] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 22:46:52] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 22:46:52] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 22:46:52] [INFO] [Component] Setting water_dragon_Pisyv_69fb098a-77f9-4268-a092-86bf161b85d0 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Pisyv_69fb098a-77f9-4268-a092-86bf161b85d0","column":7,"row":0,"structure":"","height":0}.
[2025-04-16 22:46:52] [INFO] [SpeedQueue] Added unit enemy:Pisyv into queue
[2025-04-16 22:46:52] [INFO] [Component] Setting fire_dragon_Eauyyy_afe85d18-dad2-409c-8bdd-c333582547f8 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Eauyyy_afe85d18-dad2-409c-8bdd-c333582547f8","column":3,"row":2,"structure":"","height":0}.
[2025-04-16 22:46:52] [INFO] [SpeedQueue] Added unit enemy:Eauyyy into queue
[2025-04-16 22:46:52] [INFO] [Component] Setting fire_dragon_Gysy_80e44e87-842c-4e2b-a6d9-5a2fdb91f868 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Gysy_80e44e87-842c-4e2b-a6d9-5a2fdb91f868","column":0,"row":6,"structure":"","height":0}.
[2025-04-16 22:46:52] [INFO] [SpeedQueue] Added unit enemy:Gysy into queue
[2025-04-16 22:46:52] [INFO] [Component] Setting air_dragon_Bovi_176ff530-671e-4bcf-9740-392a630426f5 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Bovi_176ff530-671e-4bcf-9740-392a630426f5","column":7,"row":6,"structure":"","height":0}.
[2025-04-16 22:46:52] [INFO] [SpeedQueue] Added unit enemy:Bovi into queue
[2025-04-16 22:46:52] [INFO] [Component] Setting dragon_Foqe_13bcd9ab-f574-4e7b-a884-7d5a3ffc986d on to {"spawn_region":[],"collider":"","unit":"dragon_Foqe_13bcd9ab-f574-4e7b-a884-7d5a3ffc986d","column":1,"row":6,"structure":"","height":0}.
[2025-04-16 22:46:52] [INFO] [SpeedQueue] Added unit enemy:Foqe into queue
[2025-04-16 22:46:52] [INFO] [Component] Setting dark_dragon_Aoduey_399368ca-ea06-4e45-b58e-4c3b9c585df3 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Aoduey_399368ca-ea06-4e45-b58e-4c3b9c585df3","column":6,"row":3,"structure":"","height":0}.
[2025-04-16 22:46:52] [INFO] [SpeedQueue] Added unit user:Aoduey into queue
[2025-04-16 22:46:52] [INFO] [Component] Setting dark_dragon_Eitva_6053241f-7c5f-4b7a-96f4-cf38142edb26 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Eitva_6053241f-7c5f-4b7a-96f4-cf38142edb26","column":5,"row":1,"structure":"","height":0}.
[2025-04-16 22:46:52] [INFO] [SpeedQueue] Added unit user:Eitva into queue
[2025-04-16 22:46:52] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 22:46:52] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 22:46:52] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:46:52] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 22:46:52] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 22:46:52] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 22:46:52] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 22:46:53] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:46:53] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_159dbdc1-2502-42a0-956a-738f4a66a75f
[2025-04-16 22:46:53] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 22:46:53] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 22:46:53] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 22:46:53] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 22:46:53] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 22:46:53] [INFO] [VisualsSystem] Finished creating blurred background after 0.4866333305835724 seconds
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,724
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 941,723
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,721
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,717
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,711
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,698
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,690
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 869,685
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 864,682
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 849,672
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,668
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,665
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,663
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 817,663
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,662
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 802,662
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,662
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,662
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,663
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,671
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,677
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,686
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,695
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,700
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,708
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,715
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,722
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,726
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,733
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,734
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,739
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,740
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,741
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,741
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,741
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,741
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,741
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 807,741
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,741
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,740
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,739
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,737
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 802,736
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,734
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,732
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,730
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 792,729
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,728
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,727
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,726
[2025-04-16 22:46:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,725
