[2025-04-16 22:48:04] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 22:48:04] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 22:48:04] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 22:48:04] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 22:48:04] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 22:48:04] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 22:48:04] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 22:48:04] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 22:48:04] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 22:48:04] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 22:48:04] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 22:48:04] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 22:48:04] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 22:48:04] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 22:48:04] [INFO] [Component] Setting dragon_Kaho_d6e6e098-8bd8-47d6-afde-c2df61ee9750 on to {"spawn_region":[],"collider":"","unit":"dragon_Kaho_d6e6e098-8bd8-47d6-afde-c2df61ee9750","column":6,"row":2,"structure":"","height":0}.
[2025-04-16 22:48:04] [INFO] [SpeedQueue] Added unit enemy:Kaho into queue
[2025-04-16 22:48:04] [INFO] [Component] Setting water_dragon_Cydnv_2ddfc065-ea19-4587-8905-9456e3454850 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Cydnv_2ddfc065-ea19-4587-8905-9456e3454850","column":5,"row":3,"structure":"","height":0}.
[2025-04-16 22:48:04] [INFO] [SpeedQueue] Added unit enemy:Cydnv into queue
[2025-04-16 22:48:04] [INFO] [Component] Setting dragon_Xuvy_ff6cf5af-414f-4103-bb0d-259f4b3ca0bb on to {"spawn_region":[],"collider":"","unit":"dragon_Xuvy_ff6cf5af-414f-4103-bb0d-259f4b3ca0bb","column":6,"row":3,"structure":"","height":0}.
[2025-04-16 22:48:04] [INFO] [SpeedQueue] Added unit enemy:Xuvy into queue
[2025-04-16 22:48:04] [INFO] [Component] Setting air_dragon_Zeaga_c70be196-5508-419c-b95c-f99343512589 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Zeaga_c70be196-5508-419c-b95c-f99343512589","column":3,"row":4,"structure":"","height":0}.
[2025-04-16 22:48:04] [INFO] [SpeedQueue] Added unit enemy:Zeaga into queue
[2025-04-16 22:48:04] [INFO] [Component] Setting earth_dragon_Liipfo_16ca7017-dcb4-470b-a52a-a2b41211f2bf on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Liipfo_16ca7017-dcb4-470b-a52a-a2b41211f2bf","column":3,"row":1,"structure":"","height":0}.
[2025-04-16 22:48:04] [INFO] [SpeedQueue] Added unit user:Liipfo into queue
[2025-04-16 22:48:04] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 22:48:04] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 22:48:04] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:48:04] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 22:48:04] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 22:48:05] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 22:48:05] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 22:48:05] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:48:05] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_f7ab6b44-3a92-4290-9aad-fc7d3130e5e9
[2025-04-16 22:48:05] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 22:48:05] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 22:48:05] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 22:48:05] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 22:48:05] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 22:48:05] [INFO] [VisualsSystem] Finished creating blurred background after 0.49339622259140015 seconds
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 814,368
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 811,369
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,371
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 802,373
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,375
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,377
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,379
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 776,381
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,384
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,387
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,389
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 724,400
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,404
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,413
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 681,421
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,430
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,433
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,445
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 636,448
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 626,453
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 619,456
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 614,459
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 611,462
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 609,464
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 607,464
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 606,465
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 605,465
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 604,466
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 605,462
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 606,460
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 608,458
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 613,451
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 614,449
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 616,444
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 619,439
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 620,436
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 623,431
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 626,427
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 628,423
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 631,419
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 633,414
[2025-04-16 22:48:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 636,410
