[2025-04-16 22:48:44] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 22:48:44] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 22:48:44] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 22:48:44] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 22:48:44] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 22:48:44] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 22:48:44] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 22:48:44] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 22:48:44] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 22:48:44] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 22:48:44] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 22:48:44] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 22:48:44] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 22:48:44] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 22:48:44] [INFO] [Component] Setting water_dragon_Yuio_5822c61b-f579-45a1-85bb-2589d039cf41 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Yuio_5822c61b-f579-45a1-85bb-2589d039cf41","column":7,"row":7,"structure":"","height":0}.
[2025-04-16 22:48:44] [INFO] [SpeedQueue] Added unit enemy:Yuio into queue
[2025-04-16 22:48:44] [INFO] [Component] Setting earth_dragon_Mucy_f631eaeb-b1b7-4b61-b5fd-84c0432fc900 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Mucy_f631eaeb-b1b7-4b61-b5fd-84c0432fc900","column":7,"row":4,"structure":"","height":0}.
[2025-04-16 22:48:44] [INFO] [SpeedQueue] Added unit enemy:Mucy into queue
[2025-04-16 22:48:44] [INFO] [Component] Setting dark_dragon_Uykiy_18a54a2e-8db6-4dfe-804a-b3d555c19a72 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Uykiy_18a54a2e-8db6-4dfe-804a-b3d555c19a72","column":7,"row":0,"structure":"","height":0}.
[2025-04-16 22:48:44] [INFO] [SpeedQueue] Added unit enemy:Uykiy into queue
[2025-04-16 22:48:44] [INFO] [Component] Setting water_dragon_Pyzr_56a2817d-8f3b-4c71-bb8e-57fc394b5488 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Pyzr_56a2817d-8f3b-4c71-bb8e-57fc394b5488","column":0,"row":4,"structure":"","height":0}.
[2025-04-16 22:48:44] [INFO] [SpeedQueue] Added unit enemy:Pyzr into queue
[2025-04-16 22:48:44] [INFO] [Component] Setting dragon_Fecoz_3510ee0d-3d8a-4a01-88d7-fbaa17536574 on to {"spawn_region":[],"collider":"","unit":"dragon_Fecoz_3510ee0d-3d8a-4a01-88d7-fbaa17536574","column":5,"row":7,"structure":"","height":0}.
[2025-04-16 22:48:44] [INFO] [SpeedQueue] Added unit user:Fecoz into queue
[2025-04-16 22:48:44] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 22:48:45] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 22:48:45] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:48:45] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 22:48:45] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 22:48:45] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 22:48:45] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 22:48:45] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:48:45] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_3b7800ea-c0f7-4ea4-bff6-7ae1aff4c9e3
[2025-04-16 22:48:45] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 22:48:45] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 22:48:45] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 22:48:45] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 22:48:45] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 22:48:46] [INFO] [VisualsSystem] Finished creating blurred background after 0.5029782056808472 seconds
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,461
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,462
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,464
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,468
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,470
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,473
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,475
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,476
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,478
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 690,480
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 679,483
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 674,485
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,486
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,487
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,487
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,488
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,488
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,488
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,487
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,485
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,481
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,475
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,466
[2025-04-16 22:48:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,459
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,451
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,439
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,428
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,425
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,414
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,400
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,397
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,388
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,381
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,375
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,368
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,365
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,360
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,357
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,355
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,354
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,353
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,352
[2025-04-16 22:48:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,351
