[2025-04-16 22:49:43] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 22:49:43] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 22:49:43] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 22:49:43] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 22:49:43] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 22:49:43] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 22:49:43] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 22:49:43] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 22:49:43] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 22:49:43] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 22:49:43] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 22:49:43] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 22:49:43] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 22:49:43] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 22:49:43] [INFO] [Component] Setting dark_dragon_Babxo_c9e5bb81-6424-4dd0-94bb-e399b77ccfed on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Babxo_c9e5bb81-6424-4dd0-94bb-e399b77ccfed","column":5,"row":2,"structure":"","height":0}.
[2025-04-16 22:49:43] [INFO] [SpeedQueue] Added unit enemy:Babxo into queue
[2025-04-16 22:49:43] [INFO] [Component] Setting air_dragon_Hiye_20ec9835-5333-4d26-b4ea-35546402c253 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Hiye_20ec9835-5333-4d26-b4ea-35546402c253","column":5,"row":1,"structure":"","height":0}.
[2025-04-16 22:49:43] [INFO] [SpeedQueue] Added unit enemy:Hiye into queue
[2025-04-16 22:49:43] [INFO] [Component] Setting fire_dragon_Carz_32a633f7-9d19-44d7-8f59-81ff4abaf06f on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Carz_32a633f7-9d19-44d7-8f59-81ff4abaf06f","column":7,"row":0,"structure":"","height":0}.
[2025-04-16 22:49:43] [INFO] [SpeedQueue] Added unit enemy:Carz into queue
[2025-04-16 22:49:43] [INFO] [Component] Setting dragon_Mapody_bdc625c9-8a8f-40b1-87a6-886ffeda4c8e on to {"spawn_region":[],"collider":"","unit":"dragon_Mapody_bdc625c9-8a8f-40b1-87a6-886ffeda4c8e","column":4,"row":6,"structure":"","height":0}.
[2025-04-16 22:49:43] [INFO] [SpeedQueue] Added unit enemy:Mapody into queue
[2025-04-16 22:49:43] [INFO] [Component] Setting dragon_Rizhd_add2ee6b-f80c-4c0b-9c9a-139a54895137 on to {"spawn_region":[],"collider":"","unit":"dragon_Rizhd_add2ee6b-f80c-4c0b-9c9a-139a54895137","column":4,"row":0,"structure":"","height":0}.
[2025-04-16 22:49:43] [INFO] [SpeedQueue] Added unit user:Rizhd into queue
[2025-04-16 22:49:43] [INFO] [Component] Setting dragon_Wuven_3ad1dc49-16ac-4579-a06d-d26265b20888 on to {"spawn_region":[],"collider":"","unit":"dragon_Wuven_3ad1dc49-16ac-4579-a06d-d26265b20888","column":4,"row":3,"structure":"","height":0}.
[2025-04-16 22:49:43] [INFO] [SpeedQueue] Added unit user:Wuven into queue
[2025-04-16 22:49:43] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 22:49:43] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 22:49:43] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:49:43] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 22:49:43] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 22:49:43] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 22:49:44] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 22:49:44] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:49:44] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_88a52502-e3bd-47a1-9c7a-165f4d2cd34c
[2025-04-16 22:49:44] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 22:49:44] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 22:49:44] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 22:49:44] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 22:49:44] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 22:49:44] [INFO] [VisualsSystem] Finished creating blurred background after 0.4979124069213867 seconds
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 1067,165
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,175
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,194
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,211
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 982,227
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,240
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,250
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,254
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,261
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,267
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,271
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,274
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,277
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,280
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,283
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 902,286
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,289
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,292
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,293
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,298
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,300
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,305
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,311
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 861,314
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,320
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,321
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,332
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,335
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 824,340
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 816,345
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 807,349
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,353
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,353
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,357
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,359
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,361
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,363
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,364
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,364
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,364
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 762,365
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,365
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,365
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,365
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,365
[2025-04-16 22:49:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,365
