[2025-04-16 22:50:28] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 22:50:28] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 22:50:28] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 22:50:28] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 22:50:28] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 22:50:28] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 22:50:28] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 22:50:28] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 22:50:28] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 22:50:29] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 22:50:29] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 22:50:29] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 22:50:29] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 22:50:29] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 22:50:29] [INFO] [Component] Setting fire_dragon_Vujen_a8bfbefb-d520-4c3c-8f9e-206afc5b2d84 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Vujen_a8bfbefb-d520-4c3c-8f9e-206afc5b2d84","column":4,"row":4,"structure":"","height":0}.
[2025-04-16 22:50:29] [INFO] [SpeedQueue] Added unit enemy:Vujen into queue
[2025-04-16 22:50:29] [INFO] [Component] Setting earth_dragon_Zooy_1014864e-0557-4be0-8871-a6cb8c1cf4b2 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Zooy_1014864e-0557-4be0-8871-a6cb8c1cf4b2","column":0,"row":0,"structure":"","height":0}.
[2025-04-16 22:50:29] [INFO] [SpeedQueue] Added unit enemy:Zooy into queue
[2025-04-16 22:50:29] [INFO] [Component] Setting dark_dragon_Vaveuy_cfbbe702-083b-4ce9-b85e-123a7c3f9a8a on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Vaveuy_cfbbe702-083b-4ce9-b85e-123a7c3f9a8a","column":4,"row":3,"structure":"","height":0}.
[2025-04-16 22:50:29] [INFO] [SpeedQueue] Added unit enemy:Vaveuy into queue
[2025-04-16 22:50:29] [INFO] [Component] Setting air_dragon_Hyhdae_c35bd196-7a1f-4299-973b-71f49d35691a on to {"spawn_region":[],"collider":"","unit":"air_dragon_Hyhdae_c35bd196-7a1f-4299-973b-71f49d35691a","column":7,"row":5,"structure":"","height":0}.
[2025-04-16 22:50:29] [INFO] [SpeedQueue] Added unit enemy:Hyhdae into queue
[2025-04-16 22:50:29] [INFO] [Component] Setting water_dragon_Yivf_664ea4f9-e545-4ecb-8d66-c45784641e05 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Yivf_664ea4f9-e545-4ecb-8d66-c45784641e05","column":4,"row":5,"structure":"","height":0}.
[2025-04-16 22:50:29] [INFO] [SpeedQueue] Added unit user:Yivf into queue
[2025-04-16 22:50:29] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 22:50:29] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 22:50:29] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:50:29] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 22:50:29] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 22:50:29] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 22:50:29] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 22:50:29] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:50:29] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_a5f5043e-f8fb-402f-9ea7-2c8dafdf9fc1
[2025-04-16 22:50:29] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 22:50:29] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 22:50:29] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 22:50:29] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 22:50:30] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 22:50:30] [INFO] [VisualsSystem] Finished creating blurred background after 0.48723700642585754 seconds
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 633,417
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 634,417
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 640,417
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,417
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,417
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,417
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 678,418
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,421
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 691,423
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,425
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,427
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,431
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,433
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,436
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 725,440
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 727,443
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,446
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,449
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,452
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,456
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,459
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,462
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,465
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,472
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 725,476
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,478
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 720,482
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,485
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,487
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,490
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 706,493
[2025-04-16 22:50:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 704,496
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,496
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,498
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,499
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 689,500
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 684,501
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 676,502
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,503
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 662,504
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,505
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,506
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 643,507
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 637,507
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 630,508
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 625,509
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 621,509
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 617,510
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 614,510
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 612,510
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 610,510
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 608,510
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 607,510
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 606,510
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 605,510
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 603,510
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 601,510
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 600,510
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 599,510
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 598,510
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 596,509
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 595,509
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 594,508
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 592,508
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 590,506
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 589,506
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 587,505
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 586,504
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 584,503
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 583,503
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 582,502
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 581,502
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 580,501
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 579,501
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 578,501
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 578,500
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 577,499
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 576,499
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 575,499
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 575,498
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,498
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 573,497
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 573,496
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 573,495
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,494
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,493
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,492
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,491
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,490
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,489
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,488
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,487
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,486
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,484
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,482
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,481
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,479
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,477
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,476
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,475
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,474
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,473
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,472
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,471
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,470
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,469
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,468
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,467
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,466
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,465
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,464
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,463
[2025-04-16 22:50:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,462
