[2025-04-16 22:51:22] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 22:51:22] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 22:51:22] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 22:51:22] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 22:51:22] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 22:51:22] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 22:51:22] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 22:51:22] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 22:51:22] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 22:51:22] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 22:51:22] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 22:51:22] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 22:51:23] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 22:51:23] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 22:51:23] [INFO] [Component] Setting fire_dragon_Ause_72f1468c-eaa0-4d3a-a69d-d29adb7e8574 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Ause_72f1468c-eaa0-4d3a-a69d-d29adb7e8574","column":6,"row":1,"structure":"","height":0}.
[2025-04-16 22:51:23] [INFO] [SpeedQueue] Added unit enemy:Ause into queue
[2025-04-16 22:51:23] [INFO] [Component] Setting light_dragon_Sudaao_e37af3f7-e8fd-4fb5-bb19-17c728cb0c59 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Sudaao_e37af3f7-e8fd-4fb5-bb19-17c728cb0c59","column":1,"row":3,"structure":"","height":0}.
[2025-04-16 22:51:23] [INFO] [SpeedQueue] Added unit enemy:Sudaao into queue
[2025-04-16 22:51:23] [INFO] [Component] Setting water_dragon_Cysgu_e60efefc-ec13-4a43-abff-1ba9b6d45e66 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Cysgu_e60efefc-ec13-4a43-abff-1ba9b6d45e66","column":2,"row":2,"structure":"","height":0}.
[2025-04-16 22:51:23] [INFO] [SpeedQueue] Added unit enemy:Cysgu into queue
[2025-04-16 22:51:23] [INFO] [Component] Setting water_dragon_Xodmq_a0b03382-1a5e-4e51-978f-410669e2a501 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Xodmq_a0b03382-1a5e-4e51-978f-410669e2a501","column":1,"row":2,"structure":"","height":0}.
[2025-04-16 22:51:23] [INFO] [SpeedQueue] Added unit enemy:Xodmq into queue
[2025-04-16 22:51:23] [INFO] [Component] Setting dragon_Poei_7ecad9bc-1499-4602-a003-64b87d7e8130 on to {"spawn_region":[],"collider":"","unit":"dragon_Poei_7ecad9bc-1499-4602-a003-64b87d7e8130","column":0,"row":6,"structure":"","height":0}.
[2025-04-16 22:51:23] [INFO] [SpeedQueue] Added unit enemy:Poei into queue
[2025-04-16 22:51:23] [INFO] [Component] Setting fire_dragon_Gajamo_aab524cf-bf04-405d-8e23-287688a6d14e on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Gajamo_aab524cf-bf04-405d-8e23-287688a6d14e","column":7,"row":6,"structure":"","height":0}.
[2025-04-16 22:51:23] [INFO] [SpeedQueue] Added unit user:Gajamo into queue
[2025-04-16 22:51:23] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 22:51:23] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 22:51:23] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:51:23] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 22:51:23] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 22:51:23] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 22:51:23] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 22:51:23] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:51:23] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_6f4eadbe-20bb-425c-97a6-dac5acd06dad
[2025-04-16 22:51:23] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 22:51:23] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 22:51:23] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 22:51:23] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 22:51:23] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 22:51:24] [INFO] [VisualsSystem] Finished creating blurred background after 0.4947950839996338 seconds
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,513
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,536
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,554
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,572
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,584
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 821,588
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,596
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,602
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,605
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 802,605
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,605
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,605
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,604
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,604
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,603
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 776,601
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,599
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,598
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,596
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,594
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,592
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,589
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,586
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,582
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,579
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,572
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,570
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,565
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,560
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,556
[2025-04-16 22:51:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 733,551
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 732,546
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,541
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,538
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,535
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,532
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,530
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,528
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,526
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,524
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,522
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,520
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,518
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,517
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,512
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,507
[2025-04-16 22:51:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,503
