[2025-04-16 22:51:43] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 22:51:43] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 22:51:43] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 22:51:43] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 22:51:43] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 22:51:43] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 22:51:43] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 22:51:43] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 22:51:43] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 22:51:43] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 22:51:43] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 22:51:43] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 22:51:43] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 22:51:43] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 22:51:44] [INFO] [Component] Setting water_dragon_Wasi_4207c2c8-356f-4374-9ad9-c7effc91e082 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Wasi_4207c2c8-356f-4374-9ad9-c7effc91e082","column":3,"row":3,"structure":"","height":0}.
[2025-04-16 22:51:44] [INFO] [SpeedQueue] Added unit enemy:Wasi into queue
[2025-04-16 22:51:44] [INFO] [Component] Setting water_dragon_Kimvu_05596448-8f4e-4f93-8cbc-3203c5baa472 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Kimvu_05596448-8f4e-4f93-8cbc-3203c5baa472","column":6,"row":0,"structure":"","height":0}.
[2025-04-16 22:51:44] [INFO] [SpeedQueue] Added unit enemy:Kimvu into queue
[2025-04-16 22:51:44] [INFO] [Component] Setting dark_dragon_Cawa_6df42b50-9f28-42e2-8962-343e82e68d76 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Cawa_6df42b50-9f28-42e2-8962-343e82e68d76","column":3,"row":0,"structure":"","height":0}.
[2025-04-16 22:51:44] [INFO] [SpeedQueue] Added unit enemy:Cawa into queue
[2025-04-16 22:51:44] [INFO] [Component] Setting earth_dragon_Kidgi_64ad6309-dc86-4761-b76b-0f97b6aabe77 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Kidgi_64ad6309-dc86-4761-b76b-0f97b6aabe77","column":4,"row":0,"structure":"","height":0}.
[2025-04-16 22:51:44] [INFO] [SpeedQueue] Added unit enemy:Kidgi into queue
[2025-04-16 22:51:44] [INFO] [Component] Setting dark_dragon_Hubw_3c2b6ae2-cb7d-4e0d-a54f-a073f7e2a407 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Hubw_3c2b6ae2-cb7d-4e0d-a54f-a073f7e2a407","column":3,"row":4,"structure":"","height":0}.
[2025-04-16 22:51:44] [INFO] [SpeedQueue] Added unit enemy:Hubw into queue
[2025-04-16 22:51:44] [INFO] [Component] Setting dark_dragon_Uesa_1f5a1a72-28c6-46eb-aef8-c684080c51be on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Uesa_1f5a1a72-28c6-46eb-aef8-c684080c51be","column":2,"row":7,"structure":"","height":0}.
[2025-04-16 22:51:44] [INFO] [SpeedQueue] Added unit user:Uesa into queue
[2025-04-16 22:51:44] [INFO] [Component] Setting dark_dragon_Mivvy_780126b1-b607-4ddf-88d7-0a85790652f7 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Mivvy_780126b1-b607-4ddf-88d7-0a85790652f7","column":6,"row":3,"structure":"","height":0}.
[2025-04-16 22:51:44] [INFO] [SpeedQueue] Added unit user:Mivvy into queue
[2025-04-16 22:51:44] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 22:51:44] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 22:51:44] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:51:44] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 22:51:44] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 22:51:44] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 22:51:44] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 22:51:44] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:51:44] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_8a938962-e17a-4ef5-8012-5177a529e33b
[2025-04-16 22:51:44] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 22:51:44] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 22:51:44] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 22:51:44] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 22:51:44] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 22:51:45] [INFO] [VisualsSystem] Finished creating blurred background after 0.4914519786834717 seconds
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,374
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 832,377
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,388
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,390
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,396
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,401
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,406
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,410
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,414
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 759,417
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 754,419
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,421
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,423
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,425
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,427
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,429
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 725,430
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,432
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 719,432
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,433
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,434
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,435
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,435
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 709,436
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 706,436
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,436
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 704,436
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,436
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 702,437
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 701,437
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,437
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 699,438
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,439
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,439
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,439
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,440
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,440
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 691,441
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 690,441
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 689,442
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 688,442
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,444
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 683,445
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 681,446
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 678,447
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,450
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 668,452
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,454
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,456
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,458
[2025-04-16 22:51:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 652,459
