[2025-04-16 22:52:10] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 22:52:10] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 22:52:10] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 22:52:10] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 22:52:10] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 22:52:10] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 22:52:10] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 22:52:10] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 22:52:10] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 22:52:10] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 22:52:10] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 22:52:10] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 22:52:10] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 22:52:10] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 22:52:10] [INFO] [Component] Setting water_dragon_Dybfjs_45959c5c-fdab-4047-ba08-6d062e355bc6 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Dybfjs_45959c5c-fdab-4047-ba08-6d062e355bc6","column":6,"row":0,"structure":"","height":0}.
[2025-04-16 22:52:10] [INFO] [SpeedQueue] Added unit enemy:Dybfjs into queue
[2025-04-16 22:52:10] [INFO] [Component] Setting dragon_Nizdar_f12e1b46-271c-46f2-a121-1819c0517d2e on to {"spawn_region":[],"collider":"","unit":"dragon_Nizdar_f12e1b46-271c-46f2-a121-1819c0517d2e","column":2,"row":4,"structure":"","height":0}.
[2025-04-16 22:52:10] [INFO] [SpeedQueue] Added unit enemy:Nizdar into queue
[2025-04-16 22:52:10] [INFO] [Component] Setting water_dragon_Mezd_126dc32b-f9a7-4157-b02b-334e697fa304 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Mezd_126dc32b-f9a7-4157-b02b-334e697fa304","column":0,"row":7,"structure":"","height":0}.
[2025-04-16 22:52:10] [INFO] [SpeedQueue] Added unit enemy:Mezd into queue
[2025-04-16 22:52:10] [INFO] [Component] Setting fire_dragon_Gooo_943d334b-e8b4-432a-b674-115c06c7b38e on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Gooo_943d334b-e8b4-432a-b674-115c06c7b38e","column":6,"row":4,"structure":"","height":0}.
[2025-04-16 22:52:10] [INFO] [SpeedQueue] Added unit enemy:Gooo into queue
[2025-04-16 22:52:10] [INFO] [Component] Setting earth_dragon_Eysuu_bf1b7c75-d79e-46e9-aea9-0833d3103e00 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Eysuu_bf1b7c75-d79e-46e9-aea9-0833d3103e00","column":1,"row":4,"structure":"","height":0}.
[2025-04-16 22:52:10] [INFO] [SpeedQueue] Added unit enemy:Eysuu into queue
[2025-04-16 22:52:10] [INFO] [Component] Setting earth_dragon_Seox_700cc29f-c907-431b-a362-e373d99dc9f7 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Seox_700cc29f-c907-431b-a362-e373d99dc9f7","column":5,"row":7,"structure":"","height":0}.
[2025-04-16 22:52:10] [INFO] [SpeedQueue] Added unit user:Seox into queue
[2025-04-16 22:52:10] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 22:52:10] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 22:52:10] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:52:10] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 22:52:10] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 22:52:10] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 22:52:10] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 22:52:11] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 22:52:11] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_d03bf31d-f642-4b7b-b2ba-e0b341af5b23
[2025-04-16 22:52:11] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 22:52:11] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 22:52:11] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 22:52:11] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 22:52:11] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 22:52:11] [INFO] [VisualsSystem] Finished creating blurred background after 0.4929909110069275 seconds
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,180
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 982,243
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,263
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,356
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,402
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 810,443
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,483
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,497
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,526
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 724,550
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,557
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,571
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 701,580
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,585
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,589
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,591
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,592
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,593
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,594
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 690,594
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 689,594
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 687,594
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,594
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 685,593
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 684,592
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 681,590
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 680,589
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 678,587
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 677,585
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 675,584
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,582
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,580
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,578
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,577
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,576
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,575
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 656,575
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 654,575
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 653,575
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 650,575
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,574
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,572
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 627,569
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 613,564
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 599,560
[2025-04-16 22:52:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 586,555
