[2025-04-16 23:00:14] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 23:00:14] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 23:00:14] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 23:00:14] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 23:00:14] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 23:00:14] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 23:00:14] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 23:00:14] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 23:00:14] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 23:00:14] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 23:00:14] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 23:00:14] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 23:00:14] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 23:00:14] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 23:00:14] [INFO] [Component] Setting dragon_Syaau_a68615fa-901a-491b-ba38-6cf566dc0e5d on to {"spawn_region":[],"collider":"","unit":"dragon_Syaau_a68615fa-901a-491b-ba38-6cf566dc0e5d","column":3,"row":4,"structure":"","height":0}.
[2025-04-16 23:00:14] [INFO] [SpeedQueue] Added unit enemy:Syaau into queue
[2025-04-16 23:00:14] [INFO] [Component] Setting light_dragon_Kujraa_b8ee6685-f76d-47c9-b5cc-9174a02059e9 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Kujraa_b8ee6685-f76d-47c9-b5cc-9174a02059e9","column":7,"row":6,"structure":"","height":0}.
[2025-04-16 23:00:14] [INFO] [SpeedQueue] Added unit enemy:Kujraa into queue
[2025-04-16 23:00:14] [INFO] [Component] Setting light_dragon_Fubi_468aa48c-89c3-4473-89c5-82e570c4cd42 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Fubi_468aa48c-89c3-4473-89c5-82e570c4cd42","column":3,"row":2,"structure":"","height":0}.
[2025-04-16 23:00:14] [INFO] [SpeedQueue] Added unit enemy:Fubi into queue
[2025-04-16 23:00:14] [INFO] [Component] Setting light_dragon_Regeou_fa93e533-967d-4813-be71-1dd0bfd3a5c2 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Regeou_fa93e533-967d-4813-be71-1dd0bfd3a5c2","column":0,"row":1,"structure":"","height":0}.
[2025-04-16 23:00:14] [INFO] [SpeedQueue] Added unit enemy:Regeou into queue
[2025-04-16 23:00:14] [INFO] [Component] Setting water_dragon_Cywiuu_e10375eb-f927-4fe7-bc95-d0f9bc707b3d on to {"spawn_region":[],"collider":"","unit":"water_dragon_Cywiuu_e10375eb-f927-4fe7-bc95-d0f9bc707b3d","column":7,"row":2,"structure":"","height":0}.
[2025-04-16 23:00:14] [INFO] [SpeedQueue] Added unit user:Cywiuu into queue
[2025-04-16 23:00:14] [INFO] [Component] Setting water_dragon_Iige_5ee99fb0-735e-423f-96f3-c70a5b8d5689 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Iige_5ee99fb0-735e-423f-96f3-c70a5b8d5689","column":0,"row":5,"structure":"","height":0}.
[2025-04-16 23:00:14] [INFO] [SpeedQueue] Added unit user:Iige into queue
[2025-04-16 23:00:14] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 23:00:14] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 23:00:14] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 23:00:14] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 23:00:14] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 23:00:14] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 23:00:14] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 23:00:14] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 23:00:14] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_cbb08b52-affa-442c-b9d0-f527e6c1bd25
[2025-04-16 23:00:15] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 23:00:15] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 23:00:15] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 23:00:15] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 23:00:15] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 23:00:15] [INFO] [VisualsSystem] Finished creating blurred background after 0.5001200437545776 seconds
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 513,603
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 514,603
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 516,602
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 518,602
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 522,601
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 523,600
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 525,600
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 527,599
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 528,598
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 530,598
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 531,597
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 533,597
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 534,596
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 536,595
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 537,595
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 539,593
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 541,593
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 543,591
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 548,589
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 550,588
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 552,587
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 554,586
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 557,585
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 559,584
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,582
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 562,582
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 564,580
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 565,580
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,579
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,578
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 568,578
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,578
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,577
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 570,577
[2025-04-16 23:00:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 570,576
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 570,575
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 570,572
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 570,570
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 570,561
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,558
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 568,553
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 566,547
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 564,540
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 562,535
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 556,524
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 555,522
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 553,516
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 550,511
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 548,507
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 545,503
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 544,499
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 542,496
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 540,493
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 540,490
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 538,488
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 537,486
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 536,484
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 535,482
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 533,480
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 531,478
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 530,477
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 528,476
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 526,475
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 525,474
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 524,473
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 523,472
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 522,472
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 522,471
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 522,470
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 521,470
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 519,469
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 516,468
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 512,465
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 505,463
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 498,458
[2025-04-16 23:00:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 488,452
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 478,445
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 466,438
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 451,427
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 435,417
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 415,403
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 396,389
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 374,377
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 355,366
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 340,358
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 325,349
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 320,347
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 309,343
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 302,340
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 297,338
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 294,337
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 292,337
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 292,336
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 291,336
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 291,335
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 292,334
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 294,334
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 298,334
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 304,334
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 309,334
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 316,334
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 322,334
[2025-04-16 23:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 331,338
