[2025-04-16 23:01:11] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 23:01:11] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 23:01:11] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 23:01:11] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 23:01:11] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 23:01:11] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 23:01:11] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 23:01:11] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 23:01:11] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 23:01:11] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 23:01:11] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 23:01:11] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 23:01:11] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 23:01:11] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 23:01:11] [INFO] [Component] Setting dragon_Gouuxi_227cac90-41fa-4f60-9c26-e56c5095cced on to {"spawn_region":[],"collider":"","unit":"dragon_Gouuxi_227cac90-41fa-4f60-9c26-e56c5095cced","column":1,"row":5,"structure":"","height":0}.
[2025-04-16 23:01:11] [INFO] [SpeedQueue] Added unit enemy:Gouuxi into queue
[2025-04-16 23:01:11] [INFO] [Component] Setting dark_dragon_Wukso_58857021-dc91-4c64-af68-dd288cbee9fd on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Wukso_58857021-dc91-4c64-af68-dd288cbee9fd","column":6,"row":7,"structure":"","height":0}.
[2025-04-16 23:01:11] [INFO] [SpeedQueue] Added unit enemy:Wukso into queue
[2025-04-16 23:01:11] [INFO] [Component] Setting water_dragon_Diup_3318406c-115a-42b3-934d-6efb9be32ee2 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Diup_3318406c-115a-42b3-934d-6efb9be32ee2","column":2,"row":2,"structure":"","height":0}.
[2025-04-16 23:01:11] [INFO] [SpeedQueue] Added unit enemy:Diup into queue
[2025-04-16 23:01:11] [INFO] [Component] Setting light_dragon_Gylv_7ecf379b-ec86-4ff2-9f25-93aed45959bc on to {"spawn_region":[],"collider":"","unit":"light_dragon_Gylv_7ecf379b-ec86-4ff2-9f25-93aed45959bc","column":2,"row":4,"structure":"","height":0}.
[2025-04-16 23:01:11] [INFO] [SpeedQueue] Added unit enemy:Gylv into queue
[2025-04-16 23:01:11] [INFO] [Component] Setting air_dragon_Iygket_2056df6e-ffe1-4345-90ee-c9d1536003bf on to {"spawn_region":[],"collider":"","unit":"air_dragon_Iygket_2056df6e-ffe1-4345-90ee-c9d1536003bf","column":6,"row":2,"structure":"","height":0}.
[2025-04-16 23:01:11] [INFO] [SpeedQueue] Added unit user:Iygket into queue
[2025-04-16 23:01:11] [INFO] [Component] Setting dark_dragon_Kuga_adf2da1c-661d-4e0c-866b-a82c4a7f72f7 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Kuga_adf2da1c-661d-4e0c-866b-a82c4a7f72f7","column":1,"row":1,"structure":"","height":0}.
[2025-04-16 23:01:11] [INFO] [SpeedQueue] Added unit user:Kuga into queue
[2025-04-16 23:01:11] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 23:01:11] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 23:01:11] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 23:01:11] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 23:01:11] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 23:01:11] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 23:01:11] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 23:01:12] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 23:01:12] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_f8deaa3f-a57d-4a8c-8d34-07fa2fd1204c
[2025-04-16 23:01:12] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 23:01:12] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 23:01:12] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 23:01:12] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 23:01:12] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 23:01:12] [INFO] [VisualsSystem] Finished creating blurred background after 0.48930105566978455 seconds
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,536
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,536
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 683,536
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 676,536
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 670,536
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,536
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,536
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 636,536
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 631,536
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 620,537
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 611,538
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 603,540
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 596,541
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 591,543
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 586,544
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 583,544
[2025-04-16 23:01:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 580,545
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 577,546
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 575,547
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 573,547
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 571,547
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,547
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,547
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 565,548
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 563,548
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 562,548
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 559,548
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 557,549
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 556,549
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 554,549
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 551,549
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 550,549
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 549,550
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 548,550
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 549,550
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 550,550
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 550,551
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 551,551
[2025-04-16 23:01:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 551,552
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 552,552
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 554,551
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 555,549
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 559,547
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 562,543
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 564,541
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 565,539
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 568,535
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 571,531
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 573,528
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,526
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 576,523
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 576,519
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 576,516
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 576,509
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 576,506
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 576,501
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,495
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 562,489
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 551,484
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 540,478
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 526,472
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 519,470
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 508,464
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 499,461
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 491,458
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 486,456
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 481,454
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 478,453
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 477,453
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 476,453
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 475,453
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 474,452
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 469,452
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 466,451
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 461,449
[2025-04-16 23:01:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 451,443
