[2025-04-16 23:01:41] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 23:01:41] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 23:01:41] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 23:01:41] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 23:01:41] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 23:01:41] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 23:01:41] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 23:01:41] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 23:01:41] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 23:01:41] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 23:01:41] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 23:01:41] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 23:01:41] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 23:01:41] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 23:01:41] [INFO] [Component] Setting water_dragon_Tiiu_b93a31a6-5519-47cb-a6d6-a8b1a09c6015 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Tiiu_b93a31a6-5519-47cb-a6d6-a8b1a09c6015","column":3,"row":2,"structure":"","height":0}.
[2025-04-16 23:01:41] [INFO] [SpeedQueue] Added unit enemy:Tiiu into queue
[2025-04-16 23:01:41] [INFO] [Component] Setting dark_dragon_Hecy_4d6df961-6798-4877-96a6-74a7ab05ac69 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Hecy_4d6df961-6798-4877-96a6-74a7ab05ac69","column":6,"row":4,"structure":"","height":0}.
[2025-04-16 23:01:41] [INFO] [SpeedQueue] Added unit enemy:Hecy into queue
[2025-04-16 23:01:41] [INFO] [Component] Setting earth_dragon_Eiiu_17c6cade-060a-43bf-a889-50cd1f9041b3 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Eiiu_17c6cade-060a-43bf-a889-50cd1f9041b3","column":3,"row":3,"structure":"","height":0}.
[2025-04-16 23:01:41] [INFO] [SpeedQueue] Added unit enemy:Eiiu into queue
[2025-04-16 23:01:41] [INFO] [Component] Setting water_dragon_Eyckb_ec876e2f-8fb3-4da0-a7b9-c613f8f34db1 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Eyckb_ec876e2f-8fb3-4da0-a7b9-c613f8f34db1","column":7,"row":2,"structure":"","height":0}.
[2025-04-16 23:01:41] [INFO] [SpeedQueue] Added unit enemy:Eyckb into queue
[2025-04-16 23:01:41] [INFO] [Component] Setting dark_dragon_Yeayio_fb346571-ef8f-4712-b091-de5a70540e47 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Yeayio_fb346571-ef8f-4712-b091-de5a70540e47","column":2,"row":6,"structure":"","height":0}.
[2025-04-16 23:01:41] [INFO] [SpeedQueue] Added unit enemy:Yeayio into queue
[2025-04-16 23:01:41] [INFO] [Component] Setting water_dragon_Wilk_b2175f31-3ff1-4076-b234-9ddb94785482 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Wilk_b2175f31-3ff1-4076-b234-9ddb94785482","column":6,"row":1,"structure":"","height":0}.
[2025-04-16 23:01:41] [INFO] [SpeedQueue] Added unit user:Wilk into queue
[2025-04-16 23:01:41] [INFO] [Component] Setting air_dragon_Keev_074c8c62-ca1a-417d-8190-37b17e4d1d4e on to {"spawn_region":[],"collider":"","unit":"air_dragon_Keev_074c8c62-ca1a-417d-8190-37b17e4d1d4e","column":4,"row":3,"structure":"","height":0}.
[2025-04-16 23:01:41] [INFO] [SpeedQueue] Added unit user:Keev into queue
[2025-04-16 23:01:41] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 23:01:42] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 23:01:42] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 23:01:42] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 23:01:42] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 23:01:42] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 23:01:42] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 23:01:42] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 23:01:42] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_0cbd936b-589e-4e18-b20d-e5bc1aea9847
[2025-04-16 23:01:42] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 23:01:42] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 23:01:42] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 23:01:42] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 23:01:42] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 23:01:43] [INFO] [VisualsSystem] Finished creating blurred background after 0.4919848144054413 seconds
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1093,148
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,174
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,191
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,203
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,214
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,224
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,235
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,248
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 876,250
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,261
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 849,265
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,271
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,274
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,278
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 823,281
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,283
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 817,285
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 814,287
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,288
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 809,291
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,292
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,293
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,294
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,295
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,298
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,299
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,301
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,304
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,305
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,307
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,310
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,313
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,315
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,317
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,320
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,323
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,326
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,328
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,331
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,334
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,337
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,338
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,341
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,342
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,344
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,345
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,346
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,347
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,348
[2025-04-16 23:01:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,349
[2025-04-16 23:01:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,350
