[2025-04-16 23:03:04] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 23:03:04] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 23:03:04] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 23:03:04] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 23:03:04] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 23:03:04] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 23:03:04] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 23:03:04] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 23:03:04] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 23:03:04] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 23:03:04] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 23:03:04] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 23:03:04] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 23:03:04] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 23:03:04] [INFO] [Component] Setting fire_dragon_Kuoao_1d7cabe3-0fa7-43f2-af50-d0536f04b2d9 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Kuoao_1d7cabe3-0fa7-43f2-af50-d0536f04b2d9","column":1,"row":1,"structure":"","height":0}.
[2025-04-16 23:03:04] [INFO] [SpeedQueue] Added unit enemy:Kuoao into queue
[2025-04-16 23:03:04] [INFO] [Component] Setting dark_dragon_Easgl_2e7ef5b8-9cfd-4fc8-90d3-3352677bc235 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Easgl_2e7ef5b8-9cfd-4fc8-90d3-3352677bc235","column":3,"row":1,"structure":"","height":0}.
[2025-04-16 23:03:04] [INFO] [SpeedQueue] Added unit enemy:Easgl into queue
[2025-04-16 23:03:04] [INFO] [Component] Setting dark_dragon_Zeiic_17037d0b-5dc9-4942-9c93-83b32fceff10 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Zeiic_17037d0b-5dc9-4942-9c93-83b32fceff10","column":2,"row":7,"structure":"","height":0}.
[2025-04-16 23:03:04] [INFO] [SpeedQueue] Added unit enemy:Zeiic into queue
[2025-04-16 23:03:04] [INFO] [Component] Setting fire_dragon_Dyxuau_49e4eaf8-0937-4933-afac-ca6939fe92b3 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Dyxuau_49e4eaf8-0937-4933-afac-ca6939fe92b3","column":0,"row":2,"structure":"","height":0}.
[2025-04-16 23:03:04] [INFO] [SpeedQueue] Added unit enemy:Dyxuau into queue
[2025-04-16 23:03:04] [INFO] [Component] Setting dark_dragon_Aabj_9c66e508-f840-40f8-94cf-957cf79ea2cc on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Aabj_9c66e508-f840-40f8-94cf-957cf79ea2cc","column":2,"row":1,"structure":"","height":0}.
[2025-04-16 23:03:04] [INFO] [SpeedQueue] Added unit enemy:Aabj into queue
[2025-04-16 23:03:04] [INFO] [Component] Setting air_dragon_Zobi_692be373-bfbc-4bbb-b86c-81651bd69b63 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Zobi_692be373-bfbc-4bbb-b86c-81651bd69b63","column":7,"row":3,"structure":"","height":0}.
[2025-04-16 23:03:04] [INFO] [SpeedQueue] Added unit user:Zobi into queue
[2025-04-16 23:03:04] [INFO] [Component] Setting fire_dragon_Lezmis_764e28c5-46d8-4eeb-b981-f047a122e992 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Lezmis_764e28c5-46d8-4eeb-b981-f047a122e992","column":1,"row":2,"structure":"","height":0}.
[2025-04-16 23:03:04] [INFO] [SpeedQueue] Added unit user:Lezmis into queue
[2025-04-16 23:03:04] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 23:03:04] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 23:03:04] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 23:03:04] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 23:03:04] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 23:03:04] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 23:03:05] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 23:03:05] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 23:03:05] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_a4392ee9-d6ea-4a59-93d2-bfad7f4505bd
[2025-04-16 23:03:05] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 23:03:05] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 23:03:05] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 23:03:05] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 23:03:05] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 23:03:06] [INFO] [VisualsSystem] Finished creating blurred background after 0.5035598278045654 seconds
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 724,340
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,340
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,342
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,343
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 720,344
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,346
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,347
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,348
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,349
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,349
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,350
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,350
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,351
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,351
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 711,351
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,352
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,352
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,352
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,352
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,353
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 701,353
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 699,354
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,354
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,354
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,354
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 691,354
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 689,354
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 687,355
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 684,355
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 682,356
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 679,357
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 677,357
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 675,358
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,359
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,359
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 670,360
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,360
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 668,361
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,362
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,362
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,363
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,364
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,366
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 662,367
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 662,368
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,370
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 659,371
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,373
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 656,375
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,376
[2025-04-16 23:03:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 654,378
