[2025-04-16 23:04:06] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-16 23:04:06] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-16 23:04:06] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-16 23:04:06] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-16 23:04:06] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-16 23:04:06] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-16 23:04:06] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-16 23:04:06] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-16 23:04:06] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-16 23:04:06] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-16 23:04:06] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-16 23:04:06] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-16 23:04:06] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-16 23:04:06] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-16 23:04:06] [INFO] [Component] Setting water_dragon_Uyvla_93185544-b789-4864-9d6d-514012cd4743 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Uyvla_93185544-b789-4864-9d6d-514012cd4743","column":2,"row":3,"structure":"","height":0}.
[2025-04-16 23:04:06] [INFO] [SpeedQueue] Added unit enemy:Uyvla into queue
[2025-04-16 23:04:06] [INFO] [Component] Setting dark_dragon_Fyyt_1d490fa7-4abd-43e5-801e-7cd1293f4cfe on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Fyyt_1d490fa7-4abd-43e5-801e-7cd1293f4cfe","column":1,"row":2,"structure":"","height":0}.
[2025-04-16 23:04:06] [INFO] [SpeedQueue] Added unit enemy:Fyyt into queue
[2025-04-16 23:04:06] [INFO] [Component] Setting air_dragon_Tazb_6a1427b9-fc79-48f4-b181-8144eb97b04b on to {"spawn_region":[],"collider":"","unit":"air_dragon_Tazb_6a1427b9-fc79-48f4-b181-8144eb97b04b","column":3,"row":1,"structure":"","height":0}.
[2025-04-16 23:04:06] [INFO] [SpeedQueue] Added unit user:Tazb into queue
[2025-04-16 23:04:06] [INFO] [Component] Setting air_dragon_Sobva_aee568be-dc2b-487c-a5ac-82268ee74491 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Sobva_aee568be-dc2b-487c-a5ac-82268ee74491","column":0,"row":5,"structure":"","height":0}.
[2025-04-16 23:04:06] [INFO] [SpeedQueue] Added unit user:Sobva into queue
[2025-04-16 23:04:06] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-16 23:04:06] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-16 23:04:06] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-16 23:04:06] [INFO] [FontPool] Started initializing FontPool
[2025-04-16 23:04:06] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-16 23:04:06] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-16 23:04:06] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-16 23:04:07] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-16 23:04:07] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_8e3ecc64-be6d-431e-836f-1d30a7aeed6a
[2025-04-16 23:04:07] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-16 23:04:07] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-16 23:04:07] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-16 23:04:07] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-16 23:04:07] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-16 23:04:07] [INFO] [VisualsSystem] Finished creating blurred background after 0.48942288756370544 seconds
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,199
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,199
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,200
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,209
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,216
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,227
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,239
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,253
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,269
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,297
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,317
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,333
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,343
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 814,359
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,371
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,375
[2025-04-16 23:04:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,385
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,392
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,396
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,400
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 759,402
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,403
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,404
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,405
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,406
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,407
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,408
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,409
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,411
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,414
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,423
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 762,428
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,436
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,445
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,454
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,465
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,479
[2025-04-16 23:04:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,493
