[2025-04-17 00:05:44] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 00:05:44] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 00:05:44] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 00:05:44] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 00:05:44] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 00:05:44] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 00:05:44] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 00:05:44] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 00:05:44] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 00:05:44] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 00:05:44] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 00:05:44] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 00:05:44] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 00:05:44] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 00:05:44] [INFO] [Component] Setting earth_dragon_Uakla_9a74fbac-2caa-4b50-8f70-3686ad3beb42 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Uakla_9a74fbac-2caa-4b50-8f70-3686ad3beb42","column":4,"row":4,"structure":"","height":0}.
[2025-04-17 00:05:44] [INFO] [SpeedQueue] Added unit enemy:Uakla into queue
[2025-04-17 00:05:44] [INFO] [Component] Setting dragon_Samoe_0b4baac2-1807-4fe1-8dc8-2a7d5e218400 on to {"spawn_region":[],"collider":"","unit":"dragon_Samoe_0b4baac2-1807-4fe1-8dc8-2a7d5e218400","column":3,"row":2,"structure":"","height":0}.
[2025-04-17 00:05:44] [INFO] [SpeedQueue] Added unit enemy:Samoe into queue
[2025-04-17 00:05:44] [INFO] [Component] Setting dragon_Eiby_590f3f58-6cd7-4afe-a8d0-93daa2efe615 on to {"spawn_region":[],"collider":"","unit":"dragon_Eiby_590f3f58-6cd7-4afe-a8d0-93daa2efe615","column":5,"row":1,"structure":"","height":0}.
[2025-04-17 00:05:44] [INFO] [SpeedQueue] Added unit enemy:Eiby into queue
[2025-04-17 00:05:44] [INFO] [Component] Setting dragon_Gexw_b79ff939-1e19-414c-9c6d-07204836c6a7 on to {"spawn_region":[],"collider":"","unit":"dragon_Gexw_b79ff939-1e19-414c-9c6d-07204836c6a7","column":4,"row":6,"structure":"","height":0}.
[2025-04-17 00:05:44] [INFO] [SpeedQueue] Added unit enemy:Gexw into queue
[2025-04-17 00:05:44] [INFO] [Component] Setting dark_dragon_Nuexe_8df68ad9-0099-41c7-9742-a287d4b97746 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Nuexe_8df68ad9-0099-41c7-9742-a287d4b97746","column":5,"row":6,"structure":"","height":0}.
[2025-04-17 00:05:44] [INFO] [SpeedQueue] Added unit user:Nuexe into queue
[2025-04-17 00:05:44] [INFO] [Component] Setting dragon_Geoab_0a987338-0dd4-4053-ab08-6b9066ee45c0 on to {"spawn_region":[],"collider":"","unit":"dragon_Geoab_0a987338-0dd4-4053-ab08-6b9066ee45c0","column":0,"row":2,"structure":"","height":0}.
[2025-04-17 00:05:44] [INFO] [SpeedQueue] Added unit user:Geoab into queue
[2025-04-17 00:05:44] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 00:05:44] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 00:05:44] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:05:44] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 00:05:44] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 00:05:44] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 00:05:45] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 00:05:45] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:05:45] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_58ef0916-0cef-4b8d-8f56-f39c004f9524
[2025-04-17 00:05:45] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 00:05:45] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 00:05:45] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 00:05:45] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 00:05:45] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 00:05:45] [INFO] [VisualsSystem] Finished creating blurred background after 0.4889671802520752 seconds
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,170
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,174
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1114,178
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1111,182
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1107,185
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1103,189
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1099,191
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1097,194
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1093,198
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1089,201
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1081,206
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1076,210
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1068,215
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,219
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,224
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,230
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1038,235
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1035,237
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1029,241
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,244
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,249
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,252
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,255
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,256
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,259
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 998,261
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,262
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 992,264
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,266
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,267
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,268
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,270
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,271
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,272
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 975,272
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 974,273
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,274
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,274
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,275
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,275
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,276
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,276
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,276
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,276
[2025-04-17 00:05:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,279
[2025-04-17 00:05:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,282
