[2025-04-17 00:36:25] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 00:36:25] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 00:36:25] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 00:36:25] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 00:36:25] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 00:36:25] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 00:36:25] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 00:36:25] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 00:36:25] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 00:36:25] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 00:36:25] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 00:36:25] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 00:36:25] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 00:36:25] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 00:36:25] [INFO] [Component] Setting air_dragon_Syvay_499bf162-b108-420c-9e2b-f8d35edc32d9 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Syvay_499bf162-b108-420c-9e2b-f8d35edc32d9","column":1,"row":1,"structure":"","height":0}.
[2025-04-17 00:36:25] [INFO] [SpeedQueue] Added unit enemy:Syvay into queue
[2025-04-17 00:36:25] [INFO] [Component] Setting light_dragon_Uaioc_b592b162-eb53-4c66-a9c7-c40ec7f8e30f on to {"spawn_region":[],"collider":"","unit":"light_dragon_Uaioc_b592b162-eb53-4c66-a9c7-c40ec7f8e30f","column":5,"row":2,"structure":"","height":0}.
[2025-04-17 00:36:25] [INFO] [SpeedQueue] Added unit enemy:Uaioc into queue
[2025-04-17 00:36:25] [INFO] [Component] Setting dragon_Womv_3eee2deb-a918-4a17-9a6a-39adfc702cb2 on to {"spawn_region":[],"collider":"","unit":"dragon_Womv_3eee2deb-a918-4a17-9a6a-39adfc702cb2","column":4,"row":0,"structure":"","height":0}.
[2025-04-17 00:36:25] [INFO] [SpeedQueue] Added unit enemy:Womv into queue
[2025-04-17 00:36:25] [INFO] [Component] Setting water_dragon_Jikx_709bc73d-c48a-4062-a35b-16ae7e7da698 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Jikx_709bc73d-c48a-4062-a35b-16ae7e7da698","column":2,"row":1,"structure":"","height":0}.
[2025-04-17 00:36:25] [INFO] [SpeedQueue] Added unit enemy:Jikx into queue
[2025-04-17 00:36:25] [INFO] [Component] Setting air_dragon_Neioeo_634b7466-8c06-47eb-b1bf-068c9688fb20 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Neioeo_634b7466-8c06-47eb-b1bf-068c9688fb20","column":1,"row":3,"structure":"","height":0}.
[2025-04-17 00:36:25] [INFO] [SpeedQueue] Added unit enemy:Neioeo into queue
[2025-04-17 00:36:25] [INFO] [Component] Setting water_dragon_Vasao_d1952915-0d33-43ed-9942-f42f87fc988a on to {"spawn_region":[],"collider":"","unit":"water_dragon_Vasao_d1952915-0d33-43ed-9942-f42f87fc988a","column":3,"row":0,"structure":"","height":0}.
[2025-04-17 00:36:25] [INFO] [SpeedQueue] Added unit user:Vasao into queue
[2025-04-17 00:36:25] [INFO] [Component] Setting earth_dragon_Iyap_df7f79a1-972e-43fe-ac50-c3b17a297d2a on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Iyap_df7f79a1-972e-43fe-ac50-c3b17a297d2a","column":3,"row":6,"structure":"","height":0}.
[2025-04-17 00:36:25] [INFO] [SpeedQueue] Added unit user:Iyap into queue
[2025-04-17 00:36:25] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 00:36:25] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 00:36:25] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:36:25] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 00:36:25] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 00:36:25] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 00:36:25] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 00:36:25] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:36:25] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_faad6866-8998-4d3e-91d4-91e10263a2ff
[2025-04-17 00:36:26] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 00:36:26] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 00:36:26] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 00:36:26] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 00:36:26] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 00:36:26] [INFO] [VisualsSystem] Finished creating blurred background after 0.4950005114078522 seconds
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,340
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,322
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,311
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,301
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,282
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1090,274
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,271
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,360
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1100,374
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,390
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1062,403
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,414
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,424
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,434
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,440
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 993,447
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 990,449
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,454
[2025-04-17 00:36:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,457
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,458
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,458
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,458
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,458
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,459
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 975,461
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,463
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,466
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 992,470
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,476
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,482
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,489
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,499
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1062,514
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1084,526
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,541
[2025-04-17 00:36:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,547
[2025-04-17 00:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,547
[2025-04-17 00:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1117,535
[2025-04-17 00:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1113,524
[2025-04-17 00:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,513
[2025-04-17 00:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1108,504
[2025-04-17 00:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1107,500
[2025-04-17 00:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1105,493
[2025-04-17 00:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1102,486
[2025-04-17 00:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1100,482
[2025-04-17 00:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1098,477
[2025-04-17 00:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1096,472
[2025-04-17 00:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1094,469
[2025-04-17 00:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,465
[2025-04-17 00:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1089,462
