[2025-04-17 00:38:06] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 00:38:06] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 00:38:06] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 00:38:06] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 00:38:06] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 00:38:06] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 00:38:06] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 00:38:06] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 00:38:06] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 00:38:06] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 00:38:06] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 00:38:06] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 00:38:06] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 00:38:06] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 00:38:06] [INFO] [Component] Setting dark_dragon_Ierly_7a090ea9-0fed-4722-8cc5-3fb5ea208a49 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Ierly_7a090ea9-0fed-4722-8cc5-3fb5ea208a49","column":6,"row":7,"structure":"","height":0}.
[2025-04-17 00:38:06] [INFO] [SpeedQueue] Added unit enemy:Ierly into queue
[2025-04-17 00:38:06] [INFO] [Component] Setting dark_dragon_Eoyzya_60643928-dc3b-4854-9112-7edbf47b9abe on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Eoyzya_60643928-dc3b-4854-9112-7edbf47b9abe","column":0,"row":1,"structure":"","height":0}.
[2025-04-17 00:38:06] [INFO] [SpeedQueue] Added unit enemy:Eoyzya into queue
[2025-04-17 00:38:06] [INFO] [Component] Setting fire_dragon_Yoqua_abddf6be-5f06-4459-a55c-a3ee4129533b on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Yoqua_abddf6be-5f06-4459-a55c-a3ee4129533b","column":5,"row":1,"structure":"","height":0}.
[2025-04-17 00:38:06] [INFO] [SpeedQueue] Added unit enemy:Yoqua into queue
[2025-04-17 00:38:06] [INFO] [Component] Setting fire_dragon_Guaeay_4db8a7ab-c8ac-4a76-8052-70263a1adb73 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Guaeay_4db8a7ab-c8ac-4a76-8052-70263a1adb73","column":5,"row":5,"structure":"","height":0}.
[2025-04-17 00:38:06] [INFO] [SpeedQueue] Added unit enemy:Guaeay into queue
[2025-04-17 00:38:06] [INFO] [Component] Setting dark_dragon_Eufi_86ec87e4-dccf-41ff-bdba-845d41bb2b9b on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Eufi_86ec87e4-dccf-41ff-bdba-845d41bb2b9b","column":0,"row":3,"structure":"","height":0}.
[2025-04-17 00:38:06] [INFO] [SpeedQueue] Added unit enemy:Eufi into queue
[2025-04-17 00:38:06] [INFO] [Component] Setting water_dragon_Kubo_1f9f3e9f-1ed1-454e-8e32-4c5e2a60b99b on to {"spawn_region":[],"collider":"","unit":"water_dragon_Kubo_1f9f3e9f-1ed1-454e-8e32-4c5e2a60b99b","column":1,"row":3,"structure":"","height":0}.
[2025-04-17 00:38:06] [INFO] [SpeedQueue] Added unit user:Kubo into queue
[2025-04-17 00:38:06] [INFO] [Component] Setting earth_dragon_Kyloah_8c87e336-c48e-492f-999b-9e7f5480fca3 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Kyloah_8c87e336-c48e-492f-999b-9e7f5480fca3","column":6,"row":2,"structure":"","height":0}.
[2025-04-17 00:38:06] [INFO] [SpeedQueue] Added unit user:Kyloah into queue
[2025-04-17 00:38:06] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 00:38:06] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 00:38:06] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:38:06] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 00:38:06] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 00:38:06] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 00:38:07] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 00:38:07] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:38:07] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_b2feb4e8-00f0-4531-863e-0562f7817703
[2025-04-17 00:38:07] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 00:38:07] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 00:38:07] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 00:38:07] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 00:38:07] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 00:38:07] [INFO] [VisualsSystem] Finished creating blurred background after 0.5046342015266418 seconds
[2025-04-17 00:38:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,322
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 688,322
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,322
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,322
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,322
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 683,325
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,329
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,332
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,337
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,344
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,357
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,361
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,375
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,379
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,392
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,403
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,416
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,426
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,438
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,446
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 994,451
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,458
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,463
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,468
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,472
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1025,474
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,477
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,479
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,482
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,486
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,486
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,486
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1054,488
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1071,493
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,500
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1105,507
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1122,514
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,549
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1107,552
[2025-04-17 00:38:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1093,554
[2025-04-17 00:38:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,555
[2025-04-17 00:38:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,557
[2025-04-17 00:38:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,560
[2025-04-17 00:38:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1035,562
[2025-04-17 00:38:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,565
[2025-04-17 00:38:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,567
[2025-04-17 00:38:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 984,570
[2025-04-17 00:38:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,573
[2025-04-17 00:38:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,575
[2025-04-17 00:38:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,578
[2025-04-17 00:38:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,579
