[2025-04-17 00:39:04] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 00:39:04] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 00:39:04] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 00:39:04] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 00:39:04] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 00:39:04] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 00:39:04] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 00:39:04] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 00:39:04] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 00:39:04] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 00:39:04] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 00:39:04] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 00:39:04] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 00:39:04] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 00:39:04] [INFO] [Component] Setting dragon_Muyy_2e00deee-e2e8-490b-8a7e-6f7e496762a7 on to {"spawn_region":[],"collider":"","unit":"dragon_Muyy_2e00deee-e2e8-490b-8a7e-6f7e496762a7","column":0,"row":5,"structure":"","height":0}.
[2025-04-17 00:39:04] [INFO] [SpeedQueue] Added unit enemy:Muyy into queue
[2025-04-17 00:39:04] [INFO] [Component] Setting earth_dragon_Kiio_884fa860-cbeb-4ada-9163-215afee7b576 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Kiio_884fa860-cbeb-4ada-9163-215afee7b576","column":5,"row":0,"structure":"","height":0}.
[2025-04-17 00:39:04] [INFO] [SpeedQueue] Added unit enemy:Kiio into queue
[2025-04-17 00:39:04] [INFO] [Component] Setting light_dragon_Vobeo_19984171-03b6-4729-a455-f04c418f31d1 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Vobeo_19984171-03b6-4729-a455-f04c418f31d1","column":5,"row":7,"structure":"","height":0}.
[2025-04-17 00:39:04] [INFO] [SpeedQueue] Added unit enemy:Vobeo into queue
[2025-04-17 00:39:04] [INFO] [Component] Setting earth_dragon_Sohk_9414ecd1-750c-4f9d-a4f8-ec86962706e3 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Sohk_9414ecd1-750c-4f9d-a4f8-ec86962706e3","column":7,"row":0,"structure":"","height":0}.
[2025-04-17 00:39:04] [INFO] [SpeedQueue] Added unit user:Sohk into queue
[2025-04-17 00:39:04] [INFO] [Component] Setting dark_dragon_Gicoii_0e36e7d0-4c90-46c6-a0e3-273aa3faec9e on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Gicoii_0e36e7d0-4c90-46c6-a0e3-273aa3faec9e","column":3,"row":1,"structure":"","height":0}.
[2025-04-17 00:39:04] [INFO] [SpeedQueue] Added unit user:Gicoii into queue
[2025-04-17 00:39:04] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 00:39:04] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 00:39:04] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:39:04] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 00:39:04] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 00:39:04] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 00:39:05] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 00:39:05] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:39:05] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_e7042264-cab1-4ab9-bed3-489873262645
[2025-04-17 00:39:05] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 00:39:05] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 00:39:05] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 00:39:05] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 00:39:05] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 00:39:05] [INFO] [VisualsSystem] Finished creating blurred background after 0.4946978986263275 seconds
[2025-04-17 00:39:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,237
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,308
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,308
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,306
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,306
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,307
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,310
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,312
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,317
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,324
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,331
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,340
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 824,351
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,365
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,377
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 904,404
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,412
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,444
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,450
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1011,477
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,482
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,493
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,499
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,505
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,511
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,514
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,518
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,520
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,521
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,523
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,525
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,525
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,532
[2025-04-17 00:39:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1074,542
[2025-04-17 00:39:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,551
[2025-04-17 00:39:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1089,561
[2025-04-17 00:39:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,564
[2025-04-17 00:39:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1098,572
[2025-04-17 00:39:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,577
[2025-04-17 00:39:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1105,582
[2025-04-17 00:39:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1107,585
[2025-04-17 00:39:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1108,587
