[2025-04-17 00:41:17] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 00:41:17] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 00:41:17] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 00:41:17] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 00:41:17] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 00:41:17] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 00:41:17] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 00:41:17] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 00:41:17] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 00:41:17] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 00:41:17] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 00:41:17] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 00:41:17] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 00:41:17] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 00:41:17] [INFO] [Component] Setting air_dragon_Ceaoe_b4ad7476-be7f-4b28-bb17-befdf01685e2 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Ceaoe_b4ad7476-be7f-4b28-bb17-befdf01685e2","column":6,"row":2,"structure":"","height":0}.
[2025-04-17 00:41:17] [INFO] [SpeedQueue] Added unit enemy:Ceaoe into queue
[2025-04-17 00:41:17] [INFO] [Component] Setting dragon_Kepcau_7a17cf92-7547-4634-8040-4b1d5766601d on to {"spawn_region":[],"collider":"","unit":"dragon_Kepcau_7a17cf92-7547-4634-8040-4b1d5766601d","column":1,"row":3,"structure":"","height":0}.
[2025-04-17 00:41:17] [INFO] [SpeedQueue] Added unit enemy:Kepcau into queue
[2025-04-17 00:41:17] [INFO] [Component] Setting fire_dragon_Tavyao_621a8cdf-69ae-49df-8a0a-8ffc5612be45 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Tavyao_621a8cdf-69ae-49df-8a0a-8ffc5612be45","column":0,"row":1,"structure":"","height":0}.
[2025-04-17 00:41:17] [INFO] [SpeedQueue] Added unit enemy:Tavyao into queue
[2025-04-17 00:41:17] [INFO] [Component] Setting air_dragon_Jyhu_42ba9a0b-f20e-4175-a0c4-75abb59e4e3f on to {"spawn_region":[],"collider":"","unit":"air_dragon_Jyhu_42ba9a0b-f20e-4175-a0c4-75abb59e4e3f","column":0,"row":7,"structure":"","height":0}.
[2025-04-17 00:41:17] [INFO] [SpeedQueue] Added unit enemy:Jyhu into queue
[2025-04-17 00:41:17] [INFO] [Component] Setting earth_dragon_Jadoua_29585275-f4fb-4742-9c15-35b734f2d9b7 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Jadoua_29585275-f4fb-4742-9c15-35b734f2d9b7","column":2,"row":1,"structure":"","height":0}.
[2025-04-17 00:41:17] [INFO] [SpeedQueue] Added unit enemy:Jadoua into queue
[2025-04-17 00:41:17] [INFO] [Component] Setting earth_dragon_Xyubei_d31c02ff-e1b5-410c-b40c-42565dccd3d6 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Xyubei_d31c02ff-e1b5-410c-b40c-42565dccd3d6","column":2,"row":5,"structure":"","height":0}.
[2025-04-17 00:41:17] [INFO] [SpeedQueue] Added unit user:Xyubei into queue
[2025-04-17 00:41:17] [INFO] [Component] Setting air_dragon_Eifuo_836dc80e-23f7-4061-be30-f4758c241927 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Eifuo_836dc80e-23f7-4061-be30-f4758c241927","column":2,"row":7,"structure":"","height":0}.
[2025-04-17 00:41:17] [INFO] [SpeedQueue] Added unit user:Eifuo into queue
[2025-04-17 00:41:17] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 00:41:17] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 00:41:17] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:41:17] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 00:41:17] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 00:41:17] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 00:41:18] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 00:41:18] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:41:18] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_5e6967a3-9de9-4d4e-bb11-423d810e9283
[2025-04-17 00:41:18] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 00:41:18] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 00:41:18] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 00:41:18] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 00:41:18] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 00:41:19] [INFO] [VisualsSystem] Finished creating blurred background after 0.4934561550617218 seconds
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,325
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,327
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,330
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,332
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,334
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,337
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,339
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,343
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 938,347
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 935,350
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,352
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,356
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,359
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 927,362
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,366
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 922,368
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,371
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,376
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,379
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 904,382
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,385
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,388
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,389
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,391
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,392
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,393
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 886,393
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 885,394
[2025-04-17 00:41:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 884,394
[2025-04-17 00:41:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 885,394
[2025-04-17 00:41:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 885,395
[2025-04-17 00:41:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,396
[2025-04-17 00:41:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,399
[2025-04-17 00:41:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,404
[2025-04-17 00:41:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,409
[2025-04-17 00:41:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,418
[2025-04-17 00:41:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,429
[2025-04-17 00:41:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,452
[2025-04-17 00:41:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 984,475
[2025-04-17 00:41:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1010,498
[2025-04-17 00:41:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1038,524
[2025-04-17 00:41:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,552
[2025-04-17 00:41:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1084,567
[2025-04-17 00:41:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1115,596
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1123,647
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,644
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1115,641
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1112,639
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1109,637
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1107,636
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,635
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1105,634
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,633
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1103,633
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1103,632
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1102,632
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1102,631
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,631
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1100,631
[2025-04-17 00:41:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1100,630
[2025-04-17 00:41:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1099,630
[2025-04-17 00:41:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1098,629
[2025-04-17 00:41:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1097,628
[2025-04-17 00:41:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1095,627
[2025-04-17 00:41:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1093,626
[2025-04-17 00:41:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,625
[2025-04-17 00:41:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1087,623
[2025-04-17 00:41:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1084,621
[2025-04-17 00:41:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1080,619
[2025-04-17 00:41:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1076,616
[2025-04-17 00:41:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,613
[2025-04-17 00:41:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1068,611
[2025-04-17 00:41:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1064,608
[2025-04-17 00:41:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,605
[2025-04-17 00:41:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,602
