[2025-04-17 00:42:10] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 00:42:10] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 00:42:10] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 00:42:10] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 00:42:10] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 00:42:10] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 00:42:10] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 00:42:10] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 00:42:10] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 00:42:10] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 00:42:10] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 00:42:10] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 00:42:10] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 00:42:10] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 00:42:10] [INFO] [Component] Setting water_dragon_Iito_b7dae112-3d4d-467b-b69a-9b206eda6701 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Iito_b7dae112-3d4d-467b-b69a-9b206eda6701","column":6,"row":0,"structure":"","height":0}.
[2025-04-17 00:42:10] [INFO] [SpeedQueue] Added unit enemy:Iito into queue
[2025-04-17 00:42:10] [INFO] [Component] Setting water_dragon_Waaypw_89d0c6fd-13fc-4763-aa59-6de17016cad6 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Waaypw_89d0c6fd-13fc-4763-aa59-6de17016cad6","column":6,"row":6,"structure":"","height":0}.
[2025-04-17 00:42:10] [INFO] [SpeedQueue] Added unit enemy:Waaypw into queue
[2025-04-17 00:42:10] [INFO] [Component] Setting air_dragon_Yondu_27704dd1-8326-4f24-aff8-b2eae667af6e on to {"spawn_region":[],"collider":"","unit":"air_dragon_Yondu_27704dd1-8326-4f24-aff8-b2eae667af6e","column":7,"row":1,"structure":"","height":0}.
[2025-04-17 00:42:10] [INFO] [SpeedQueue] Added unit enemy:Yondu into queue
[2025-04-17 00:42:10] [INFO] [Component] Setting dark_dragon_Vyxquy_b56b4be6-d292-4b6c-8646-d97f881dc070 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Vyxquy_b56b4be6-d292-4b6c-8646-d97f881dc070","column":7,"row":6,"structure":"","height":0}.
[2025-04-17 00:42:10] [INFO] [SpeedQueue] Added unit enemy:Vyxquy into queue
[2025-04-17 00:42:10] [INFO] [Component] Setting fire_dragon_Gojau_cafc513b-9910-4dc7-a5d7-1fa1b4fc373d on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Gojau_cafc513b-9910-4dc7-a5d7-1fa1b4fc373d","column":2,"row":7,"structure":"","height":0}.
[2025-04-17 00:42:10] [INFO] [SpeedQueue] Added unit enemy:Gojau into queue
[2025-04-17 00:42:10] [INFO] [Component] Setting light_dragon_Xadi_25239367-8d23-4fdd-9db3-960e27e14b5c on to {"spawn_region":[],"collider":"","unit":"light_dragon_Xadi_25239367-8d23-4fdd-9db3-960e27e14b5c","column":6,"row":1,"structure":"","height":0}.
[2025-04-17 00:42:10] [INFO] [SpeedQueue] Added unit user:Xadi into queue
[2025-04-17 00:42:10] [INFO] [Component] Setting air_dragon_Cukuuy_e0869fee-0b3b-4e6a-9478-d3c08e2567cc on to {"spawn_region":[],"collider":"","unit":"air_dragon_Cukuuy_e0869fee-0b3b-4e6a-9478-d3c08e2567cc","column":6,"row":5,"structure":"","height":0}.
[2025-04-17 00:42:10] [INFO] [SpeedQueue] Added unit user:Cukuuy into queue
[2025-04-17 00:42:10] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 00:42:10] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 00:42:10] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:42:10] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 00:42:10] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 00:42:10] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 00:42:10] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 00:42:11] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:42:11] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_cff147a5-1f71-4181-b337-9aaaf41e525e
[2025-04-17 00:42:11] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 00:42:11] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 00:42:11] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 00:42:11] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 00:42:11] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 00:42:11] [INFO] [VisualsSystem] Finished creating blurred background after 0.49287956953048706 seconds
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 456,482
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 456,475
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 454,462
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 451,451
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 447,439
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 441,426
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 432,410
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 423,392
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 413,377
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 399,357
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 378,323
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 368,308
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 358,294
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 355,290
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 349,280
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 343,272
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 340,268
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 336,264
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 334,261
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 331,259
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 329,257
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 328,256
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 326,256
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 324,255
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 321,253
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 318,253
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 313,252
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 310,252
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 301,249
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 298,249
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 291,247
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 285,246
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 278,243
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 273,243
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 266,240
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 262,237
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 250,233
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 244,231
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 237,228
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 230,223
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 221,219
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 214,216
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 211,213
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 197,207
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 194,204
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 190,201
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 185,198
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 181,196
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 178,193
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 176,191
[2025-04-17 00:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 174,189
