[2025-04-17 00:43:17] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 00:43:17] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 00:43:17] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 00:43:17] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 00:43:17] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 00:43:17] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 00:43:17] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 00:43:17] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 00:43:17] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 00:43:17] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 00:43:17] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 00:43:17] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 00:43:17] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 00:43:17] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 00:43:17] [INFO] [Component] Setting light_dragon_Meqy_17cd1fbd-67a2-4aa5-b21e-80257a6846a6 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Meqy_17cd1fbd-67a2-4aa5-b21e-80257a6846a6","column":6,"row":2,"structure":"","height":0}.
[2025-04-17 00:43:17] [INFO] [SpeedQueue] Added unit enemy:Meqy into queue
[2025-04-17 00:43:17] [INFO] [Component] Setting light_dragon_Kyause_a4014b12-dd78-4aaf-a8ba-611cd5f1a65d on to {"spawn_region":[],"collider":"","unit":"light_dragon_Kyause_a4014b12-dd78-4aaf-a8ba-611cd5f1a65d","column":7,"row":4,"structure":"","height":0}.
[2025-04-17 00:43:17] [INFO] [SpeedQueue] Added unit enemy:Kyause into queue
[2025-04-17 00:43:17] [INFO] [Component] Setting air_dragon_Eujw_16640133-ca4e-4e76-8a92-2e224d18de1d on to {"spawn_region":[],"collider":"","unit":"air_dragon_Eujw_16640133-ca4e-4e76-8a92-2e224d18de1d","column":1,"row":6,"structure":"","height":0}.
[2025-04-17 00:43:17] [INFO] [SpeedQueue] Added unit enemy:Eujw into queue
[2025-04-17 00:43:17] [INFO] [Component] Setting dragon_Xinm_4a4a0583-59d9-4b61-8027-e4b5d3f49314 on to {"spawn_region":[],"collider":"","unit":"dragon_Xinm_4a4a0583-59d9-4b61-8027-e4b5d3f49314","column":0,"row":5,"structure":"","height":0}.
[2025-04-17 00:43:17] [INFO] [SpeedQueue] Added unit user:Xinm into queue
[2025-04-17 00:43:17] [INFO] [Component] Setting earth_dragon_Pagjj_43adfd10-1068-46cd-b81c-fd63a1c538c2 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Pagjj_43adfd10-1068-46cd-b81c-fd63a1c538c2","column":4,"row":1,"structure":"","height":0}.
[2025-04-17 00:43:17] [INFO] [SpeedQueue] Added unit user:Pagjj into queue
[2025-04-17 00:43:17] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 00:43:17] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 00:43:17] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:43:17] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 00:43:17] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 00:43:17] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 00:43:17] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 00:43:17] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:43:18] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_b1e73d56-1491-4883-82a9-8b706a3a1a49
[2025-04-17 00:43:18] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 00:43:18] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 00:43:18] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 00:43:18] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 00:43:18] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 00:43:18] [INFO] [VisualsSystem] Finished creating blurred background after 0.4929148554801941 seconds
[2025-04-17 00:43:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,468
[2025-04-17 00:43:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,483
[2025-04-17 00:43:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1064,487
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,487
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,490
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 1074,494
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 1080,501
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,510
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 1103,524
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,538
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,601
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 1102,589
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,574
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,558
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,538
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,512
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,487
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,458
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,434
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,411
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 677,389
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,379
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 611,360
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 577,345
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 551,330
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 533,319
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 527,315
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 516,305
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 509,299
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 504,294
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 504,295
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 511,305
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 518,314
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 526,327
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 539,343
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 553,363
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,383
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 583,403
[2025-04-17 00:43:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 599,423
[2025-04-17 00:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 613,443
[2025-04-17 00:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 618,450
[2025-04-17 00:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 628,464
