[2025-04-17 00:43:31] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 00:43:31] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 00:43:31] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 00:43:31] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 00:43:31] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 00:43:31] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 00:43:31] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 00:43:31] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 00:43:31] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 00:43:31] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 00:43:31] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 00:43:31] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 00:43:32] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 00:43:32] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 00:43:32] [INFO] [Component] Setting earth_dragon_Fayto_403fb25d-d79f-418f-a66f-5e1ff2021eb0 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Fayto_403fb25d-d79f-418f-a66f-5e1ff2021eb0","column":3,"row":3,"structure":"","height":0}.
[2025-04-17 00:43:32] [INFO] [SpeedQueue] Added unit enemy:Fayto into queue
[2025-04-17 00:43:32] [INFO] [Component] Setting dragon_Qemuoy_21115394-15d5-4c81-a427-4c4c6686cdf0 on to {"spawn_region":[],"collider":"","unit":"dragon_Qemuoy_21115394-15d5-4c81-a427-4c4c6686cdf0","column":4,"row":0,"structure":"","height":0}.
[2025-04-17 00:43:32] [INFO] [SpeedQueue] Added unit enemy:Qemuoy into queue
[2025-04-17 00:43:32] [INFO] [Component] Setting dark_dragon_Iyra_085a5c9b-92a7-49d5-a8af-d0eb5f2f2501 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Iyra_085a5c9b-92a7-49d5-a8af-d0eb5f2f2501","column":1,"row":5,"structure":"","height":0}.
[2025-04-17 00:43:32] [INFO] [SpeedQueue] Added unit enemy:Iyra into queue
[2025-04-17 00:43:32] [INFO] [Component] Setting air_dragon_Qajoa_181208ca-cebd-4d56-b79d-991a2d7afb86 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Qajoa_181208ca-cebd-4d56-b79d-991a2d7afb86","column":5,"row":6,"structure":"","height":0}.
[2025-04-17 00:43:32] [INFO] [SpeedQueue] Added unit enemy:Qajoa into queue
[2025-04-17 00:43:32] [INFO] [Component] Setting water_dragon_Gutfo_fbbd09f3-af33-42ee-8482-44cb68a6b80c on to {"spawn_region":[],"collider":"","unit":"water_dragon_Gutfo_fbbd09f3-af33-42ee-8482-44cb68a6b80c","column":3,"row":0,"structure":"","height":0}.
[2025-04-17 00:43:32] [INFO] [SpeedQueue] Added unit user:Gutfo into queue
[2025-04-17 00:43:32] [INFO] [Component] Setting earth_dragon_Sanuao_9c666d66-b5e4-48c9-8629-de9816b604d7 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Sanuao_9c666d66-b5e4-48c9-8629-de9816b604d7","column":1,"row":2,"structure":"","height":0}.
[2025-04-17 00:43:32] [INFO] [SpeedQueue] Added unit user:Sanuao into queue
[2025-04-17 00:43:32] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 00:43:32] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 00:43:32] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:43:32] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 00:43:32] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 00:43:32] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 00:43:32] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 00:43:32] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:43:32] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_440420a6-9b40-49c7-8b67-54b1d7706013
[2025-04-17 00:43:32] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 00:43:32] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 00:43:32] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 00:43:32] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 00:43:32] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 00:43:33] [INFO] [VisualsSystem] Finished creating blurred background after 0.49943968653678894 seconds
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,161
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1111,168
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1105,174
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1095,179
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,186
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1078,191
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1068,197
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,202
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,208
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,211
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,219
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,226
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,230
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,235
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 996,240
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,245
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,247
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 979,250
[2025-04-17 00:43:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,253
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,257
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 961,260
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 956,262
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,263
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,266
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,267
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,268
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,268
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 944,269
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,269
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,270
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 941,270
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,270
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,271
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,271
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,272
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 938,272
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,273
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,273
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,275
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,276
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,280
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,281
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 922,284
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,287
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,292
[2025-04-17 00:43:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 904,295
