[2025-04-17 00:49:04] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 00:49:04] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 00:49:04] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 00:49:04] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 00:49:04] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 00:49:04] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 00:49:04] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 00:49:04] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 00:49:04] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 00:49:04] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 00:49:04] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 00:49:04] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 00:49:04] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 00:49:04] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 00:49:04] [INFO] [Component] Setting air_dragon_Neya_758e9f86-bd13-4cef-a125-3c23b30a8826 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Neya_758e9f86-bd13-4cef-a125-3c23b30a8826","column":1,"row":0,"structure":"","height":0}.
[2025-04-17 00:49:04] [INFO] [SpeedQueue] Added unit enemy:Neya into queue
[2025-04-17 00:49:04] [INFO] [Component] Setting earth_dragon_Symivo_c6755aa3-fe52-4a68-86bc-75eea6d171f5 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Symivo_c6755aa3-fe52-4a68-86bc-75eea6d171f5","column":6,"row":7,"structure":"","height":0}.
[2025-04-17 00:49:04] [INFO] [SpeedQueue] Added unit enemy:Symivo into queue
[2025-04-17 00:49:04] [INFO] [Component] Setting air_dragon_Vepo_6a076bc0-eea6-4702-8db1-263ab83043b1 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Vepo_6a076bc0-eea6-4702-8db1-263ab83043b1","column":6,"row":1,"structure":"","height":0}.
[2025-04-17 00:49:04] [INFO] [SpeedQueue] Added unit enemy:Vepo into queue
[2025-04-17 00:49:04] [INFO] [Component] Setting dragon_Pekuao_983af379-6185-4fa3-b5e0-f4fd0425246f on to {"spawn_region":[],"collider":"","unit":"dragon_Pekuao_983af379-6185-4fa3-b5e0-f4fd0425246f","column":1,"row":2,"structure":"","height":0}.
[2025-04-17 00:49:04] [INFO] [SpeedQueue] Added unit enemy:Pekuao into queue
[2025-04-17 00:49:04] [INFO] [Component] Setting dragon_Aohy_b6fbed9f-d604-47d4-93d0-b697290fc7a9 on to {"spawn_region":[],"collider":"","unit":"dragon_Aohy_b6fbed9f-d604-47d4-93d0-b697290fc7a9","column":5,"row":4,"structure":"","height":0}.
[2025-04-17 00:49:04] [INFO] [SpeedQueue] Added unit enemy:Aohy into queue
[2025-04-17 00:49:04] [INFO] [Component] Setting air_dragon_Vyjvg_c358f8ca-299c-4ca1-9624-e7dff43ca426 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Vyjvg_c358f8ca-299c-4ca1-9624-e7dff43ca426","column":4,"row":2,"structure":"","height":0}.
[2025-04-17 00:49:04] [INFO] [SpeedQueue] Added unit user:Vyjvg into queue
[2025-04-17 00:49:04] [INFO] [Component] Setting dark_dragon_Feyyu_016591b0-706f-45ac-b6aa-9e92287b0d61 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Feyyu_016591b0-706f-45ac-b6aa-9e92287b0d61","column":5,"row":2,"structure":"","height":0}.
[2025-04-17 00:49:04] [INFO] [SpeedQueue] Added unit user:Feyyu into queue
[2025-04-17 00:49:04] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 00:49:04] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 00:49:04] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:49:04] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 00:49:04] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 00:49:04] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 00:49:04] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 00:49:04] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:49:04] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_04249818-c51f-46b2-baa0-bf60d6b0310f
[2025-04-17 00:49:04] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 00:49:04] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 00:49:04] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 00:49:04] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 00:49:05] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 00:49:05] [INFO] [VisualsSystem] Finished creating blurred background after 0.49554678797721863 seconds
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,316
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1112,322
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1109,326
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1103,331
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1099,334
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1095,336
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,339
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,341
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1084,344
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,345
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1080,346
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1077,348
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1075,349
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1074,350
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1072,350
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1071,351
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,352
[2025-04-17 00:49:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,352
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,353
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1067,353
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,354
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1064,355
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1062,355
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,356
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,357
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,358
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,360
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,363
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,364
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,366
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,368
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,370
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,372
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,374
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1029,375
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,376
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,378
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1025,378
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,379
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1022,380
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,380
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,381
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,382
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,382
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,383
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,383
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,384
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,384
[2025-04-17 00:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1011,385
