[2025-04-17 00:49:41] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 00:49:41] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 00:49:41] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 00:49:41] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 00:49:41] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 00:49:41] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 00:49:41] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 00:49:41] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 00:49:41] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 00:49:41] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 00:49:41] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 00:49:41] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 00:49:42] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 00:49:42] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 00:49:42] [INFO] [Component] Setting air_dragon_Fate_94cce078-769e-4dc8-9213-628c97628f43 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Fate_94cce078-769e-4dc8-9213-628c97628f43","column":6,"row":1,"structure":"","height":0}.
[2025-04-17 00:49:42] [INFO] [SpeedQueue] Added unit enemy:Fate into queue
[2025-04-17 00:49:42] [INFO] [Component] Setting air_dragon_Hyxui_8ed2081d-81dd-4762-9001-90dce0f12297 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Hyxui_8ed2081d-81dd-4762-9001-90dce0f12297","column":3,"row":1,"structure":"","height":0}.
[2025-04-17 00:49:42] [INFO] [SpeedQueue] Added unit enemy:Hyxui into queue
[2025-04-17 00:49:42] [INFO] [Component] Setting fire_dragon_Nyuoaa_827e7b3b-9b41-4b08-82f7-a036876e282d on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Nyuoaa_827e7b3b-9b41-4b08-82f7-a036876e282d","column":6,"row":7,"structure":"","height":0}.
[2025-04-17 00:49:42] [INFO] [SpeedQueue] Added unit enemy:Nyuoaa into queue
[2025-04-17 00:49:42] [INFO] [Component] Setting light_dragon_Koena_4a7522d7-e597-4c7c-8783-5e6abd89ad4e on to {"spawn_region":[],"collider":"","unit":"light_dragon_Koena_4a7522d7-e597-4c7c-8783-5e6abd89ad4e","column":0,"row":5,"structure":"","height":0}.
[2025-04-17 00:49:42] [INFO] [SpeedQueue] Added unit enemy:Koena into queue
[2025-04-17 00:49:42] [INFO] [Component] Setting dragon_Xonuj_ac9bb459-95d9-442b-8cd2-157524ca2a9f on to {"spawn_region":[],"collider":"","unit":"dragon_Xonuj_ac9bb459-95d9-442b-8cd2-157524ca2a9f","column":1,"row":5,"structure":"","height":0}.
[2025-04-17 00:49:42] [INFO] [SpeedQueue] Added unit enemy:Xonuj into queue
[2025-04-17 00:49:42] [INFO] [Component] Setting dark_dragon_Qanie_64ef45ab-294f-4d0a-9e7d-3f711f89108f on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Qanie_64ef45ab-294f-4d0a-9e7d-3f711f89108f","column":3,"row":6,"structure":"","height":0}.
[2025-04-17 00:49:42] [INFO] [SpeedQueue] Added unit user:Qanie into queue
[2025-04-17 00:49:42] [INFO] [Component] Setting light_dragon_Meyp_93020537-f0e1-4dea-aa8f-b1eb68674e9b on to {"spawn_region":[],"collider":"","unit":"light_dragon_Meyp_93020537-f0e1-4dea-aa8f-b1eb68674e9b","column":3,"row":2,"structure":"","height":0}.
[2025-04-17 00:49:42] [INFO] [SpeedQueue] Added unit user:Meyp into queue
[2025-04-17 00:49:42] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 00:49:42] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 00:49:42] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:49:42] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 00:49:42] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 00:49:42] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 00:49:42] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 00:49:42] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 00:49:42] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_3747ab34-0927-4ac0-b887-6d01125edb8f
[2025-04-17 00:49:42] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 00:49:42] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 00:49:42] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 00:49:42] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 00:49:42] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 00:49:43] [INFO] [VisualsSystem] Finished creating blurred background after 0.4923919141292572 seconds
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,122
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1085,127
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1078,133
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1074,137
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1071,141
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1068,145
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,148
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1062,152
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1061,154
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,158
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,162
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,166
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,169
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1052,172
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,175
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,180
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,184
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,189
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,193
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,197
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,202
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,206
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,211
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,219
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,221
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,228
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,233
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,235
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 996,239
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,244
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,246
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,251
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,254
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 974,255
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,258
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,259
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,261
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,262
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,263
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,264
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,265
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,266
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,267
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,269
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,270
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 956,271
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 954,274
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,276
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,280
[2025-04-17 00:49:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 944,283
