[2025-04-17 01:01:50] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 01:01:50] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 01:01:50] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 01:01:50] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 01:01:50] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 01:01:50] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 01:01:50] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 01:01:50] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 01:01:50] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 01:01:50] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 01:01:50] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 01:01:50] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 01:01:50] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 01:01:50] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 01:01:50] [INFO] [Component] Setting dark_dragon_Xozaay_49fc47dc-41de-4f5d-80a8-55999de36e67 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Xozaay_49fc47dc-41de-4f5d-80a8-55999de36e67","column":6,"row":4,"structure":"","height":0}.
[2025-04-17 01:01:50] [INFO] [SpeedQueue] Added unit enemy:Xozaay into queue
[2025-04-17 01:01:50] [INFO] [Component] Setting light_dragon_Hiino_445c7d3d-8945-404c-be54-363b2869263d on to {"spawn_region":[],"collider":"","unit":"light_dragon_Hiino_445c7d3d-8945-404c-be54-363b2869263d","column":4,"row":0,"structure":"","height":0}.
[2025-04-17 01:01:50] [INFO] [SpeedQueue] Added unit enemy:Hiino into queue
[2025-04-17 01:01:50] [INFO] [Component] Setting air_dragon_Gibisu_061e4227-a68d-4b91-a21c-0fb68d493d81 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Gibisu_061e4227-a68d-4b91-a21c-0fb68d493d81","column":0,"row":5,"structure":"","height":0}.
[2025-04-17 01:01:50] [INFO] [SpeedQueue] Added unit enemy:Gibisu into queue
[2025-04-17 01:01:50] [INFO] [Component] Setting dark_dragon_Oowi_1c45efb9-724e-4b71-ae6b-bfe022072315 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Oowi_1c45efb9-724e-4b71-ae6b-bfe022072315","column":5,"row":5,"structure":"","height":0}.
[2025-04-17 01:01:50] [INFO] [SpeedQueue] Added unit enemy:Oowi into queue
[2025-04-17 01:01:50] [INFO] [Component] Setting earth_dragon_Losaau_888d69b0-a4ab-43f3-935f-d35e9c7a2df7 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Losaau_888d69b0-a4ab-43f3-935f-d35e9c7a2df7","column":7,"row":6,"structure":"","height":0}.
[2025-04-17 01:01:50] [INFO] [SpeedQueue] Added unit enemy:Losaau into queue
[2025-04-17 01:01:50] [INFO] [Component] Setting light_dragon_Tanfe_32c67382-47a4-49db-873e-8f137bce85f3 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Tanfe_32c67382-47a4-49db-873e-8f137bce85f3","column":4,"row":5,"structure":"","height":0}.
[2025-04-17 01:01:50] [INFO] [SpeedQueue] Added unit user:Tanfe into queue
[2025-04-17 01:01:50] [INFO] [Component] Setting earth_dragon_Roznye_2550188d-0bfd-4c54-9681-56cf225193c9 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Roznye_2550188d-0bfd-4c54-9681-56cf225193c9","column":7,"row":7,"structure":"","height":0}.
[2025-04-17 01:01:50] [INFO] [SpeedQueue] Added unit user:Roznye into queue
[2025-04-17 01:01:50] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 01:01:50] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 01:01:50] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 01:01:50] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 01:01:50] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 01:01:50] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 01:01:50] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 01:01:51] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 01:01:51] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_2fc69060-8e6e-406f-ac6a-9c9e3cd49da9
[2025-04-17 01:01:51] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 01:01:51] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 01:01:51] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 01:01:51] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 01:01:51] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 01:01:51] [INFO] [VisualsSystem] Finished creating blurred background after 0.48833906650543213 seconds
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,125
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 876,138
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,147
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,154
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 856,159
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 851,165
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,169
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 843,174
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 840,176
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,180
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,182
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 834,185
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,187
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,188
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,189
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 827,191
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 824,193
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,196
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 816,198
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,200
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 807,205
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,208
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,211
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,213
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,216
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,218
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,220
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,222
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,223
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,224
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,225
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,226
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,227
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 774,228
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,229
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,230
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,231
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,232
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 759,235
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,236
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,238
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,240
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,241
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,243
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,244
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 727,246
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 724,246
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,247
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 719,248
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,249
[2025-04-17 01:01:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,249
