[2025-04-17 01:44:11] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 01:44:11] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 01:44:11] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 01:44:11] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 01:44:11] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 01:44:11] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 01:44:11] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 01:44:11] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 01:44:11] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 01:44:12] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 01:44:12] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 01:44:12] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 01:44:12] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 01:44:12] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 01:44:12] [INFO] [Component] Setting water_dragon_Oevhuu_54620ff7-4145-4a01-8192-49ee811f08a3 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Oevhuu_54620ff7-4145-4a01-8192-49ee811f08a3","column":6,"row":4,"structure":"","height":0}.
[2025-04-17 01:44:12] [INFO] [SpeedQueue] Added unit enemy:Oevhuu into queue
[2025-04-17 01:44:12] [INFO] [Component] Setting water_dragon_Myky_c291fcc6-0431-4267-be06-6902e9f09971 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Myky_c291fcc6-0431-4267-be06-6902e9f09971","column":0,"row":5,"structure":"","height":0}.
[2025-04-17 01:44:12] [INFO] [SpeedQueue] Added unit enemy:Myky into queue
[2025-04-17 01:44:12] [INFO] [Component] Setting dark_dragon_Qiilvy_c197cd94-3c61-44c4-9911-cabe7ce4a939 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Qiilvy_c197cd94-3c61-44c4-9911-cabe7ce4a939","column":2,"row":7,"structure":"","height":0}.
[2025-04-17 01:44:12] [INFO] [SpeedQueue] Added unit enemy:Qiilvy into queue
[2025-04-17 01:44:12] [INFO] [Component] Setting fire_dragon_Keeyir_d43e026d-04c0-4c1b-9d7a-0d9fa233cca3 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Keeyir_d43e026d-04c0-4c1b-9d7a-0d9fa233cca3","column":2,"row":1,"structure":"","height":0}.
[2025-04-17 01:44:12] [INFO] [SpeedQueue] Added unit enemy:Keeyir into queue
[2025-04-17 01:44:12] [INFO] [Component] Setting fire_dragon_Tewnve_14d4b1ad-9837-4eef-b46a-d045968f2e83 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Tewnve_14d4b1ad-9837-4eef-b46a-d045968f2e83","column":3,"row":2,"structure":"","height":0}.
[2025-04-17 01:44:12] [INFO] [SpeedQueue] Added unit user:Tewnve into queue
[2025-04-17 01:44:12] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 01:44:12] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 01:44:12] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 01:44:12] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 01:44:12] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 01:44:12] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 01:44:12] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 01:44:12] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 01:44:12] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_55ae4eb0-7013-40b8-a2f8-22103ea625ec
[2025-04-17 01:44:13] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 01:44:13] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 01:44:13] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 01:44:13] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 01:44:13] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 01:44:13] [INFO] [VisualsSystem] Finished creating blurred background after 0.5141728520393372 seconds
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1122,251
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1116,255
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1109,260
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,265
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,271
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,276
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,280
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,286
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1054,289
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,291
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,300
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,303
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,307
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,310
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,313
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,318
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,320
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 975,322
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,324
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,328
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,330
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,333
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,335
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 938,337
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 935,339
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,341
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,343
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,343
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,345
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,345
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,346
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 923,346
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 922,347
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,347
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 920,348
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,348
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,348
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,349
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,349
[2025-04-17 01:44:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,349
[2025-04-17 01:44:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,349
[2025-04-17 01:44:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,349
