[2025-04-17 01:48:56] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 01:48:56] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 01:48:56] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 01:48:56] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 01:48:56] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 01:48:56] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 01:48:56] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 01:48:56] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 01:48:56] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 01:48:56] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 01:48:56] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 01:48:56] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 01:48:56] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 01:48:56] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 01:48:56] [INFO] [Component] Setting dragon_Aaaw_30380d11-4b85-4340-883c-0a55505aa635 on to {"spawn_region":[],"collider":"","unit":"dragon_Aaaw_30380d11-4b85-4340-883c-0a55505aa635","column":7,"row":7,"structure":"","height":0}.
[2025-04-17 01:48:56] [INFO] [SpeedQueue] Added unit enemy:Aaaw into queue
[2025-04-17 01:48:56] [INFO] [Component] Setting water_dragon_Fadk_168a2433-34e6-4503-a409-8f3c450ec68e on to {"spawn_region":[],"collider":"","unit":"water_dragon_Fadk_168a2433-34e6-4503-a409-8f3c450ec68e","column":5,"row":2,"structure":"","height":0}.
[2025-04-17 01:48:56] [INFO] [SpeedQueue] Added unit enemy:Fadk into queue
[2025-04-17 01:48:56] [INFO] [Component] Setting fire_dragon_Uyausi_3107f2b0-e2c2-4076-9947-6c352dc6714e on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Uyausi_3107f2b0-e2c2-4076-9947-6c352dc6714e","column":2,"row":0,"structure":"","height":0}.
[2025-04-17 01:48:56] [INFO] [SpeedQueue] Added unit enemy:Uyausi into queue
[2025-04-17 01:48:56] [INFO] [Component] Setting dragon_Zizzn_74bae172-8e76-43d0-8bdf-020cdc4324f2 on to {"spawn_region":[],"collider":"","unit":"dragon_Zizzn_74bae172-8e76-43d0-8bdf-020cdc4324f2","column":2,"row":5,"structure":"","height":0}.
[2025-04-17 01:48:56] [INFO] [SpeedQueue] Added unit user:Zizzn into queue
[2025-04-17 01:48:56] [INFO] [Component] Setting dark_dragon_Wygaa_0d301808-86ed-4c4a-9aa5-a73112177f50 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Wygaa_0d301808-86ed-4c4a-9aa5-a73112177f50","column":4,"row":6,"structure":"","height":0}.
[2025-04-17 01:48:56] [INFO] [SpeedQueue] Added unit user:Wygaa into queue
[2025-04-17 01:48:56] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 01:48:56] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 01:48:56] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 01:48:56] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 01:48:56] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 01:48:56] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 01:48:56] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 01:48:57] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 01:48:57] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_1ad7d4fd-0b04-477a-bd4f-b6daf68c9731
[2025-04-17 01:48:57] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 01:48:57] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 01:48:57] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 01:48:57] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 01:48:57] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 01:48:57] [INFO] [VisualsSystem] Finished creating blurred background after 0.4937075972557068 seconds
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,160
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1117,166
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1108,174
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,181
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1093,189
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1086,195
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1078,204
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,206
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,220
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,224
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,226
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,228
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,230
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,231
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,232
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,233
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,233
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,233
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,233
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,233
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,233
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,233
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,232
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,231
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,230
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,229
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,227
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,226
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,223
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,221
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,216
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,213
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,208
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,203
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1011,198
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,191
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,189
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,179
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,177
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,166
[2025-04-17 01:48:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,161
