[2025-04-17 01:57:36] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 01:57:36] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 01:57:36] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 01:57:36] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 01:57:36] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 01:57:36] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 01:57:36] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 01:57:36] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 01:57:36] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 01:57:36] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 01:57:36] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 01:57:36] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 01:57:36] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 01:57:36] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 01:57:36] [INFO] [Component] Setting dark_dragon_Aoaao_6dcfc467-09a7-44ce-90bc-83b1b1da69e5 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Aoaao_6dcfc467-09a7-44ce-90bc-83b1b1da69e5","column":6,"row":0,"structure":"","height":0}.
[2025-04-17 01:57:36] [INFO] [SpeedQueue] Added unit enemy:Aoaao into queue
[2025-04-17 01:57:36] [INFO] [Component] Setting earth_dragon_Ziupy_c95cdcb9-803c-49bb-99c5-b1d85a098e75 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Ziupy_c95cdcb9-803c-49bb-99c5-b1d85a098e75","column":0,"row":2,"structure":"","height":0}.
[2025-04-17 01:57:36] [INFO] [SpeedQueue] Added unit enemy:Ziupy into queue
[2025-04-17 01:57:36] [INFO] [Component] Setting water_dragon_Eorua_23cefa1a-c639-476e-9f7f-f0ad2a71cc43 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Eorua_23cefa1a-c639-476e-9f7f-f0ad2a71cc43","column":5,"row":6,"structure":"","height":0}.
[2025-04-17 01:57:36] [INFO] [SpeedQueue] Added unit enemy:Eorua into queue
[2025-04-17 01:57:36] [INFO] [Component] Setting fire_dragon_Aoiyg_9b0f4b23-d95e-4cda-afa4-ce5c525f0535 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Aoiyg_9b0f4b23-d95e-4cda-afa4-ce5c525f0535","column":4,"row":3,"structure":"","height":0}.
[2025-04-17 01:57:36] [INFO] [SpeedQueue] Added unit enemy:Aoiyg into queue
[2025-04-17 01:57:36] [INFO] [Component] Setting water_dragon_Eipeg_4063d0b0-33bf-452e-8bce-7d949db2bc46 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Eipeg_4063d0b0-33bf-452e-8bce-7d949db2bc46","column":4,"row":2,"structure":"","height":0}.
[2025-04-17 01:57:36] [INFO] [SpeedQueue] Added unit user:Eipeg into queue
[2025-04-17 01:57:36] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 01:57:36] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 01:57:36] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 01:57:36] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 01:57:36] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 01:57:36] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 01:57:36] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 01:57:36] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 01:57:36] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_d1e95ed2-adb7-4c3e-95ab-69482bbde0dd
[2025-04-17 01:57:37] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 01:57:37] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 01:57:37] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 01:57:37] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 01:57:37] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 01:57:37] [INFO] [VisualsSystem] Finished creating blurred background after 0.4925115406513214 seconds
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,142
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,156
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,167
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,179
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,190
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,201
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,210
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 776,221
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,231
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,240
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,250
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,258
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,265
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,272
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,274
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 685,280
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 679,284
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 674,287
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 670,290
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,293
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,295
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,296
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 657,299
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,300
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 654,301
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 652,302
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,303
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 648,306
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,307
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 646,308
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,310
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 644,311
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 642,313
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 641,314
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 640,315
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 640,316
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,317
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,317
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 637,318
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 636,319
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 635,319
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 634,320
[2025-04-17 01:57:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 632,320
