[2025-04-17 01:58:13] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 01:58:13] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 01:58:13] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 01:58:13] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 01:58:13] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 01:58:13] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 01:58:13] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 01:58:13] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 01:58:13] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 01:58:13] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 01:58:13] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 01:58:13] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 01:58:13] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 01:58:13] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 01:58:13] [INFO] [Component] Setting light_dragon_Baya_3f41e1bb-ac9f-40f5-b49a-d27595d07f64 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Baya_3f41e1bb-ac9f-40f5-b49a-d27595d07f64","column":3,"row":6,"structure":"","height":0}.
[2025-04-17 01:58:13] [INFO] [SpeedQueue] Added unit enemy:Baya into queue
[2025-04-17 01:58:13] [INFO] [Component] Setting air_dragon_Oavxyy_229d9866-602d-4ac9-b89c-15b0c2c052ae on to {"spawn_region":[],"collider":"","unit":"air_dragon_Oavxyy_229d9866-602d-4ac9-b89c-15b0c2c052ae","column":0,"row":6,"structure":"","height":0}.
[2025-04-17 01:58:13] [INFO] [SpeedQueue] Added unit enemy:Oavxyy into queue
[2025-04-17 01:58:13] [INFO] [Component] Setting earth_dragon_Iuyles_202fbe59-5e96-448a-95d4-a2d110ca9de9 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Iuyles_202fbe59-5e96-448a-95d4-a2d110ca9de9","column":1,"row":0,"structure":"","height":0}.
[2025-04-17 01:58:13] [INFO] [SpeedQueue] Added unit enemy:Iuyles into queue
[2025-04-17 01:58:13] [INFO] [Component] Setting light_dragon_Eibdpl_e9837efa-fe9d-4303-a434-f1709f67da5d on to {"spawn_region":[],"collider":"","unit":"light_dragon_Eibdpl_e9837efa-fe9d-4303-a434-f1709f67da5d","column":5,"row":1,"structure":"","height":0}.
[2025-04-17 01:58:13] [INFO] [SpeedQueue] Added unit enemy:Eibdpl into queue
[2025-04-17 01:58:13] [INFO] [Component] Setting earth_dragon_Kojoo_ed18df60-30d0-4f28-92b2-183fabc43738 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Kojoo_ed18df60-30d0-4f28-92b2-183fabc43738","column":2,"row":2,"structure":"","height":0}.
[2025-04-17 01:58:13] [INFO] [SpeedQueue] Added unit user:Kojoo into queue
[2025-04-17 01:58:13] [INFO] [Component] Setting light_dragon_Fuhkpe_e555dfdc-6119-48de-8e31-6f205a4bf378 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Fuhkpe_e555dfdc-6119-48de-8e31-6f205a4bf378","column":2,"row":7,"structure":"","height":0}.
[2025-04-17 01:58:13] [INFO] [SpeedQueue] Added unit user:Fuhkpe into queue
[2025-04-17 01:58:13] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 01:58:13] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 01:58:13] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 01:58:13] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 01:58:13] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 01:58:14] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 01:58:14] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 01:58:14] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 01:58:14] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_6e17db26-aad6-416e-82d8-ee2e14ae96b0
[2025-04-17 01:58:14] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 01:58:14] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 01:58:14] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 01:58:14] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 01:58:14] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 01:58:15] [INFO] [VisualsSystem] Finished creating blurred background after 0.4951423108577728 seconds
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1113,257
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,259
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1100,260
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,261
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,262
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,263
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,265
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,266
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,269
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,271
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,274
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1022,275
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,277
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,279
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,281
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,284
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,285
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 984,286
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,288
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,289
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,290
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,292
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,292
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,294
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,295
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,297
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 961,298
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,299
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,300
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 956,302
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 955,303
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 954,305
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,305
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,306
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,307
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,309
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,310
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,311
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,312
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,313
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,314
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,315
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,316
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,317
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,317
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,318
[2025-04-17 01:58:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,319
