[2025-04-17 02:01:26] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 02:01:26] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 02:01:26] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 02:01:26] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 02:01:26] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 02:01:26] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 02:01:26] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 02:01:26] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 02:01:26] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 02:01:27] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 02:01:27] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 02:01:27] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 02:01:27] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 02:01:27] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 02:01:27] [INFO] [Component] Setting air_dragon_Ping_93020fb2-69fe-4f67-9ebd-96d7f6e41741 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Ping_93020fb2-69fe-4f67-9ebd-96d7f6e41741","column":0,"row":6,"structure":"","height":0}.
[2025-04-17 02:01:27] [INFO] [SpeedQueue] Added unit enemy:Ping into queue
[2025-04-17 02:01:27] [INFO] [Component] Setting dragon_Qycoyo_41397f0d-fbfe-4392-841d-b16574451445 on to {"spawn_region":[],"collider":"","unit":"dragon_Qycoyo_41397f0d-fbfe-4392-841d-b16574451445","column":1,"row":3,"structure":"","height":0}.
[2025-04-17 02:01:27] [INFO] [SpeedQueue] Added unit enemy:Qycoyo into queue
[2025-04-17 02:01:27] [INFO] [Component] Setting water_dragon_Giqv_e9055628-d8bb-4c2c-aeaf-45ca55572215 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Giqv_e9055628-d8bb-4c2c-aeaf-45ca55572215","column":5,"row":5,"structure":"","height":0}.
[2025-04-17 02:01:27] [INFO] [SpeedQueue] Added unit enemy:Giqv into queue
[2025-04-17 02:01:27] [INFO] [Component] Setting dark_dragon_Tokeue_d6459622-3cb2-472a-8bc3-f2c848c4ffaf on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Tokeue_d6459622-3cb2-472a-8bc3-f2c848c4ffaf","column":5,"row":1,"structure":"","height":0}.
[2025-04-17 02:01:27] [INFO] [SpeedQueue] Added unit enemy:Tokeue into queue
[2025-04-17 02:01:27] [INFO] [Component] Setting earth_dragon_Pudu_983e5ac3-62e5-48df-a7e2-018552ad5a77 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Pudu_983e5ac3-62e5-48df-a7e2-018552ad5a77","column":1,"row":1,"structure":"","height":0}.
[2025-04-17 02:01:27] [INFO] [SpeedQueue] Added unit user:Pudu into queue
[2025-04-17 02:01:27] [INFO] [Component] Setting water_dragon_Xuneve_00c45ca0-6cde-4c58-a21c-8dd0e60109e8 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Xuneve_00c45ca0-6cde-4c58-a21c-8dd0e60109e8","column":3,"row":2,"structure":"","height":0}.
[2025-04-17 02:01:27] [INFO] [SpeedQueue] Added unit user:Xuneve into queue
[2025-04-17 02:01:27] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 02:01:27] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 02:01:27] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 02:01:27] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 02:01:27] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 02:01:27] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 02:01:27] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 02:01:27] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 02:01:27] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_c0f04363-1d04-4e14-8aa9-14336f5a9110
[2025-04-17 02:01:27] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 02:01:27] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 02:01:27] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 02:01:27] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 02:01:28] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 02:01:28] [INFO] [VisualsSystem] Finished creating blurred background after 0.493604451417923 seconds
[2025-04-17 02:01:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,128
[2025-04-17 02:01:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,141
[2025-04-17 02:01:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,145
[2025-04-17 02:01:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,151
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,153
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 938,156
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,160
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 923,164
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,166
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,168
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,170
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,172
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,173
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,174
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,175
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,176
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,177
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,178
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,179
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,180
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,181
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,181
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,182
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,183
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,184
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,184
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,185
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,185
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 886,185
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 885,186
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 884,186
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,187
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,187
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,187
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,188
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,189
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 876,189
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,189
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,189
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,189
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,189
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 871,190
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 869,190
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,190
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 867,190
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,190
[2025-04-17 02:01:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 864,190
